DATE_TIME,current_contract,next_contract,carry_contract
2021-03-21 19:00:00,20210300,20210400,20210200
2021-03-26 08:00:00,20210400,20210500,20210300
2021-04-30 05:00:00,20210500,20210600,20210400
2021-05-28 00:00:00,20210600,20210700,20210500
2021-06-25 01:00:00,20210700,20210800,20210600
2021-07-30 00:00:00,20210800,20210900,20210700
2021-08-27 00:00:00,20210900,20211000,20210800
2021-09-24 00:00:00,20211000,20211100,20210900
2021-10-29 00:00:00,20211100,20211200,20211000
2021-11-26 01:00:00,20211200,20220100,20211100
2021-12-31 00:00:00,20220100,20220200,20211200
2022-01-28 00:00:00,20220200,20220300,20220100
2022-02-25 00:00:00,20220300,20220400,20220200
2022-03-25 00:00:00,20220400,20220500,20220300
2022-04-29 02:00:00,20220500,20220600,20220400
2022-05-27 00:00:00,20220600,20220700,20220500
2022-06-24 14:00:00,20220700,20220800,20220600
2022-07-29 00:00:00,20220800,20220900,20220700
2022-08-26 00:00:00,20220900,20221000,20220800
2022-09-30 00:00:00,20221000,20221100,20220900
2022-10-28 00:00:00,20221100,20221200,20221000
2022-11-25 13:00:00,20221200,20230100,20221100
2022-12-30 00:00:00,20230100,20230200,20221200
2023-01-27 14:00:00,20230200,20230300,20230100
2023-02-24 00:00:00,20230300,20230400,20230200
2023-03-31 12:00:00,20230400,20230500,20230300
2023-04-28 12:00:00,20230500,20230600,20230400
