DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1993-05-21 23:00:00,,19931200,105.42,19930900,,19931200
1993-05-25 23:00:00,,19931200,105.67,19930900,,19931200
1993-05-26 23:00:00,,19931200,106.15,19930900,,19931200
1993-05-27 23:00:00,,19931200,106.34,19930900,,19931200
1993-05-28 23:00:00,,19931200,106.17,19930900,,19931200
1993-05-31 23:00:00,,19931200,106.42,19930900,,19931200
1993-06-01 23:00:00,,19931200,106.45,19930900,,19931200
1993-06-02 23:00:00,,19931200,106.35,19930900,,19931200
1993-06-03 23:00:00,,19931200,105.99,19930900,,19931200
1993-06-04 23:00:00,,19931200,105.47,19930900,,19931200
1993-06-07 23:00:00,,19931200,105.49,19930900,,19931200
1993-06-08 23:00:00,,19931200,105.26,19930900,,19931200
1993-06-09 23:00:00,,19931200,105.6,19930900,,19931200
1993-06-10 23:00:00,,19931200,106.37,19930900,,19931200
1993-06-11 23:00:00,,19931200,106.86,19930900,,19931200
1993-06-14 23:00:00,,19931200,106.69,19930900,,19931200
1993-06-15 23:00:00,,19931200,106.78,19930900,,19931200
1993-06-16 23:00:00,,19931200,107.08,19930900,,19931200
1993-06-17 23:00:00,,19931200,107.32,19930900,,19931200
1993-06-18 23:00:00,,19931200,107.09,19930900,,19931200
1993-06-21 23:00:00,,19931200,107.57,19930900,,19931200
1993-06-22 23:00:00,,19931200,107.45,19930900,,19931200
1993-06-23 23:00:00,,19931200,107.45,19930900,,19931200
1993-06-25 23:00:00,,19931200,107.78,19930900,,19931200
1993-06-28 23:00:00,,19931200,107.97,19930900,,19931200
1993-06-29 23:00:00,,19931200,107.75,19930900,,19931200
1993-06-30 23:00:00,,19931200,108.02,19930900,,19931200
1993-07-02 23:00:00,,19931200,108.2,19930900,,19931200
1993-07-05 23:00:00,,19931200,108.25,19930900,,19931200
1993-07-06 23:00:00,,19931200,108.35,19930900,,19931200
1993-07-07 23:00:00,,19931200,108.15,19930900,,19931200
1993-07-08 23:00:00,,19931200,108.44,19930900,,19931200
1993-07-09 23:00:00,,19931200,109.3,19930900,,19931200
1993-07-12 23:00:00,,19931200,109.52,19930900,,19931200
1993-07-13 23:00:00,,19931200,109.4,19930900,,19931200
1993-07-14 23:00:00,,19931200,109.98,19930900,,19931200
1993-07-15 23:00:00,,19931200,109.77,19930900,,19931200
1993-07-16 23:00:00,,19931200,109.85,19930900,,19931200
1993-07-19 23:00:00,,19931200,109.92,19930900,,19931200
1993-07-20 23:00:00,,19931200,110.0,19930900,,19931200
1993-07-21 23:00:00,,19931200,109.57,19930900,,19931200
1993-07-22 23:00:00,,19931200,108.79,19930900,,19931200
1993-07-23 23:00:00,,19931200,108.41,19930900,,19931200
1993-07-26 23:00:00,,19931200,108.75,19930900,,19931200
1993-07-27 23:00:00,,19931200,109.12,19930900,,19931200
1993-07-28 23:00:00,,19931200,109.51,19930900,,19931200
1993-07-29 23:00:00,,19931200,110.3,19930900,,19931200
1993-07-30 23:00:00,,19931200,109.99,19930900,,19931200
1993-08-02 23:00:00,,19931200,109.85,19930900,,19931200
1993-08-03 23:00:00,,19931200,110.08,19930900,,19931200
1993-08-04 23:00:00,,19931200,109.68,19930900,,19931200
1993-08-05 23:00:00,,19931200,109.93,19930900,,19931200
1993-08-06 23:00:00,,19931200,110.19,19930900,,19931200
1993-08-09 23:00:00,,19931200,110.63,19930900,,19931200
1993-08-10 23:00:00,,19931200,111.36,19930900,,19931200
1993-08-11 23:00:00,,19931200,110.73,19930900,,19931200
1993-08-12 23:00:00,108.76,19931200,109.9,19930900,108.76,19931200
1993-08-13 23:00:00,109.15,19931200,110.15,19930900,109.15,19931200
1993-08-16 23:00:00,109.69,19931200,110.63,19930900,109.69,19931200
1993-08-17 23:00:00,109.86,19931200,110.84,19930900,109.86,19931200
1993-08-18 23:00:00,109.7,19931200,110.65,19930900,109.7,19931200
1993-08-19 23:00:00,110.16,19931200,111.15,19930900,110.16,19931200
1993-08-20 23:00:00,110.18,19931200,111.15,19930900,110.18,19931200
1993-08-23 23:00:00,,19940300,110.08,19931200,,19940300
1993-08-24 23:00:00,,19940300,110.29,19931200,,19940300
1993-08-25 23:00:00,,19940300,110.68,19931200,,19940300
1993-08-26 23:00:00,,19940300,111.46,19931200,,19940300
1993-08-27 23:00:00,,19940300,111.19,19931200,,19940300
1993-08-30 23:00:00,,19940300,111.57,19931200,,19940300
1993-08-31 23:00:00,,19940300,111.65,19931200,,19940300
1993-09-01 23:00:00,,19940300,111.6,19931200,,19940300
1993-09-02 23:00:00,,19940300,111.87,19931200,,19940300
1993-09-03 23:00:00,,19940300,112.15,19931200,,19940300
1993-09-07 23:00:00,,19940300,112.41,19931200,,19940300
1993-09-08 23:00:00,,19940300,112.38,19931200,,19940300
1993-09-09 23:00:00,,19940300,111.72,19931200,,19940300
1993-09-10 23:00:00,,19940300,111.95,19931200,,19940300
1993-09-13 23:00:00,,19940300,111.74,19931200,,19940300
1993-09-14 23:00:00,,19940300,110.55,19931200,,19940300
1993-09-15 23:00:00,,19940300,110.47,19931200,,19940300
1993-09-16 23:00:00,,19940300,110.69,19931200,,19940300
1993-09-17 23:00:00,,19940300,110.21,19931200,,19940300
1993-09-20 23:00:00,,19940300,109.32,19931200,,19940300
1993-09-21 23:00:00,,19940300,109.5,19931200,,19940300
1993-09-22 23:00:00,,19940300,109.99,19931200,,19940300
1993-09-23 23:00:00,,19940300,109.97,19931200,,19940300
1993-09-24 23:00:00,,19940300,109.98,19931200,,19940300
1993-09-27 23:00:00,,19940300,110.34,19931200,,19940300
1993-09-28 23:00:00,,19940300,110.71,19931200,,19940300
1993-09-29 23:00:00,,19940300,110.18,19931200,,19940300
1993-09-30 23:00:00,,19940300,109.54,19931200,,19940300
1993-10-01 23:00:00,,19940300,109.93,19931200,,19940300
1993-10-04 23:00:00,,19940300,110.01,19931200,,19940300
1993-10-05 23:00:00,,19940300,110.62,19931200,,19940300
1993-10-06 23:00:00,,19940300,111.25,19931200,,19940300
1993-10-07 23:00:00,,19940300,111.38,19931200,,19940300
1993-10-08 23:00:00,,19940300,112.56,19931200,,19940300
1993-10-12 23:00:00,,19940300,112.41,19931200,,19940300
1993-10-13 23:00:00,,19940300,112.25,19931200,,19940300
1993-10-14 23:00:00,,19940300,113.04,19931200,,19940300
1993-10-15 23:00:00,,19940300,113.16,19931200,,19940300
1993-10-18 23:00:00,,19940300,112.62,19931200,,19940300
1993-10-19 23:00:00,,19940300,112.5,19931200,,19940300
1993-10-20 23:00:00,,19940300,113.0,19931200,,19940300
1993-10-21 23:00:00,,19940300,112.51,19931200,,19940300
1993-10-22 23:00:00,,19940300,112.33,19931200,,19940300
1993-10-25 23:00:00,,19940300,112.05,19931200,,19940300
1993-10-26 23:00:00,,19940300,112.3,19931200,,19940300
1993-10-27 23:00:00,,19940300,112.52,19931200,,19940300
1993-10-28 23:00:00,,19940300,112.42,19931200,,19940300
1993-10-29 23:00:00,,19940300,112.81,19931200,,19940300
1993-11-01 23:00:00,,19940300,112.34,19931200,,19940300
1993-11-02 23:00:00,,19940300,111.9,19931200,,19940300
1993-11-03 23:00:00,,19940300,111.94,19931200,,19940300
1993-11-04 23:00:00,,19940300,111.8,19931200,,19940300
1993-11-05 23:00:00,,19940300,112.39,19931200,,19940300
1993-11-08 23:00:00,,19940300,112.71,19931200,,19940300
1993-11-09 23:00:00,,19940300,112.63,19931200,,19940300
1993-11-10 23:00:00,,19940300,112.48,19931200,,19940300
1993-11-11 23:00:00,,19940300,112.24,19931200,,19940300
1993-11-12 23:00:00,111.79,19940300,112.74,19931200,111.79,19940300
1993-11-15 23:00:00,111.72,19940300,112.67,19931200,111.72,19940300
1993-11-16 23:00:00,111.94,19940300,112.89,19931200,111.94,19940300
1993-11-17 23:00:00,111.97,19940300,112.92,19931200,111.97,19940300
1993-11-18 23:00:00,111.7,19940300,112.65,19931200,111.7,19940300
1993-11-19 23:00:00,111.28,19940300,112.26,19931200,111.28,19940300
1993-11-22 23:00:00,,19940600,110.92,19940300,,19940600
1993-11-23 23:00:00,,19940600,111.38,19940300,,19940600
1993-11-24 23:00:00,,19940600,111.21,19940300,,19940600
1993-11-25 23:00:00,,19940600,111.39,19940300,,19940600
1993-11-26 23:00:00,,19940600,111.58,19940300,,19940600
1993-11-29 23:00:00,,19940600,111.67,19940300,,19940600
1993-11-30 23:00:00,,19940600,111.64,19940300,,19940600
1993-12-01 23:00:00,,19940600,112.31,19940300,,19940600
1993-12-02 23:00:00,,19940600,112.4,19940300,,19940600
1993-12-03 23:00:00,,19940600,112.46,19940300,,19940600
1993-12-06 23:00:00,,19940600,113.72,19940300,,19940600
1993-12-07 23:00:00,,19940600,113.2,19940300,,19940600
1993-12-08 23:00:00,,19940600,113.34,19940300,,19940600
1993-12-09 23:00:00,,19940600,113.62,19940300,,19940600
1993-12-10 23:00:00,,19940600,113.25,19940300,,19940600
1993-12-13 23:00:00,,19940600,112.87,19940300,,19940600
1993-12-14 23:00:00,,19940600,112.78,19940300,,19940600
1993-12-15 23:00:00,,19940600,112.82,19940300,,19940600
1993-12-16 23:00:00,,19940600,113.2,19940300,,19940600
1993-12-17 23:00:00,,19940600,113.08,19940300,,19940600
1993-12-20 23:00:00,,19940600,112.94,19940300,,19940600
1993-12-21 23:00:00,,19940600,113.34,19940300,,19940600
1993-12-22 23:00:00,,19940600,114.14,19940300,,19940600
1993-12-23 23:00:00,,19940600,114.42,19940300,,19940600
1993-12-28 23:00:00,,19940600,114.3,19940300,,19940600
1993-12-29 23:00:00,,19940600,114.12,19940300,,19940600
1993-12-30 23:00:00,,19940600,113.95,19940300,,19940600
1993-12-31 23:00:00,,19940600,114.0,19940300,,19940600
1994-01-04 23:00:00,,19940600,113.53,19940300,,19940600
1994-01-05 23:00:00,,19940600,113.65,19940300,,19940600
1994-01-06 23:00:00,,19940600,113.47,19940300,,19940600
1994-01-07 23:00:00,,19940600,114.24,19940300,,19940600
1994-01-10 23:00:00,,19940600,114.82,19940300,,19940600
1994-01-11 23:00:00,,19940600,115.03,19940300,,19940600
1994-01-12 23:00:00,,19940600,115.54,19940300,,19940600
1994-01-13 23:00:00,,19940600,115.22,19940300,,19940600
1994-01-14 23:00:00,,19940600,115.15,19940300,,19940600
1994-01-17 23:00:00,,19940600,115.4,19940300,,19940600
1994-01-18 23:00:00,,19940600,115.74,19940300,,19940600
1994-01-19 23:00:00,,19940600,115.46,19940300,,19940600
1994-01-20 23:00:00,,19940600,115.76,19940300,,19940600
1994-01-21 23:00:00,,19940600,116.07,19940300,,19940600
1994-01-24 23:00:00,,19940600,116.05,19940300,,19940600
1994-01-25 23:00:00,,19940600,115.94,19940300,,19940600
1994-01-26 23:00:00,,19940600,116.5,19940300,,19940600
1994-01-27 23:00:00,,19940600,116.61,19940300,,19940600
1994-01-28 23:00:00,,19940600,116.75,19940300,,19940600
1994-01-31 23:00:00,,19940600,116.48,19940300,,19940600
1994-02-01 23:00:00,,19940600,116.2,19940300,,19940600
1994-02-02 23:00:00,,19940600,115.94,19940300,,19940600
1994-02-03 23:00:00,,19940600,115.51,19940300,,19940600
1994-02-04 23:00:00,,19940600,114.86,19940300,,19940600
1994-02-07 23:00:00,,19940600,114.61,19940300,,19940600
1994-02-08 23:00:00,,19940600,114.46,19940300,,19940600
1994-02-09 23:00:00,,19940600,114.53,19940300,,19940600
1994-02-10 23:00:00,,19940600,114.76,19940300,,19940600
1994-02-11 23:00:00,,19940600,114.68,19940300,,19940600
1994-02-14 23:00:00,113.06,19940600,114.2,19940300,113.06,19940600
1994-02-15 23:00:00,112.67,19940600,113.81,19940300,112.67,19940600
1994-02-16 23:00:00,112.5,19940600,113.63,19940300,112.5,19940600
1994-02-17 23:00:00,112.06,19940600,113.2,19940300,112.06,19940600
1994-02-18 23:00:00,111.55,19940600,112.7,19940300,111.55,19940600
1994-02-21 23:00:00,,19940900,111.24,19940600,,19940900
