DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2001-12-04 23:00:00,122.45,20020600,122.88,20020300,122.45,20020600
2001-12-05 23:00:00,121.3,20020600,121.65,20020300,121.3,20020600
2001-12-06 23:00:00,120.05,20020600,120.4,20020300,120.05,20020600
2001-12-07 23:00:00,119.4,20020600,119.75,20020300,119.4,20020600
2001-12-10 23:00:00,119.55,20020600,119.9,20020300,119.55,20020600
2001-12-11 23:00:00,119.9,20020600,120.24,20020300,119.9,20020600
2001-12-12 23:00:00,120.59,20020600,120.85,20020300,120.59,20020600
2001-12-13 23:00:00,120.48,20020600,120.74,20020300,120.48,20020600
2001-12-14 23:00:00,120.54,20020600,120.8,20020300,120.54,20020600
2001-12-17 23:00:00,119.81,20020600,120.07,20020300,119.81,20020600
2001-12-18 23:00:00,119.81,20020600,120.07,20020300,119.81,20020600
2001-12-19 23:00:00,120.02,20020600,120.28,20020300,120.02,20020600
2001-12-20 23:00:00,119.75,20020600,120.0,20020300,119.75,20020600
2001-12-21 23:00:00,119.7,20020600,119.96,20020300,119.7,20020600
2001-12-27 23:00:00,119.39,20020600,119.65,20020300,119.39,20020600
2001-12-28 23:00:00,119.09,20020600,119.35,20020300,119.09,20020600
2002-01-03 23:00:00,119.79,20020600,120.08,20020300,119.79,20020600
2002-01-04 23:00:00,119.72,20020600,120.01,20020300,119.72,20020600
2002-01-07 23:00:00,120.48,20020600,120.77,20020300,120.48,20020600
2002-01-08 23:00:00,120.86,20020600,121.15,20020300,120.86,20020600
2002-01-09 23:00:00,120.75,20020600,121.05,20020300,120.75,20020600
2002-01-10 23:00:00,121.24,20020600,121.54,20020300,121.24,20020600
2002-01-11 23:00:00,121.25,20020600,121.55,20020300,121.25,20020600
2002-01-14 23:00:00,121.31,20020600,121.61,20020300,121.31,20020600
2002-01-15 23:00:00,120.92,20020600,121.22,20020300,120.92,20020600
2002-01-16 23:00:00,121.05,20020600,121.35,20020300,121.05,20020600
2002-01-17 23:00:00,120.78,20020600,121.08,20020300,120.78,20020600
2002-01-18 23:00:00,120.4,20020600,120.7,20020300,120.4,20020600
2002-01-21 23:00:00,120.4,20020600,120.7,20020300,120.4,20020600
2002-01-22 23:00:00,119.97,20020600,120.27,20020300,119.97,20020600
2002-01-23 23:00:00,120.46,20020600,120.24,20020300,120.46,20020600
2002-01-24 23:00:00,119.68,20020600,119.98,20020300,119.68,20020600
2002-01-25 23:00:00,119.11,20020600,119.41,20020300,119.11,20020600
2002-01-28 23:00:00,118.92,20020600,119.3,20020300,118.92,20020600
2002-01-29 23:00:00,118.75,20020600,119.13,20020300,118.75,20020600
2002-01-30 23:00:00,118.9,20020600,119.28,20020300,118.9,20020600
2002-01-31 23:00:00,118.88,20020600,119.26,20020300,118.88,20020600
2002-02-01 23:00:00,119.22,20020600,119.6,20020300,119.22,20020600
2002-02-04 23:00:00,119.89,20020600,120.27,20020300,119.89,20020600
2002-02-05 23:00:00,120.01,20020600,120.39,20020300,120.01,20020600
2002-02-06 23:00:00,119.82,20020600,120.2,20020300,119.82,20020600
2002-02-07 23:00:00,119.03,20020600,119.41,20020300,119.03,20020600
2002-02-08 23:00:00,118.96,20020600,119.34,20020300,118.96,20020600
2002-02-11 23:00:00,118.82,20020600,119.2,20020300,118.82,20020600
2002-02-12 23:00:00,118.86,20020600,119.24,20020300,118.86,20020600
2002-02-13 23:00:00,118.82,20020600,119.2,20020300,118.82,20020600
2002-02-14 23:00:00,118.89,20020600,119.27,20020300,118.89,20020600
2002-02-15 23:00:00,119.32,20020600,119.7,20020300,119.32,20020600
2002-02-18 23:00:00,119.32,20020600,119.7,20020300,119.32,20020600
2002-02-19 23:00:00,119.43,20020600,119.81,20020300,119.43,20020600
2002-02-20 23:00:00,119.42,20020600,119.7,20020300,119.42,20020600
2002-02-21 23:00:00,119.26,20020600,119.54,20020300,119.26,20020600
2002-02-22 23:00:00,119.66,20020600,119.94,20020300,119.66,20020600
2002-02-25 23:00:00,119.23,20020600,119.51,20020300,119.23,20020600
2002-02-26 23:00:00,119.12,20020600,119.4,20020300,119.12,20020600
2002-02-27 23:00:00,118.45,20020600,119.45,20020300,118.45,20020600
2002-02-28 23:00:00,118.6,20020600,119.4,20020300,118.6,20020600
2002-03-01 23:00:00,118.45,20020600,119.26,20020300,118.45,20020600
2002-03-04 23:00:00,117.88,20020900,118.25,20020600,117.88,20020900
2002-03-05 23:00:00,117.48,20020900,117.77,20020600,117.48,20020900
2002-03-06 23:00:00,117.32,20020900,117.62,20020600,117.32,20020900
2002-03-07 23:00:00,117.18,20020900,117.48,20020600,117.18,20020900
2002-03-08 23:00:00,116.93,20020900,117.31,20020600,116.93,20020900
2002-03-11 23:00:00,117.26,20020900,117.64,20020600,117.26,20020900
