DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1986-08-18 23:00:00,108.79,19870300,108.64,19861200,108.79,19870300
1986-08-19 23:00:00,108.14,19870300,107.99,19861200,108.14,19870300
1986-08-20 23:00:00,107.69,19870300,107.54,19861200,107.69,19870300
1986-08-21 23:00:00,107.49,19870300,107.34,19861200,107.49,19870300
1986-08-22 23:00:00,107.73,19870300,107.58,19861200,107.73,19870300
1986-08-25 23:00:00,107.85,19870300,107.65,19861200,107.85,19870300
1986-08-26 23:00:00,108.66,19870300,108.49,19861200,108.66,19870300
1986-08-27 23:00:00,108.15,19870300,107.95,19861200,108.15,19870300
1986-08-28 23:00:00,108.7,19870300,108.5,19861200,108.7,19870300
1986-08-29 23:00:00,107.58,19870300,107.38,19861200,107.58,19870300
1986-09-02 23:00:00,107.06,19870300,106.86,19861200,107.06,19870300
1986-09-03 23:00:00,107.24,19870300,106.94,19861200,107.24,19870300
1986-09-04 23:00:00,107.4,19870300,107.1,19861200,107.4,19870300
1986-09-05 23:00:00,108.84,19870300,108.15,19861200,108.84,19870300
1986-09-08 23:00:00,109.55,19870300,108.88,19861200,109.55,19870300
1986-09-09 23:00:00,109.44,19870300,108.74,19861200,109.44,19870300
1986-09-10 23:00:00,109.48,19870300,108.71,19861200,109.48,19870300
1986-09-11 23:00:00,110.55,19870300,109.85,19861200,110.55,19870300
1986-09-12 23:00:00,109.3,19870300,108.6,19861200,109.3,19870300
1986-09-15 23:00:00,108.65,19870300,107.95,19861200,108.65,19870300
1986-09-16 23:00:00,109.05,19870300,108.35,19861200,109.05,19870300
1986-09-17 23:00:00,108.1,19870300,107.41,19861200,108.1,19870300
1986-09-18 23:00:00,106.37,19870300,105.68,19861200,106.37,19870300
1986-09-19 23:00:00,106.33,19870300,105.63,19861200,106.33,19870300
1986-09-22 23:00:00,108.2,19870300,107.55,19861200,108.2,19870300
1986-09-23 23:00:00,109.3,19870300,108.6,19861200,109.3,19870300
1986-09-24 23:00:00,109.1,19870300,108.4,19861200,109.1,19870300
1986-09-25 23:00:00,109.1,19870300,108.4,19861200,109.1,19870300
1986-09-26 23:00:00,109.15,19870300,108.43,19861200,109.15,19870300
1986-09-29 23:00:00,108.2,19870300,107.5,19861200,108.2,19870300
1986-09-30 23:00:00,108.48,19870300,107.54,19861200,108.48,19870300
1986-10-01 23:00:00,108.1,19870300,107.4,19861200,108.1,19870300
1986-10-02 23:00:00,107.69,19870300,106.97,19861200,107.69,19870300
1986-10-03 23:00:00,107.82,19870300,107.12,19861200,107.82,19870300
1986-10-06 23:00:00,107.12,19870300,106.42,19861200,107.12,19870300
1986-10-07 23:00:00,107.55,19870300,106.85,19861200,107.55,19870300
1986-10-08 23:00:00,107.43,19870300,106.73,19861200,107.43,19870300
1986-10-09 23:00:00,107.58,19870300,106.88,19861200,107.58,19870300
1986-10-10 23:00:00,107.0,19870300,106.3,19861200,107.0,19870300
1986-10-13 23:00:00,106.65,19870300,105.95,19861200,106.65,19870300
1986-10-14 23:00:00,106.1,19870300,105.4,19861200,106.1,19870300
1986-10-15 23:00:00,106.3,19870300,105.6,19861200,106.3,19870300
1986-10-16 23:00:00,106.3,19870300,105.6,19861200,106.3,19870300
1986-10-17 23:00:00,106.32,19870300,105.62,19861200,106.32,19870300
1986-10-20 23:00:00,107.25,19870300,106.49,19861200,107.25,19870300
1986-10-21 23:00:00,107.12,19870300,106.42,19861200,107.12,19870300
1986-10-22 23:00:00,107.17,19870300,106.43,19861200,107.17,19870300
1986-10-23 23:00:00,108.32,19870300,107.52,19861200,108.32,19870300
1986-10-24 23:00:00,109.75,19870300,109.05,19861200,109.75,19870300
1986-10-27 23:00:00,109.7,19870300,109.0,19861200,109.7,19870300
1986-10-28 23:00:00,109.16,19870300,108.46,19861200,109.16,19870300
1986-10-29 23:00:00,108.95,19870300,108.25,19861200,108.95,19870300
1986-10-30 23:00:00,109.85,19870300,109.15,19861200,109.85,19870300
1986-10-31 23:00:00,110.39,19870300,109.69,19861200,110.39,19870300
1986-11-03 23:00:00,110.42,19870300,109.71,19861200,110.42,19870300
1986-11-04 23:00:00,110.24,19870300,109.54,19861200,110.24,19870300
1986-11-05 23:00:00,110.34,19870300,109.64,19861200,110.34,19870300
1986-11-06 23:00:00,110.12,19870300,109.42,19861200,110.12,19870300
1986-11-07 23:00:00,110.01,19870300,109.3,19861200,110.01,19870300
1986-11-10 23:00:00,109.23,19870300,108.53,19861200,109.23,19870300
1986-11-11 23:00:00,108.95,19870300,108.25,19861200,108.95,19870300
1986-11-12 23:00:00,108.41,19870300,107.65,19861200,108.41,19870300
1986-11-13 23:00:00,108.27,19870300,107.57,19861200,108.27,19870300
1986-11-14 23:00:00,108.0,19870300,107.29,19861200,108.0,19870300
1986-11-17 23:00:00,109.0,19870600,108.5,19870300,109.0,19870600
1986-11-18 23:00:00,108.95,19870600,108.45,19870300,108.95,19870600
1986-11-19 23:00:00,108.7,19870600,108.2,19870300,108.7,19870600
1986-11-20 23:00:00,109.05,19870600,108.52,19870300,109.05,19870600
1986-11-21 23:00:00,109.55,19870600,109.04,19870300,109.55,19870600
1986-11-24 23:00:00,109.4,19870600,108.88,19870300,109.4,19870600
1986-11-25 23:00:00,107.95,19870600,107.46,19870300,107.95,19870600
1986-11-26 23:00:00,108.05,19870600,107.52,19870300,108.05,19870600
1986-11-28 23:00:00,107.38,19870600,106.85,19870300,107.38,19870600
