DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2013-03-12 23:00:00,172.4,20130900,173.1,20130600,172.4,20130900
2013-03-13 23:00:00,171.7,20130900,172.3,20130600,171.7,20130900
2013-03-14 23:00:00,172.9,20130900,173.5,20130600,172.9,20130900
2013-03-15 23:00:00,173.1,20130900,173.7,20130600,173.1,20130900
2013-03-18 23:00:00,172.2,20130900,172.9,20130600,172.2,20130900
2013-03-19 23:00:00,170.9,20130900,170.8,20130600,170.9,20130900
2013-03-20 23:00:00,171.4,20130900,171.9,20130600,171.4,20130900
2013-03-21 23:00:00,170.3,20130900,170.8,20130600,170.3,20130900
2013-03-22 23:00:00,170.2,20130900,170.7,20130600,170.2,20130900
2013-03-25 23:00:00,169.3,20130900,169.5,20130600,169.3,20130900
2013-03-26 23:00:00,168.8,20130900,169.0,20130600,168.8,20130900
2013-03-27 23:00:00,165.4,20130900,166.1,20130600,165.4,20130900
2013-03-28 23:00:00,166.9,20130900,167.6,20130600,166.9,20130900
2013-04-02 23:00:00,168.2,20130900,168.9,20130600,168.2,20130900
2013-04-03 23:00:00,167.0,20130900,167.7,20130600,167.0,20130900
2013-04-04 23:00:00,165.4,20130900,166.1,20130600,165.4,20130900
2013-04-05 23:00:00,162.1,20130900,162.8,20130600,162.1,20130900
2013-04-08 23:00:00,162.3,20130900,163.0,20130600,162.3,20130900
2013-04-09 23:00:00,163.6,20130900,164.3,20130600,163.6,20130900
2013-04-10 23:00:00,167.7,20130900,168.4,20130600,167.7,20130900
2013-04-11 23:00:00,169.7,20130900,170.4,20130600,169.7,20130900
2013-04-12 23:00:00,168.0,20130900,168.7,20130600,168.0,20130900
2013-04-15 23:00:00,166.1,20130900,166.8,20130600,166.1,20130900
2013-04-16 23:00:00,165.6,20130900,166.3,20130600,165.6,20130900
2013-04-17 23:00:00,162.8,20130900,163.5,20130600,162.8,20130900
2013-04-18 23:00:00,162.9,20130900,163.6,20130600,162.9,20130900
2013-04-19 23:00:00,164.0,20130900,164.7,20130600,164.0,20130900
2013-04-22 23:00:00,165.0,20130900,165.7,20130600,165.0,20130900
2013-04-23 23:00:00,168.7,20130900,169.4,20130600,168.7,20130900
2013-04-24 23:00:00,169.9,20130900,170.6,20130600,169.9,20130900
2013-04-25 23:00:00,171.1,20130900,171.8,20130600,171.1,20130900
2013-04-26 23:00:00,170.1,20130900,170.8,20130600,170.1,20130900
