DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-12-29 23:00:00,,20210200,20247.5,20210100,,20210200
2020-12-30 23:00:00,,20210200,20750.0,20210100,,20210200
2020-12-31 23:00:00,20890.0,20210200,20955.0,20210100,20890.0,20210200
2021-01-21 23:00:00,,20210300,23400.0,20210200,,20210300
2021-01-22 23:00:00,,20210300,23170.0,20210200,,20210300
2021-01-26 23:00:00,,20210300,23275.0,20210200,,20210300
2021-01-27 23:00:00,,20210300,23035.0,20210200,,20210300
2021-01-28 23:00:00,,20210300,22260.0,20210200,,20210300
2021-01-29 23:00:00,,20210300,22127.5,20210200,,20210300
2021-02-01 23:00:00,,20210300,22660.0,20210200,,20210300
2021-02-02 23:00:00,,20210300,23082.5,20210200,,20210300
2021-02-03 23:00:00,23000.0,20210300,23267.5,20210200,23000.0,20210300
2021-02-22 23:00:00,,20210400,23377.5,20210300,,20210400
2021-02-23 23:00:00,,20210400,23205.0,20210300,,20210400
2021-02-24 23:00:00,,20210400,22495.0,20210300,,20210400
2021-02-25 23:00:00,,20210400,22895.0,20210300,,20210400
2021-02-26 23:00:00,,20210400,21800.0,20210300,,20210400
2021-02-27 23:00:00,,20210400,21967.5,20210300,,20210400
2021-03-01 23:00:00,,20210400,22375.0,20210300,,20210400
2021-03-02 23:00:00,,20210400,22177.5,20210300,,20210400
2021-03-03 23:00:00,,20210400,22795.0,20210300,,20210400
2021-03-04 23:00:00,,20210400,21950.0,20210300,,20210400
2021-03-05 23:00:00,,20210400,21912.5,20210300,,20210400
2021-03-06 23:00:00,,20210400,21897.5,20210300,,20210400
2021-03-08 23:00:00,,20210400,21120.0,20210300,,20210400
2021-03-09 23:00:00,,20210400,20990.0,20210300,,20210400
2021-03-10 23:00:00,,20210400,21360.0,20210300,,20210400
2021-03-11 23:00:00,,20210400,21935.0,20210300,,20210400
2021-03-12 23:00:00,,20210400,21560.0,20210300,,20210400
2021-03-13 23:00:00,,20210400,20645.0,20210300,,20210400
2021-03-15 23:00:00,,20210400,21310.0,20210300,,20210400
2021-03-16 23:00:00,,20210400,21557.5,20210300,,20210400
2021-03-17 23:00:00,,20210400,21520.0,20210300,,20210400
2021-03-18 23:00:00,,20210400,21762.5,20210300,,20210400
2021-03-19 23:00:00,,20210400,21267.5,20210300,,20210400
2021-03-20 23:00:00,,20210400,21472.5,20210300,,20210400
2021-03-22 23:00:00,,20210400,21395.0,20210300,,20210400
2021-03-23 23:00:00,,20210400,20937.5,20210300,,20210400
2021-03-24 23:00:00,20560.0,20210400,20502.5,20210300,20560.0,20210400
