DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-07-21 23:00:00,7084.0,20220900,7094.0,20220800,7084.0,20220900
2022-07-22 23:00:00,7097.0,20220900,7116.0,20220800,7097.0,20220900
2022-07-25 23:00:00,7059.0,20220900,7071.0,20220800,7059.0,20220900
2022-07-26 23:00:00,7163.0,20220900,7173.0,20220800,7163.0,20220900
2022-07-27 23:00:00,7072.0,20220900,7083.0,20220800,7072.0,20220900
2022-07-28 23:00:00,7079.0,20220900,7092.0,20220800,7079.0,20220900
2022-07-29 23:00:00,6875.0,20220900,6882.0,20220800,6875.0,20220900
2022-08-01 23:00:00,6861.0,20220900,6874.0,20220800,6861.0,20220900
2022-08-02 23:00:00,6671.0,20220900,6683.0,20220800,6671.0,20220900
2022-08-03 23:00:00,6720.0,20220900,6733.0,20220800,6720.0,20220900
2022-08-04 23:00:00,6867.0,20220900,6880.0,20220800,6867.0,20220900
2022-08-05 23:00:00,6876.0,20220900,6890.0,20220800,6876.0,20220900
2022-08-08 23:00:00,6807.0,20220900,6820.0,20220800,6807.0,20220900
2022-08-09 23:00:00,6793.0,20220900,6805.0,20220800,6793.0,20220900
2022-08-10 23:00:00,6628.0,20220900,6640.0,20220800,6628.0,20220900
2022-08-11 23:00:00,6799.0,20220900,6813.0,20220800,6799.0,20220900
2022-08-12 23:00:00,6838.0,20220900,6856.0,20220800,6838.0,20220900
2022-08-15 23:00:00,6798.0,20220900,6823.0,20220800,6798.0,20220900
2022-08-16 23:00:00,6716.0,20220900,6740.0,20220800,6716.0,20220900
2022-08-17 23:00:00,6736.0,20220900,6758.0,20220800,6736.0,20220900
2022-08-18 23:00:00,6674.0,20220900,6695.0,20220800,6674.0,20220900
2022-08-19 23:00:00,6680.0,20220900,6705.0,20220800,6680.0,20220900
2022-08-22 23:00:00,,20221000,6650.0,20220900,,20221000
2022-08-23 23:00:00,,20221000,6628.0,20220900,,20221000
2022-08-24 23:00:00,,20221000,6535.0,20220900,,20221000
2022-08-25 23:00:00,,20221000,6809.0,20220900,,20221000
2022-08-26 23:00:00,,20221000,6893.0,20220900,,20221000
2022-08-29 23:00:00,,20221000,6836.0,20220900,,20221000
2022-08-30 23:00:00,,20221000,6827.0,20220900,,20221000
2022-08-31 23:00:00,,20221000,6818.0,20220900,,20221000
2022-09-01 23:00:00,6711.0,20221000,6696.0,20220900,6711.0,20221000
2022-09-02 23:00:00,6668.0,20221000,6658.0,20220900,6668.0,20221000
