DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2000-08-31 23:00:00,,20010300,71.31,20001200,,20010300
2000-09-01 23:00:00,69.69,20010300,70.62,20001200,69.69,20010300
2000-09-05 23:00:00,69.69,20010300,70.61,20001200,69.69,20010300
2000-09-06 23:00:00,69.51,20010300,70.43,20001200,69.51,20010300
2000-09-07 23:00:00,69.1,20010300,70.01,20001200,69.1,20010300
2000-09-08 23:00:00,69.77,20010300,70.7,20001200,69.77,20010300
2000-09-11 23:00:00,69.65,20010300,70.58,20001200,69.65,20010300
2000-09-12 23:00:00,70.05,20010300,70.98,20001200,70.05,20010300
2000-09-13 23:00:00,69.65,20010300,70.58,20001200,69.65,20010300
2000-09-14 23:00:00,70.04,20010300,70.99,20001200,70.04,20010300
2000-09-15 23:00:00,70.04,20010300,71.3,20001200,70.04,20010300
2000-09-18 23:00:00,69.92,20010300,70.87,20001200,69.92,20010300
2000-09-19 23:00:00,70.13,20010300,71.06,20001200,70.13,20010300
2000-09-20 23:00:00,69.94,20010300,70.86,20001200,69.94,20010300
2000-09-21 23:00:00,69.89,20010300,70.79,20001200,69.89,20010300
2000-09-22 23:00:00,70.72,20010300,71.63,20001200,70.72,20010300
2000-09-25 23:00:00,70.63,20010300,71.54,20001200,70.63,20010300
2000-09-26 23:00:00,70.52,20010300,71.43,20001200,70.52,20010300
2000-09-27 23:00:00,69.89,20010300,70.81,20001200,69.89,20010300
2000-09-28 23:00:00,69.91,20010300,70.81,20001200,69.91,20010300
2000-09-29 23:00:00,70.1,20010300,71.01,20001200,70.1,20010300
2000-10-02 23:00:00,70.4,20010300,71.34,20001200,70.4,20010300
2000-10-03 23:00:00,70.56,20010300,71.48,20001200,70.56,20010300
2000-10-04 23:00:00,71.34,20010300,72.25,20001200,71.34,20010300
2000-10-05 23:00:00,71.34,20010300,72.13,20001200,71.34,20010300
2000-10-06 23:00:00,70.72,20010300,71.64,20001200,70.72,20010300
2000-10-09 23:00:00,70.91,20010300,71.83,20001200,70.91,20010300
2000-10-10 23:00:00,70.12,20010300,71.04,20001200,70.12,20010300
2000-10-11 23:00:00,69.9,20010300,70.81,20001200,69.9,20010300
2000-10-12 23:00:00,69.54,20010300,70.43,20001200,69.54,20010300
2000-10-13 23:00:00,69.9,20010300,70.8,20001200,69.9,20010300
2000-10-16 23:00:00,69.55,20010300,70.45,20001200,69.55,20010300
2000-10-17 23:00:00,69.46,20010300,70.37,20001200,69.46,20010300
2000-10-18 23:00:00,69.53,20010300,70.43,20001200,69.53,20010300
2000-10-19 23:00:00,70.06,20010300,70.97,20001200,70.06,20010300
2000-10-20 23:00:00,70.43,20010300,71.34,20001200,70.43,20010300
2000-10-23 23:00:00,70.43,20010300,71.12,20001200,70.43,20010300
2000-10-24 23:00:00,69.91,20010300,70.81,20001200,69.91,20010300
2000-10-25 23:00:00,69.78,20010300,70.68,20001200,69.78,20010300
2000-10-26 23:00:00,69.62,20010300,70.51,20001200,69.62,20010300
2000-10-27 23:00:00,69.61,20010300,70.51,20001200,69.61,20010300
2000-10-30 23:00:00,69.74,20010300,70.66,20001200,69.74,20010300
2000-10-31 23:00:00,70.17,20010300,71.09,20001200,70.17,20010300
2000-11-01 23:00:00,69.29,20010300,70.2,20001200,69.29,20010300
2000-11-02 23:00:00,69.26,20010300,70.17,20001200,69.26,20010300
2000-11-06 23:00:00,68.85,20010300,69.76,20001200,68.85,20010300
2000-11-07 23:00:00,68.53,20010300,69.43,20001200,68.53,20010300
2000-11-08 23:00:00,68.26,20010300,69.17,20001200,68.26,20010300
2000-11-09 23:00:00,68.0,20010300,68.9,20001200,68.0,20010300
2000-11-10 23:00:00,68.49,20010300,69.41,20001200,68.49,20010300
2000-11-13 23:00:00,68.47,20010300,69.37,20001200,68.47,20010300
2000-11-14 23:00:00,68.71,20010300,69.61,20001200,68.71,20010300
2000-11-15 23:00:00,68.85,20010300,69.75,20001200,68.85,20010300
2000-11-16 23:00:00,68.88,20010300,69.77,20001200,68.88,20010300
2000-11-17 23:00:00,68.88,20010300,69.55,20001200,68.88,20010300
2000-11-20 23:00:00,69.25,20010300,70.16,20001200,69.25,20010300
2000-11-21 23:00:00,69.5,20010300,70.42,20001200,69.5,20010300
2000-11-22 23:00:00,70.03,20010300,70.94,20001200,70.03,20010300
2000-11-24 23:00:00,71.21,20010300,72.16,20001200,71.21,20010300
2000-11-27 23:00:00,70.78,20010300,71.71,20001200,70.78,20010300
2000-11-28 23:00:00,70.78,20010300,71.45,20001200,70.78,20010300
2000-11-29 23:00:00,70.94,20010300,71.92,20001200,70.94,20010300
2000-11-30 23:00:00,69.87,20010600,70.79,20010300,69.87,20010600
2000-12-01 23:00:00,69.91,20010600,70.82,20010300,69.91,20010600
2000-12-04 23:00:00,69.98,20010600,70.89,20010300,69.98,20010600
2000-12-05 23:00:00,70.1,20010600,71.0,20010300,70.1,20010600
2000-12-06 23:00:00,70.3,20010600,71.2,20010300,70.3,20010600
2000-12-07 23:00:00,70.49,20010600,71.39,20010300,70.49,20010600
2000-12-08 23:00:00,71.25,20010600,71.39,20010300,71.25,20010600
2000-12-11 23:00:00,70.74,20010600,71.63,20010300,70.74,20010600
2000-12-12 23:00:00,71.02,20010600,71.93,20010300,71.02,20010600
2000-12-13 23:00:00,72.03,20010600,72.96,20010300,72.03,20010600
2000-12-14 23:00:00,72.17,20010600,73.07,20010300,72.17,20010600
2000-12-15 23:00:00,72.06,20010600,73.03,20010300,72.06,20010600
2000-12-18 23:00:00,71.58,20010600,72.51,20010300,71.58,20010600
2000-12-19 23:00:00,72.12,20010600,73.04,20010300,72.12,20010600
2000-12-20 23:00:00,72.33,20010600,73.23,20010300,72.33,20010600
2000-12-21 23:00:00,71.93,20010600,72.85,20010300,71.93,20010600
2000-12-22 23:00:00,72.57,20010600,73.47,20010300,72.57,20010600
2000-12-26 23:00:00,73.44,20010600,74.38,20010300,73.44,20010600
2000-12-27 23:00:00,73.86,20010600,74.8,20010300,73.86,20010600
2000-12-28 23:00:00,74.37,20010600,75.32,20010300,74.37,20010600
2000-12-29 23:00:00,74.65,20010600,75.6,20010300,74.65,20010600
2001-01-02 23:00:00,74.99,20010600,75.91,20010300,74.99,20010600
2001-01-03 23:00:00,74.99,20010600,75.03,20010300,74.99,20010600
2001-01-04 23:00:00,74.99,20010600,76.4,20010300,74.99,20010600
2001-01-05 23:00:00,76.11,20010600,77.02,20010300,76.11,20010600
2001-01-08 23:00:00,75.8,20010600,76.69,20010300,75.8,20010600
2001-01-09 23:00:00,75.8,20010600,75.71,20010300,75.8,20010600
2001-01-10 23:00:00,75.88,20010600,76.78,20010300,75.88,20010600
2001-01-11 23:00:00,77.06,20010600,78.0,20010300,77.06,20010600
2001-01-12 23:00:00,77.06,20010600,78.24,20010300,77.06,20010600
2001-01-16 23:00:00,76.39,20010600,77.32,20010300,76.39,20010600
2001-01-17 23:00:00,76.39,20010600,77.95,20010300,76.39,20010600
2001-01-18 23:00:00,76.42,20010600,77.35,20010300,76.42,20010600
2001-01-19 23:00:00,75.86,20010600,76.8,20010300,75.86,20010600
2001-01-22 23:00:00,75.98,20010600,76.89,20010300,75.98,20010600
2001-01-23 23:00:00,75.98,20010600,76.9,20010300,75.98,20010600
2001-01-24 23:00:00,76.45,20010600,77.36,20010300,76.45,20010600
2001-01-25 23:00:00,75.89,20010600,76.8,20010300,75.89,20010600
2001-01-26 23:00:00,76.41,20010600,77.32,20010300,76.41,20010600
2001-01-29 23:00:00,76.29,20010600,77.17,20010300,76.29,20010600
2001-01-30 23:00:00,75.62,20010600,76.5,20010300,75.62,20010600
2001-01-31 23:00:00,76.33,20010600,77.22,20010300,76.33,20010600
2001-02-01 23:00:00,76.02,20010600,76.9,20010300,76.02,20010600
2001-02-02 23:00:00,76.15,20010600,77.03,20010300,76.15,20010600
2001-02-05 23:00:00,74.91,20010600,75.77,20010300,74.91,20010600
2001-02-06 23:00:00,74.64,20010600,75.5,20010300,74.64,20010600
2001-02-07 23:00:00,75.6,20010600,76.45,20010300,75.6,20010600
2001-02-08 23:00:00,75.88,20010600,76.75,20010300,75.88,20010600
2001-02-09 23:00:00,76.54,20010600,77.43,20010300,76.54,20010600
2001-02-12 23:00:00,75.96,20010600,76.85,20010300,75.96,20010600
2001-02-13 23:00:00,75.33,20010600,76.21,20010300,75.33,20010600
2001-02-14 23:00:00,74.94,20010600,75.81,20010300,74.94,20010600
2001-02-15 23:00:00,74.38,20010600,75.27,20010300,74.38,20010600
2001-02-16 23:00:00,73.75,20010600,74.62,20010300,73.75,20010600
2001-02-20 23:00:00,73.93,20010600,74.79,20010300,73.93,20010600
2001-02-21 23:00:00,74.74,20010600,75.6,20010300,74.74,20010600
2001-02-22 23:00:00,74.56,20010600,75.4,20010300,74.56,20010600
2001-02-23 23:00:00,74.21,20010600,75.05,20010300,74.21,20010600
2001-02-26 23:00:00,75.14,20010600,75.99,20010300,75.14,20010600
2001-02-27 23:00:00,74.97,20010600,75.82,20010300,74.97,20010600
2001-02-28 23:00:00,74.56,20010900,75.39,20010600,74.56,20010900
2001-03-01 23:00:00,73.91,20010900,74.74,20010600,73.91,20010900
2001-03-02 23:00:00,75.01,20010900,75.86,20010600,75.01,20010900
2001-03-05 23:00:00,75.06,20010900,75.91,20010600,75.06,20010900
2001-03-06 23:00:00,75.39,20010900,76.23,20010600,75.39,20010900
2001-03-07 23:00:00,75.53,20010900,76.37,20010600,75.53,20010900
2001-03-08 23:00:00,75.64,20010900,76.46,20010600,75.64,20010900
2001-03-09 23:00:00,75.64,20010900,76.47,20010600,75.64,20010900
2001-03-12 23:00:00,75.87,20010900,76.71,20010600,75.87,20010900
2001-03-13 23:00:00,75.84,20010900,76.65,20010600,75.84,20010900
2001-03-14 23:00:00,76.08,20010900,76.9,20010600,76.08,20010900
2001-03-15 23:00:00,76.67,20010900,77.48,20010600,76.67,20010900
2001-03-16 23:00:00,76.72,20010900,77.55,20010600,76.72,20010900
2001-03-19 23:00:00,76.76,20010900,77.56,20010600,76.76,20010900
2001-03-20 23:00:00,76.49,20010900,77.29,20010600,76.49,20010900
2001-03-21 23:00:00,76.63,20010900,77.45,20010600,76.63,20010900
2001-03-22 23:00:00,76.83,20010900,77.67,20010600,76.83,20010900
2001-03-23 23:00:00,76.81,20010900,77.64,20010600,76.81,20010900
2001-03-26 23:00:00,77.17,20010900,78.02,20010600,77.17,20010900
2001-03-27 23:00:00,76.21,20010900,77.04,20010600,76.21,20010900
2001-03-28 23:00:00,76.61,20010900,77.46,20010600,76.61,20010900
2001-03-29 23:00:00,76.89,20010900,77.75,20010600,76.89,20010900
2001-03-30 23:00:00,78.3,20010900,79.19,20010600,78.3,20010900
2001-04-02 23:00:00,78.52,20010900,79.4,20010600,78.52,20010900
2001-04-03 23:00:00,77.94,20010900,78.81,20010600,77.94,20010900
2001-04-04 23:00:00,78.22,20010900,79.08,20010600,78.22,20010900
2001-04-05 23:00:00,77.21,20010900,78.07,20010600,77.21,20010900
2001-04-06 23:00:00,77.67,20010900,78.54,20010600,77.67,20010900
2001-04-09 23:00:00,78.32,20010900,79.19,20010600,78.32,20010900
2001-04-10 23:00:00,78.45,20010900,79.31,20010600,78.45,20010900
2001-04-11 23:00:00,78.33,20010900,79.2,20010600,78.33,20010900
2001-04-12 23:00:00,77.8,20010900,78.68,20010600,77.8,20010900
2001-04-16 23:00:00,78.14,20010900,79.02,20010600,78.14,20010900
2001-04-17 23:00:00,77.6,20010900,78.47,20010600,77.6,20010900
2001-04-18 23:00:00,76.8,20010900,77.67,20010600,76.8,20010900
2001-04-19 23:00:00,77.06,20010900,77.87,20010600,77.06,20010900
2001-04-20 23:00:00,77.88,20010900,78.69,20010600,77.88,20010900
2001-04-23 23:00:00,76.9,20010900,77.71,20010600,76.9,20010900
2001-04-24 23:00:00,77.6,20010900,78.4,20010600,77.6,20010900
2001-04-25 23:00:00,77.52,20010900,78.33,20010600,77.52,20010900
2001-04-26 23:00:00,78.33,20010900,79.15,20010600,78.33,20010900
2001-04-27 23:00:00,79.15,20010900,79.99,20010600,79.15,20010900
2001-04-30 23:00:00,79.03,20010900,79.87,20010600,79.03,20010900
2001-05-01 23:00:00,78.26,20010900,79.1,20010600,78.26,20010900
2001-05-02 23:00:00,78.08,20010900,78.91,20010600,78.08,20010900
2001-05-03 23:00:00,77.88,20010900,78.72,20010600,77.88,20010900
2001-05-04 23:00:00,77.73,20010900,78.52,20010600,77.73,20010900
2001-05-07 23:00:00,77.35,20010900,78.16,20010600,77.35,20010900
2001-05-08 23:00:00,77.35,20010900,78.15,20010600,77.35,20010900
2001-05-09 23:00:00,78.23,20010900,79.05,20010600,78.23,20010900
2001-05-10 23:00:00,78.25,20010900,79.06,20010600,78.25,20010900
2001-05-11 23:00:00,77.88,20010900,78.7,20010600,77.88,20010900
2001-05-14 23:00:00,78.27,20010900,79.11,20010600,78.27,20010900
2001-05-15 23:00:00,78.64,20010900,79.49,20010600,78.64,20010900
2001-05-16 23:00:00,79.03,20010900,79.87,20010600,79.03,20010900
