DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2015-11-09 23:00:00,148.51,20160100,149.2,20151200,148.51,20160100
2015-11-10 23:00:00,148.86,20160100,149.48,20151200,148.86,20160100
2015-11-11 23:00:00,149.4,20160100,150.02,20151200,149.4,20160100
2015-11-12 23:00:00,149.49,20160100,150.11,20151200,149.49,20160100
2015-11-13 23:00:00,149.6,20160100,150.06,20151200,149.6,20160100
2015-11-16 23:00:00,149.85,20160100,150.31,20151200,149.85,20160100
2015-11-17 23:00:00,150.18,20160100,150.43,20151200,150.18,20160100
2015-11-18 23:00:00,149.27,20160100,149.75,20151200,149.27,20160100
2015-11-19 23:00:00,150.13,20160100,150.27,20151200,150.13,20160100
2015-11-20 23:00:00,149.96,20160100,150.27,20151200,149.96,20160100
2015-11-23 23:00:00,149.53,20160100,149.53,20151200,149.53,20160100
2015-11-24 23:00:00,149.76,20160100,150.03,20151200,149.76,20160100
2015-11-25 23:00:00,149.68,20160100,149.68,20151200,149.68,20160100
2015-11-26 23:00:00,149.22,20160100,149.44,20151200,149.22,20160100
2015-11-27 23:00:00,148.28,20160100,149.01,20151200,148.28,20160100
2015-11-30 23:00:00,148.52,20160100,149.25,20151200,148.52,20160100
2015-12-01 23:00:00,148.97,20160100,149.63,20151200,148.97,20160100
2015-12-02 23:00:00,148.77,20160100,149.52,20151200,148.77,20160100
2015-12-03 23:00:00,148.99,20160100,149.51,20151200,148.99,20160100
2015-12-04 23:00:00,148.64,20160100,149.3,20151200,148.64,20160100
2015-12-07 23:00:00,148.83,20160100,149.34,20151200,148.83,20160100
2015-12-08 23:00:00,147.93,20160200,148.42,20160100,147.93,20160200
2015-12-09 23:00:00,147.87,20160200,148.35,20160100,147.87,20160200
2015-12-10 23:00:00,147.82,20160200,148.43,20160100,147.82,20160200
2015-12-11 23:00:00,147.81,20160200,148.32,20160100,147.81,20160200
2015-12-14 23:00:00,147.23,20160200,147.74,20160100,147.23,20160200
2015-12-15 23:00:00,147.79,20160200,148.29,20160100,147.79,20160200
2015-12-16 23:00:00,148.64,20160200,148.88,20160100,148.64,20160200
2015-12-17 23:00:00,149.36,20160200,149.47,20160100,149.36,20160200
2015-12-18 23:00:00,149.58,20160200,149.68,20160100,149.58,20160200
2015-12-21 23:00:00,149.66,20160200,149.72,20160100,149.66,20160200
2015-12-22 23:00:00,149.74,20160200,149.85,20160100,149.74,20160200
2015-12-23 23:00:00,150.08,20160200,150.43,20160100,150.08,20160200
2015-12-24 23:00:00,150.46,20160200,150.66,20160100,150.46,20160200
2015-12-25 23:00:00,150.47,20160200,150.67,20160100,150.47,20160200
2015-12-28 23:00:00,150.08,20160200,150.57,20160100,150.08,20160200
2015-12-29 23:00:00,149.63,20160200,150.13,20160100,149.63,20160200
2015-12-30 23:00:00,149.64,20160200,150.17,20160100,149.64,20160200
2015-12-31 23:00:00,150.14,20160200,150.69,20160100,150.14,20160200
2016-01-04 23:00:00,149.14,20160200,149.69,20160100,149.14,20160200
2016-01-05 23:00:00,149.15,20160200,149.75,20160100,149.15,20160200
2016-01-06 23:00:00,148.71,20160200,149.19,20160100,148.71,20160200
2016-01-07 23:00:00,147.87,20160300,148.46,20160200,147.87,20160300
2016-01-08 23:00:00,148.51,20160300,149.03,20160200,148.51,20160300
2016-01-11 23:00:00,148.2,20160300,148.7,20160200,148.2,20160300
2016-01-12 23:00:00,148.11,20160300,148.54,20160200,148.11,20160300
2016-01-13 23:00:00,148.19,20160300,148.6,20160200,148.19,20160300
2016-01-14 23:00:00,147.03,20160300,147.3,20160200,147.03,20160300
2016-01-15 23:00:00,146.23,20160300,146.75,20160200,146.23,20160300
2016-01-18 23:00:00,146.29,20160300,146.87,20160200,146.29,20160300
2016-01-19 23:00:00,146.57,20160300,146.96,20160200,146.57,20160300
2016-01-20 23:00:00,145.04,20160300,145.94,20160200,145.04,20160300
2016-01-21 23:00:00,145.53,20160300,146.05,20160200,145.53,20160300
2016-01-22 23:00:00,146.84,20160300,147.12,20160200,146.84,20160300
2016-01-25 23:00:00,146.46,20160300,146.69,20160200,146.46,20160300
2016-01-26 23:00:00,146.25,20160300,146.46,20160200,146.25,20160300
2016-01-27 23:00:00,145.56,20160300,146.16,20160200,145.56,20160300
2016-01-28 23:00:00,145.11,20160300,145.92,20160200,145.11,20160300
2016-01-29 23:00:00,146.4,20160300,146.85,20160200,146.4,20160300
2016-02-01 23:00:00,146.38,20160300,146.74,20160200,146.38,20160300
2016-02-02 23:00:00,146.06,20160300,146.44,20160200,146.06,20160300
2016-02-03 23:00:00,145.0,20160300,146.21,20160200,145.0,20160300
2016-02-04 23:00:00,146.63,20160300,147.46,20160200,146.63,20160300
2016-02-05 23:00:00,146.59,20160300,147.27,20160200,146.59,20160300
2016-02-08 23:00:00,145.59,20160400,146.15,20160300,145.59,20160400
2016-02-09 23:00:00,145.51,20160400,145.98,20160300,145.51,20160400
2016-02-10 23:00:00,145.84,20160400,146.34,20160300,145.84,20160400
2016-02-11 23:00:00,144.62,20160400,145.09,20160300,144.62,20160400
