DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2013-12-10 10:32:55,,20140600,,20140300,,20140600
2013-12-10 10:33:19,,20140600,,20140300,,20140600
2013-12-10 23:00:00,263.9,20140600,262.05,20140300,263.9,20140600
2013-12-11 02:31:14,263.45,20140600,,20140300,263.45,20140600
2013-12-11 02:31:39,,20140600,261.66875,20140300,,20140600
2013-12-11 23:00:00,260.9,20140600,258.8,20140300,260.9,20140600
2013-12-12 02:31:18,257.95,20140600,,20140300,257.95,20140600
2013-12-12 02:31:43,,20140600,258.00625,20140300,,20140600
2013-12-12 23:00:00,258.05,20140600,257.3,20140300,258.05,20140600
2013-12-13 02:31:16,257.625,20140600,,20140300,257.625,20140600
2013-12-13 02:31:40,,20140600,256.1375,20140300,,20140600
2013-12-13 23:00:00,258.3,20140600,256.9,20140300,258.3,20140600
2013-12-16 02:31:20,258.625,20140600,,20140300,258.625,20140600
2013-12-16 02:31:44,,20140600,257.175,20140300,,20140600
2013-12-16 23:00:00,258.55,20140600,257.1,20140300,258.55,20140600
2013-12-17 02:31:16,260.975,20140600,,20140300,260.975,20140600
2013-12-17 02:31:41,,20140600,259.4875,20140300,,20140600
2013-12-17 23:00:00,259.9,20140600,258.65,20140300,259.9,20140600
2013-12-18 02:31:16,260.875,20140600,,20140300,260.875,20140600
2013-12-18 02:31:40,,20140600,259.325,20140300,,20140600
2013-12-18 23:00:00,261.4,20140600,260.0,20140300,261.4,20140600
2013-12-19 02:31:17,262.81666666666666,20140600,,20140300,262.81666666666666,20140600
2013-12-19 02:31:42,,20140600,261.24375,20140300,,20140600
2013-12-19 23:00:00,260.6,20140600,259.45,20140300,260.6,20140600
2013-12-20 23:00:00,261.95,20140600,260.75,20140300,261.95,20140600
2013-12-23 23:00:00,264.35,20140600,263.15,20140300,264.35,20140600
2013-12-24 02:31:18,264.875,20140600,,20140300,264.875,20140600
2013-12-24 02:31:42,,20140600,263.325,20140300,,20140600
2013-12-24 23:00:00,265.5,20140600,263.55,20140300,265.5,20140600
2013-12-25 02:31:15,,20140600,,20140300,,20140600
2013-12-25 02:31:40,,20140600,,20140300,,20140600
2013-12-26 02:31:14,265.425,20140600,,20140300,265.425,20140600
2013-12-26 02:31:39,,20140600,263.825,20140300,,20140600
2013-12-26 23:00:00,264.9,20140600,263.1,20140300,264.9,20140600
2013-12-27 02:31:14,266.81875,20140600,,20140300,266.81875,20140600
2013-12-27 02:31:39,,20140600,265.225,20140300,,20140600
2013-12-27 23:00:00,266.7,20140600,265.45,20140300,266.7,20140600
2013-12-30 02:31:16,267.2,20140600,,20140300,267.2,20140600
2013-12-30 02:31:41,,20140600,265.575,20140300,,20140600
2013-12-30 23:00:00,267.5,20140600,265.65,20140300,267.5,20140600
2013-12-31 02:31:15,,20140600,,20140300,,20140600
2013-12-31 02:31:40,,20140600,,20140300,,20140600
2014-01-01 02:31:15,,20140600,,20140300,,20140600
2014-01-01 02:31:39,,20140600,,20140300,,20140600
2014-01-02 02:31:14,263.875,20140600,,20140300,263.875,20140600
2014-01-02 02:31:38,,20140600,262.4375,20140300,,20140600
2014-01-02 23:00:00,260.3,20140600,258.4,20140300,260.3,20140600
2014-01-03 02:31:16,256.775,20140600,,20140300,256.775,20140600
2014-01-03 02:31:41,,20140600,255.225,20140300,,20140600
2014-01-03 23:00:00,256.8,20140600,255.25,20140300,256.8,20140600
2014-01-06 23:00:00,257.8,20140600,255.85,20140300,257.8,20140600
2014-01-07 02:31:19,259.03125,20140600,,20140300,259.03125,20140600
2014-01-07 02:31:44,,20140600,257.425,20140300,,20140600
2014-01-07 23:00:00,258.6,20140600,257.05,20140300,258.6,20140600
2014-01-08 02:31:20,258.725,20140600,,20140300,258.725,20140600
2014-01-08 02:31:45,,20140600,257.125,20140300,,20140600
2014-01-08 23:00:00,258.2,20140600,256.8,20140300,258.2,20140600
2014-01-09 02:31:16,257.9,20140600,,20140300,257.9,20140600
2014-01-09 02:31:42,,20140600,256.325,20140300,,20140600
2014-01-09 23:00:00,256.95,20140600,255.5,20140300,256.95,20140600
2014-01-10 23:00:00,254.85,20140600,253.4,20140300,254.85,20140600
2014-01-13 23:00:00,256.65,20140600,255.45,20140300,256.65,20140600
2014-01-14 23:00:00,256.3,20140600,254.95,20140300,256.3,20140600
2014-01-15 23:00:00,256.95,20140600,255.85,20140300,256.95,20140600
2014-01-16 23:00:00,258.0,20140600,256.35,20140300,258.0,20140600
2014-01-17 02:31:25,255.55,20140600,,20140300,255.55,20140600
2014-01-17 02:31:50,,20140600,253.975,20140300,,20140600
2014-01-17 23:00:00,255.8,20140600,254.0,20140300,255.8,20140600
2014-01-20 23:00:00,257.25,20140600,256.1,20140300,257.25,20140600
2014-01-21 23:00:00,259.35,20140600,257.9,20140300,259.35,20140600
2014-01-22 23:00:00,259.15,20140600,257.65,20140300,259.15,20140600
2014-01-23 23:00:00,256.25,20140600,254.6,20140300,256.25,20140600
2014-01-24 02:31:23,254.725,20140600,,20140300,254.725,20140600
2014-01-24 02:31:49,,20140600,253.1625,20140300,,20140600
2014-01-24 23:00:00,255.0,20140600,253.4,20140300,255.0,20140600
2014-01-27 02:31:18,250.45625,20140600,,20140300,250.45625,20140600
2014-01-27 02:31:44,,20140600,248.875,20140300,,20140600
2014-01-27 23:00:00,251.7,20140600,250.2,20140300,251.7,20140600
2014-01-28 23:00:00,251.7,20140600,251.25,20140300,251.7,20140600
2014-01-29 23:00:00,256.15,20140600,254.5,20140300,256.15,20140600
2014-01-31 09:22:15,,20140600,,20140300,,20140600
2014-01-31 09:22:50,,20140600,,20140300,,20140600
2014-02-03 06:48:14,,20140600,,20140300,,20140600
2014-02-03 06:48:40,,20140600,,20140300,,20140600
2014-02-03 06:53:46,,20140600,,20140300,,20140600
2014-02-03 06:54:12,,20140600,,20140300,,20140600
2014-02-03 06:59:04,,20140600,,20140300,,20140600
2014-02-03 06:59:31,,20140600,,20140300,,20140600
2014-02-03 07:04:27,,20140600,,20140300,,20140600
2014-02-03 07:04:52,,20140600,,20140300,,20140600
2014-02-03 07:09:47,,20140600,,20140300,,20140600
2014-02-03 07:10:11,,20140600,,20140300,,20140600
2014-02-03 07:15:07,,20140600,,20140300,,20140600
