DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-10-19 23:00:00,1.3568,20201200,1.35685,20201100,1.3568,20201200
2020-10-20 23:00:00,1.3575,20201200,1.3573,20201100,1.3575,20201200
2020-10-21 23:00:00,1.3547,20201200,1.35475,20201100,1.3547,20201200
2020-10-22 23:00:00,1.35735,20201200,1.35745,20201100,1.35735,20201200
2020-10-23 23:00:00,1.3568,20201200,1.35685,20201100,1.3568,20201200
2020-10-24 23:00:00,1.35855,20201200,1.3584,20201100,1.35855,20201200
2020-10-26 23:00:00,1.3601,20201200,1.36015,20201100,1.3601,20201200
2020-10-27 23:00:00,1.35965,20201200,1.36015,20201100,1.35965,20201200
2020-10-28 23:00:00,1.35945,20201200,1.3627,20201100,1.35945,20201200
2020-10-29 23:00:00,,20201200,1.36485,20201100,,20201200
2020-10-30 23:00:00,1.36555,20201200,1.36585,20201100,1.36555,20201200
2020-10-31 23:00:00,,20201200,1.36425,20201100,,20201200
2020-11-02 23:00:00,1.36535,20201200,1.36535,20201100,1.36535,20201200
2020-11-03 23:00:00,1.36185,20201200,1.36145,20201100,1.36185,20201200
2020-11-04 23:00:00,1.3662,20201200,1.3666,20201100,1.3662,20201200
2020-11-05 23:00:00,1.3563,20201200,1.3585,20201100,1.3563,20201200
2020-11-06 23:00:00,1.3482,20201200,1.3485,20201100,1.3482,20201200
2020-11-07 23:00:00,,20210100,1.3486,20201200,,20210100
2020-11-09 23:00:00,,20210100,1.34325,20201200,,20210100
2020-11-10 23:00:00,,20210100,1.3464,20201200,,20210100
2020-11-11 23:00:00,,20210100,1.3487,20201200,,20210100
2020-11-12 23:00:00,,20210100,1.34895,20201200,,20210100
2020-11-13 23:00:00,,20210100,1.34955,20201200,,20210100
2020-11-14 23:00:00,,20210100,1.3486,20201200,,20210100
2020-11-16 23:00:00,,20210100,1.34645,20201200,,20210100
2020-11-17 23:00:00,1.34665,20210100,1.3445,20201200,1.34665,20210100
2020-11-18 23:00:00,1.34295,20210100,1.341,20201200,1.34295,20210100
2020-11-19 23:00:00,,20210100,1.3465,20201200,,20210100
2020-11-20 23:00:00,1.34295,20210100,1.3434,20201200,1.34295,20210100
2020-11-23 23:00:00,1.3406,20210100,1.34065,20201200,1.3406,20210100
2020-11-24 23:00:00,1.3434,20210100,1.34415,20201200,1.3434,20210100
2020-11-25 23:00:00,1.3416,20210100,1.3427,20201200,1.3416,20210100
2020-11-26 23:00:00,1.33885,20210100,1.3383,20201200,1.33885,20210100
2020-11-27 23:00:00,,20210100,1.3382,20201200,,20210100
2020-11-28 23:00:00,,20210100,1.33805,20201200,,20210100
2020-11-30 23:00:00,,20210100,1.33705,20201200,,20210100
2020-12-01 23:00:00,1.3411,20210100,1.34115,20201200,1.3411,20210100
2020-12-02 23:00:00,,20210100,1.3403,20201200,,20210100
2020-12-03 23:00:00,1.3372,20210100,1.3373,20201200,1.3372,20210100
2020-12-04 23:00:00,1.3325,20210100,1.3321,20201200,1.3325,20210100
2020-12-05 23:00:00,1.3329,20210100,1.333,20201200,1.3329,20210100
2020-12-07 23:00:00,,20210200,1.33785,20210100,,20210200
2020-12-08 23:00:00,1.33615,20210200,1.33725,20210100,1.33615,20210200
2020-12-09 23:00:00,1.3361,20210200,1.3358,20210100,1.3361,20210200
2020-12-10 23:00:00,,20210200,1.33705,20210100,,20210200
2020-12-11 23:00:00,1.334,20210200,1.333,20210100,1.334,20210200
2020-12-12 23:00:00,,20210200,1.33685,20210100,,20210200
2020-12-14 23:00:00,1.33225,20210200,1.33225,20210100,1.33225,20210200
2020-12-15 23:00:00,1.3362,20210200,1.33625,20210100,1.3362,20210200
2020-12-16 23:00:00,1.33145,20210200,1.33175,20210100,1.33145,20210200
2020-12-17 23:00:00,1.32555,20210200,1.32575,20210100,1.32555,20210200
2020-12-18 23:00:00,1.32685,20210200,1.3269,20210100,1.32685,20210200
2020-12-19 23:00:00,,20210200,1.3278,20210100,,20210200
2020-12-21 23:00:00,1.3382,20210200,1.33825,20210100,1.3382,20210200
2020-12-22 23:00:00,1.3351,20210200,1.33435,20210100,1.3351,20210200
2020-12-23 23:00:00,1.33555,20210200,1.33345,20210100,1.33555,20210200
2020-12-24 23:00:00,1.33165,20210200,1.32835,20210100,1.33165,20210200
2020-12-28 23:00:00,,20210200,1.3293,20210100,,20210200
2020-12-29 23:00:00,,20210200,1.32845,20210100,,20210200
2020-12-30 23:00:00,,20210200,1.32425,20210100,,20210200
2020-12-31 23:00:00,,20210200,1.3217,20210100,,20210200
2021-01-01 23:00:00,1.32105,20210200,,20210100,1.32105,20210200
2021-01-04 23:00:00,1.31635,20210200,1.3164,20210100,1.31635,20210200
2021-01-05 23:00:00,1.31895,20210200,1.3182,20210100,1.31895,20210200
2021-01-06 23:00:00,1.31745,20210200,1.3169,20210100,1.31745,20210200
2021-01-07 23:00:00,,20210300,1.32525,20210200,,20210300
2021-01-08 23:00:00,,20210300,1.32435,20210200,,20210300
2021-01-11 23:00:00,,20210300,1.3298,20210200,,20210300
2021-01-12 23:00:00,,20210300,1.3284,20210200,,20210300
2021-01-14 23:00:00,,20210300,1.3261,20210200,,20210300
2021-01-16 23:00:00,,20210300,1.33,20210200,,20210300
2021-01-18 23:00:00,,20210300,1.3324,20210200,,20210300
2021-01-19 23:00:00,,20210300,1.3305,20210200,,20210300
2021-01-20 23:00:00,,20210300,1.3256,20210200,,20210300
2021-01-21 23:00:00,,20210300,1.32355,20210200,,20210300
2021-01-22 23:00:00,,20210300,1.32685,20210200,,20210300
2021-01-23 23:00:00,,20210300,1.32815,20210200,,20210300
2021-01-25 23:00:00,1.32655,20210300,1.32655,20210200,1.32655,20210300
2021-01-26 23:00:00,1.32895,20210300,1.32905,20210200,1.32895,20210300
2021-01-27 23:00:00,1.32495,20210300,1.32595,20210200,1.32495,20210300
2021-01-28 23:00:00,,20210300,1.33185,20210200,,20210300
2021-01-29 23:00:00,1.32915,20210300,1.32985,20210200,1.32915,20210300
2021-01-30 23:00:00,,20210300,1.32805,20210200,,20210300
2021-02-01 23:00:00,,20210300,1.33155,20210200,,20210300
2021-02-02 23:00:00,1.3315,20210300,1.33135,20210200,1.3315,20210300
2021-02-03 23:00:00,,20210300,1.33405,20210200,,20210300
