DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-03-03 12:00:00,99.665,20220900,99.655,20221200,,20230300
2020-03-03 13:00:00,99.67,20220900,99.66,20221200,,20230300
2020-03-03 14:00:00,99.69,20220900,99.68,20221200,,20230300
2020-03-04 13:00:00,99.695,20220900,99.685,20221200,,20230300
2020-03-04 14:00:00,99.715,20220900,99.705,20221200,,20230300
2020-03-05 09:00:00,99.73,20220900,99.72,20221200,,20230300
2020-03-05 10:00:00,99.73,20220900,99.72,20221200,,20230300
2020-03-05 11:00:00,99.735,20220900,99.72,20221200,,20230300
2020-03-05 12:00:00,99.735,20220900,99.72,20221200,,20230300
2020-03-05 13:00:00,99.745,20220900,99.725,20221200,,20230300
2020-03-05 14:00:00,99.745,20220900,99.73,20221200,,20230300
2020-03-05 15:00:00,99.745,20220900,99.73,20221200,,20230300
2020-03-05 16:00:00,99.755,20220900,99.74,20221200,,20230300
2020-03-16 15:00:00,99.655,20220900,99.64,20221200,,20230300
2020-03-17 09:00:00,99.615,20220900,99.59,20221200,,20230300
2020-03-17 10:00:00,99.61,20220900,99.585,20221200,,20230300
2020-03-17 11:00:00,99.6,20220900,99.575,20221200,,20230300
2020-03-17 12:00:00,99.635,20220900,99.615,20221200,,20230300
2020-03-17 13:00:00,99.625,20220900,99.61,20221200,,20230300
2020-03-17 14:00:00,99.64,20220900,99.62,20221200,,20230300
2020-03-24 10:00:00,99.74,20220900,99.72,20221200,99.695,20230300
2020-03-24 11:00:00,99.75,20221200,99.725,20230300,,20230600
2020-03-24 12:00:00,99.735,20221200,99.715,20230300,,20230600
2020-03-24 13:00:00,99.72,20221200,99.695,20230300,,20230600
2020-03-24 14:00:00,99.71,20221200,99.685,20230300,,20230600
2020-03-24 15:00:00,99.705,20221200,99.67,20230300,,20230600
2020-03-24 16:00:00,99.695,20221200,99.66,20230300,,20230600
2020-03-25 08:00:00,99.675,20221200,99.645,20230300,,20230600
2020-03-25 09:00:00,99.7,20221200,99.67,20230300,,20230600
2020-03-25 10:00:00,99.685,20221200,99.65,20230300,,20230600
