DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-08-22 23:00:00,,20230100,6964.0,20221200,6897.0,20230300
2022-08-29 23:00:00,,20230100,6886.0,20221200,6819.0,20230300
2022-09-05 23:00:00,,20230100,6837.0,20221200,6770.0,20230300
2022-09-07 23:00:00,,20230100,6738.0,20221200,,20230300
2022-09-08 23:00:00,,20230100,6853.0,20221200,,20230300
2022-09-09 23:00:00,,20230100,6889.0,20221200,,20230300
2022-09-10 23:00:00,,20230100,6971.0,20221200,,20230300
2022-09-12 23:00:00,,20230100,6961.0,20221200,6894.0,20230300
2022-09-13 23:00:00,,20230100,7014.0,20221200,,20230300
2022-09-14 23:00:00,,20230100,6837.0,20221200,,20230300
2022-09-15 23:00:00,,20230100,6844.0,20221200,,20230300
2022-09-16 23:00:00,,20230100,6739.0,20221200,,20230300
2022-09-17 23:00:00,,20230100,6737.0,20221200,,20230300
2022-09-19 23:00:00,,20230100,6721.0,20221200,6658.0,20230300
2022-09-20 23:00:00,,20230100,6814.0,20221200,,20230300
2022-09-21 23:00:00,,20230100,6691.0,20221200,,20230300
2022-09-22 23:00:00,,20230100,6638.0,20221200,,20230300
2022-09-23 23:00:00,,20230100,6560.0,20221200,,20230300
2022-09-24 23:00:00,,20230100,6478.0,20221200,,20230300
2022-09-26 23:00:00,,20230100,6466.0,20221200,6403.0,20230300
2022-09-27 23:00:00,,20230100,6505.0,20221200,,20230300
2022-09-28 23:00:00,,20230100,6458.0,20221200,,20230300
2022-09-29 23:00:00,,20230100,6546.0,20221200,,20230300
2022-09-30 23:00:00,,20230100,6465.0,20221200,,20230300
2022-10-01 23:00:00,,20230100,6471.0,20221200,,20230300
2022-10-03 23:00:00,,20230100,6452.0,20221200,6389.0,20230300
2022-10-04 23:00:00,,20230100,6695.0,20221200,,20230300
2022-10-05 23:00:00,,20230100,6799.0,20221200,,20230300
2022-10-06 23:00:00,,20230100,6820.0,20221200,,20230300
2022-10-07 23:00:00,,20230100,6763.0,20221200,,20230300
2022-10-08 23:00:00,,20230100,6703.0,20221200,,20230300
2022-10-10 23:00:00,,20230100,6671.0,20221200,6608.0,20230300
2022-10-11 23:00:00,,20230100,6644.0,20221200,,20230300
2022-10-12 23:00:00,,20230100,6646.0,20221200,,20230300
2022-10-13 23:00:00,,20230100,6634.0,20221200,,20230300
2022-10-14 23:00:00,,20230100,6761.0,20221200,,20230300
2022-10-15 23:00:00,,20230100,6660.0,20221200,,20230300
2022-10-17 23:00:00,,20230100,6662.0,20221200,6612.0,20230300
2022-10-18 23:00:00,,20230100,6782.0,20221200,,20230300
2022-10-19 23:00:00,,20230100,6792.0,20221200,,20230300
2022-10-20 23:00:00,,20230100,6725.0,20221200,,20230300
2022-10-21 23:00:00,,20230100,6668.0,20221200,,20230300
2022-10-22 23:00:00,,20230100,6764.0,20221200,,20230300
2022-10-24 23:00:00,6769.0,20230100,6769.0,20221200,6721.0,20230300
2022-10-25 23:00:00,,20230100,6791.0,20221200,,20230300
2022-10-26 23:00:00,,20230100,6798.0,20221200,,20230300
2022-10-27 23:00:00,,20230100,6839.0,20221200,,20230300
2022-10-28 23:00:00,,20230100,6775.0,20221200,,20230300
2022-10-29 23:00:00,,20230100,6868.0,20221200,,20230300
2022-10-31 23:00:00,6856.0,20230100,6856.0,20221200,6808.0,20230300
2022-11-01 23:00:00,,20230100,6972.0,20221200,,20230300
2022-11-02 23:00:00,,20230100,6988.0,20221200,,20230300
2022-11-03 23:00:00,,20230100,6856.0,20221200,,20230300
2022-11-04 23:00:00,,20230100,6884.0,20221200,,20230300
2022-11-05 23:00:00,,20230100,6976.0,20221200,,20230300
2022-11-07 23:00:00,6936.0,20230100,6936.0,20221200,6888.0,20230300
2022-11-08 23:00:00,,20230100,6956.0,20221200,,20230300
2022-11-09 23:00:00,,20230100,6997.0,20221200,,20230300
2022-11-10 23:00:00,,20230100,6958.0,20221200,,20230300
2022-11-11 23:00:00,,20230100,7162.0,20221200,,20230300
2022-11-12 23:00:00,,20230100,7204.0,20221200,,20230300
2022-11-14 23:00:00,7148.0,20230100,7148.0,20221200,7097.0,20230300
2022-11-21 23:00:00,,20230400,7099.0,20230300,7115.0,20230600
2022-11-28 23:00:00,,20230400,7191.0,20230300,7207.0,20230600
2022-12-05 23:00:00,,20230400,7291.0,20230300,7307.0,20230600
2022-12-08 23:00:00,,20230400,7139.0,20230300,,20230600
2022-12-09 23:00:00,,20230400,7165.0,20230300,,20230600
2022-12-10 23:00:00,,20230400,7131.0,20230300,,20230600
2022-12-12 23:00:00,,20230400,7129.0,20230300,7145.0,20230600
2022-12-13 23:00:00,,20230400,7159.0,20230300,,20230600
2022-12-14 23:00:00,,20230400,7200.0,20230300,,20230600
2022-12-15 23:00:00,,20230400,7160.0,20230300,,20230600
2022-12-16 23:00:00,,20230400,7099.0,20230300,,20230600
2022-12-17 23:00:00,,20230400,7072.0,20230300,,20230600
2022-12-19 23:00:00,,20230400,7084.0,20230300,7100.0,20230600
2022-12-20 23:00:00,,20230400,6966.0,20230300,,20230600
2022-12-21 23:00:00,,20230400,7070.0,20230300,,20230600
2022-12-22 23:00:00,,20230400,7099.0,20230300,,20230600
2022-12-23 23:00:00,,20230400,7051.0,20230300,,20230600
2022-12-24 23:00:00,,20230400,7049.0,20230300,7065.0,20230600
2022-12-28 23:00:00,,20230400,7031.0,20230300,7047.0,20230600
2022-12-29 23:00:00,,20230400,6960.0,20230300,,20230600
2022-12-30 23:00:00,,20230400,6993.0,20230300,,20230600
2022-12-31 23:00:00,,20230400,6992.0,20230300,7008.0,20230600
2023-01-03 23:00:00,,20230400,6893.0,20230300,6909.0,20230600
2023-01-04 23:00:00,,20230400,6997.0,20230300,,20230600
2023-01-05 23:00:00,,20230400,7011.0,20230300,,20230600
2023-01-06 23:00:00,,20230400,7050.0,20230300,,20230600
2023-01-07 23:00:00,,20230400,7120.0,20230300,,20230600
2023-01-09 23:00:00,,20230400,7100.0,20230300,7130.0,20230600
2023-01-10 23:00:00,,20230400,7077.0,20230300,,20230600
2023-01-11 23:00:00,,20230400,7138.0,20230300,,20230600
2023-01-12 23:00:00,,20230400,7231.0,20230300,,20230600
2023-01-13 23:00:00,,20230400,7275.0,20230300,,20230600
2023-01-14 23:00:00,,20230400,7310.0,20230300,,20230600
2023-01-16 23:00:00,,20230400,7338.0,20230300,7368.0,20230600
2023-01-17 23:00:00,,20230400,7326.0,20230300,,20230600
2023-01-18 23:00:00,,20230400,7339.0,20230300,,20230600
2023-01-19 23:00:00,,20230400,7386.0,20230300,,20230600
2023-01-20 23:00:00,,20230400,7393.0,20230300,,20230600
2023-01-21 23:00:00,,20230400,7428.0,20230300,,20230600
2023-01-23 23:00:00,7401.0,20230400,7401.0,20230300,7440.0,20230600
2023-01-24 23:00:00,,20230400,7434.0,20230300,,20230600
2023-01-25 23:00:00,,20230400,7415.0,20230300,,20230600
2023-01-26 23:00:00,,20230400,7431.0,20230300,,20230600
