DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2013-06-12 15:00:00,,20131200,428.5,20130900,,20131200
2013-06-12 16:00:00,,20131200,427.2,20130900,,20131200
2013-06-12 17:00:00,,20131200,428.3,20130900,,20131200
2013-06-12 18:00:00,,20131200,426.4,20130900,,20131200
2013-06-13 15:00:00,,20131200,428.2,20130900,,20131200
2013-06-13 16:00:00,,20131200,429.1,20130900,,20131200
2013-06-13 17:00:00,,20131200,429.5,20130900,,20131200
2013-06-13 19:00:00,,20131200,432.3,20130900,,20131200
2013-06-14 13:00:00,,20131200,432.4,20130900,,20131200
2013-06-14 14:00:00,,20131200,432.8,20130900,,20131200
2013-06-14 19:00:00,,20131200,430.4,20130900,,20131200
2013-06-17 14:00:00,,20131200,433.7,20130900,,20131200
2013-06-17 18:00:00,,20131200,431.1,20130900,,20131200
2013-06-19 13:00:00,,20131200,437.6,20130900,,20131200
2013-06-19 14:00:00,,20131200,437.0,20130900,,20131200
2013-06-19 19:00:00,,20131200,432.3,20130900,,20131200
2013-06-20 13:00:00,,20131200,425.8,20130900,,20131200
2013-06-20 14:00:00,,20131200,426.0,20130900,,20131200
2013-06-20 15:00:00,,20131200,426.3,20130900,,20131200
2013-06-20 16:00:00,,20131200,425.8,20130900,,20131200
2013-06-20 17:00:00,,20131200,425.5,20130900,,20131200
2013-06-20 18:00:00,,20131200,421.9,20130900,,20131200
2013-06-20 19:00:00,,20131200,422.2,20130900,,20131200
2013-06-21 13:00:00,,20131200,423.7,20130900,,20131200
2013-06-21 14:00:00,,20131200,421.4,20130900,,20131200
2013-06-21 15:00:00,,20131200,419.8,20130900,,20131200
2013-06-21 16:00:00,,20131200,422.1,20130900,,20131200
2013-06-21 17:00:00,,20131200,420.4,20130900,,20131200
2013-06-21 18:00:00,,20131200,421.5,20130900,,20131200
2013-06-21 19:00:00,,20131200,421.7,20130900,,20131200
2013-06-24 13:00:00,,20131200,414.3,20130900,,20131200
2013-06-24 14:00:00,,20131200,414.4,20130900,,20131200
2013-06-24 15:00:00,,20131200,413.6,20130900,,20131200
2013-06-24 16:00:00,,20131200,413.2,20130900,,20131200
2013-06-24 17:00:00,,20131200,414.2,20130900,,20131200
2013-06-24 18:00:00,,20131200,416.4,20130900,,20131200
2013-06-24 19:00:00,,20131200,415.5,20130900,,20131200
2013-06-25 13:00:00,,20131200,418.3,20130900,,20131200
2013-06-25 14:00:00,,20131200,418.9,20130900,,20131200
2013-06-25 15:00:00,,20131200,418.5,20130900,,20131200
2013-06-25 16:00:00,,20131200,418.8,20130900,,20131200
2013-06-25 17:00:00,,20131200,418.6,20130900,,20131200
2013-06-25 18:00:00,,20131200,419.1,20130900,,20131200
2013-06-25 19:00:00,,20131200,419.7,20130900,,20131200
2013-06-26 13:00:00,,20131200,423.3,20130900,,20131200
2013-06-26 14:00:00,,20131200,422.0,20130900,,20131200
2013-06-26 15:00:00,,20131200,421.8,20130900,,20131200
2013-06-26 16:00:00,,20131200,422.5,20130900,,20131200
2013-06-26 17:00:00,,20131200,423.6,20130900,,20131200
2013-06-26 18:00:00,,20131200,423.6,20130900,,20131200
2013-06-26 19:00:00,,20131200,424.1,20130900,,20131200
2013-06-27 13:00:00,,20131200,426.7,20130900,,20131200
2013-06-27 14:00:00,,20131200,427.8,20130900,,20131200
2013-06-27 15:00:00,,20131200,427.5,20130900,,20131200
2013-06-27 17:00:00,,20131200,428.1,20130900,,20131200
2013-06-28 13:00:00,,20131200,426.7,20130900,,20131200
2013-06-28 14:00:00,,20131200,424.8,20130900,,20131200
2013-06-28 17:00:00,,20131200,426.5,20130900,,20131200
2013-07-01 13:00:00,,20131200,428.2,20130900,,20131200
2013-07-01 14:00:00,,20131200,429.5,20130900,,20131200
2013-07-01 15:00:00,,20131200,430.7,20130900,,20131200
2013-07-01 16:00:00,,20131200,431.3,20130900,,20131200
2013-07-01 17:00:00,,20131200,430.3,20130900,,20131200
2013-07-01 18:00:00,,20131200,429.9,20130900,,20131200
2013-07-01 19:00:00,,20131200,429.0,20130900,,20131200
2013-07-02 13:00:00,,20131200,429.3,20130900,,20131200
2013-07-02 14:00:00,,20131200,428.7,20130900,,20131200
2013-07-02 17:00:00,,20131200,425.4,20130900,,20131200
2013-07-02 18:00:00,,20131200,424.5,20130900,,20131200
2013-07-02 19:00:00,,20131200,424.6,20130900,,20131200
2013-07-03 13:00:00,,20131200,424.0,20130900,,20131200
2013-07-03 15:00:00,,20131200,423.8,20130900,,20131200
2013-07-03 16:00:00,,20131200,425.8,20130900,,20131200
2013-07-05 13:00:00,,20131200,429.5,20130900,,20131200
2013-07-05 14:00:00,,20131200,427.7,20130900,,20131200
2013-07-05 15:00:00,,20131200,428.8,20130900,,20131200
2013-07-05 16:00:00,,20131200,429.5,20130900,,20131200
2013-07-05 17:00:00,,20131200,429.4,20130900,,20131200
2013-07-05 18:00:00,,20131200,430.7,20130900,,20131200
2013-07-05 19:00:00,,20131200,429.6,20130900,,20131200
2013-07-08 13:00:00,,20131200,433.0,20130900,,20131200
2013-07-08 14:00:00,,20131200,434.1,20130900,,20131200
2013-07-09 13:00:00,,20131200,437.1,20130900,,20131200
2013-07-09 14:00:00,,20131200,438.2,20130900,,20131200
2013-07-10 13:00:00,,20131200,438.9,20130900,,20131200
2013-07-10 14:00:00,,20131200,438.4,20130900,,20131200
2013-07-10 18:00:00,,20131200,437.8,20130900,,20131200
2013-07-10 19:00:00,,20131200,437.8,20130900,,20131200
2013-07-11 13:00:00,,20131200,444.3,20130900,,20131200
2013-07-11 14:00:00,,20131200,444.2,20130900,,20131200
2013-07-11 18:00:00,,20131200,445.6,20130900,,20131200
2013-07-12 13:00:00,,20131200,444.5,20130900,,20131200
2013-07-12 14:00:00,,20131200,444.8,20130900,,20131200
2013-07-12 15:00:00,,20131200,444.3,20130900,,20131200
2013-07-12 16:00:00,,20131200,441.7,20130900,,20131200
2013-07-12 19:00:00,,20131200,443.0,20130900,,20131200
2013-07-15 13:00:00,,20131200,444.3,20130900,,20131200
2013-07-15 14:00:00,,20131200,444.4,20130900,,20131200
2013-07-15 15:00:00,,20131200,444.4,20130900,,20131200
2013-07-15 17:00:00,,20131200,444.6,20130900,,20131200
2013-07-16 13:00:00,,20131200,444.9,20130900,,20131200
2013-07-16 15:00:00,,20131200,442.8,20130900,,20131200
2013-07-16 16:00:00,,20131200,442.4,20130900,,20131200
2013-07-16 17:00:00,,20131200,442.1,20130900,,20131200
2013-07-16 18:00:00,,20131200,442.7,20130900,,20131200
2013-07-16 19:00:00,,20131200,442.2,20130900,,20131200
2013-07-17 13:00:00,,20131200,444.1,20130900,,20131200
2013-07-17 14:00:00,,20131200,444.0,20130900,,20131200
2013-07-17 15:00:00,,20131200,443.4,20130900,,20131200
2013-07-17 16:00:00,,20131200,443.8,20130900,,20131200
2013-07-17 18:00:00,,20131200,443.5,20130900,,20131200
2013-07-18 13:00:00,,20131200,444.5,20130900,,20131200
2013-07-18 14:00:00,,20131200,445.9,20130900,,20131200
2013-07-18 15:00:00,,20131200,448.5,20130900,,20131200
2013-07-18 16:00:00,,20131200,448.9,20130900,,20131200
2013-07-18 17:00:00,,20131200,447.8,20130900,,20131200
2013-07-18 19:00:00,,20131200,447.7,20130900,,20131200
2013-07-19 13:00:00,,20131200,450.1,20130900,,20131200
2013-07-19 14:00:00,,20131200,451.5,20130900,,20131200
2013-07-19 15:00:00,,20131200,451.6,20130900,,20131200
2013-07-19 17:00:00,,20131200,451.6,20130900,,20131200
2013-07-19 18:00:00,,20131200,452.3,20130900,,20131200
2013-07-19 19:00:00,,20131200,452.3,20130900,,20131200
2013-07-22 13:00:00,,20131200,453.8,20130900,,20131200
2013-07-22 14:00:00,,20131200,453.4,20130900,,20131200
2013-07-22 19:00:00,,20131200,452.5,20130900,,20131200
2013-07-23 13:00:00,,20131200,453.6,20130900,,20131200
2013-07-23 14:00:00,,20131200,452.1,20130900,,20131200
2013-07-23 16:00:00,,20131200,452.6,20130900,,20131200
2013-07-23 17:00:00,,20131200,452.8,20130900,,20131200
2013-07-23 18:00:00,,20131200,453.3,20130900,,20131200
2013-07-23 19:00:00,,20131200,452.5,20130900,,20131200
2013-07-24 13:00:00,,20131200,451.9,20130900,,20131200
2013-07-24 14:00:00,,20131200,450.8,20130900,,20131200
2013-07-24 15:00:00,,20131200,451.0,20130900,,20131200
2013-07-24 16:00:00,,20131200,450.2,20130900,,20131200
2013-07-24 17:00:00,,20131200,448.7,20130900,,20131200
2013-07-24 18:00:00,,20131200,449.4,20130900,,20131200
2013-07-24 19:00:00,,20131200,448.9,20130900,,20131200
2013-07-25 13:00:00,,20131200,447.2,20130900,,20131200
2013-07-25 14:00:00,,20131200,446.1,20130900,,20131200
2013-07-25 15:00:00,,20131200,445.7,20130900,,20131200
2013-07-25 18:00:00,,20131200,448.4,20130900,,20131200
2013-07-25 19:00:00,,20131200,449.1,20130900,,20131200
2013-07-26 13:00:00,,20131200,447.0,20130900,,20131200
2013-07-26 14:00:00,,20131200,445.8,20130900,,20131200
2013-07-26 15:00:00,,20131200,446.2,20130900,,20131200
2013-07-26 16:00:00,,20131200,446.6,20130900,,20131200
2013-07-26 17:00:00,,20131200,447.0,20130900,,20131200
2013-07-26 18:00:00,,20131200,447.1,20130900,,20131200
2013-07-26 19:00:00,,20131200,447.7,20130900,,20131200
2013-07-26 20:00:00,,20131200,448.8,20130900,,20131200
2013-07-29 13:00:00,,20131200,447.6,20130900,,20131200
2013-07-29 14:00:00,,20131200,447.5,20130900,,20131200
2013-07-29 15:00:00,,20131200,446.6,20130900,,20131200
2013-07-29 16:00:00,,20131200,446.9,20130900,,20131200
2013-07-29 18:00:00,,20131200,447.1,20130900,,20131200
2013-07-29 19:00:00,,20131200,446.6,20130900,,20131200
2013-07-30 13:00:00,,20131200,448.5,20130900,,20131200
2013-07-30 14:00:00,,20131200,448.8,20130900,,20131200
2013-07-30 15:00:00,,20131200,449.7,20130900,,20131200
2013-07-30 16:00:00,,20131200,449.3,20130900,,20131200
2013-07-30 17:00:00,,20131200,447.9,20130900,,20131200
2013-07-30 18:00:00,,20131200,448.6,20130900,,20131200
2013-07-30 19:00:00,,20131200,449.0,20130900,,20131200
2013-07-31 13:00:00,,20131200,451.3,20130900,,20131200
2013-07-31 14:00:00,,20131200,452.8,20130900,,20131200
2013-07-31 15:00:00,,20131200,452.0,20130900,,20131200
2013-07-31 18:00:00,,20131200,453.5,20130900,,20131200
2013-07-31 19:00:00,,20131200,450.6,20130900,,20131200
2013-08-01 13:00:00,,20131200,455.3,20130900,,20131200
2013-08-01 14:00:00,,20131200,457.2,20130900,,20131200
2013-08-01 15:00:00,,20131200,457.2,20130900,,20131200
2013-08-01 16:00:00,,20131200,457.6,20130900,,20131200
2013-08-01 17:00:00,,20131200,457.6,20130900,,20131200
2013-08-01 18:00:00,,20131200,458.3,20130900,,20131200
2013-08-01 19:00:00,,20131200,457.7,20130900,,20131200
2013-08-01 20:00:00,,20131200,458.2,20130900,,20131200
2013-08-02 13:00:00,,20131200,456.0,20130900,,20131200
2013-08-02 15:00:00,,20131200,457.8,20130900,,20131200
2013-08-02 16:00:00,,20131200,457.7,20130900,,20131200
2013-08-02 17:00:00,,20131200,457.9,20130900,,20131200
2013-08-02 18:00:00,,20131200,458.2,20130900,,20131200
2013-08-02 19:00:00,,20131200,458.5,20130900,,20131200
2013-08-05 13:00:00,,20131200,456.9,20130900,,20131200
2013-08-05 14:00:00,,20131200,457.8,20130900,,20131200
2013-08-05 15:00:00,,20131200,457.7,20130900,,20131200
2013-08-05 16:00:00,,20131200,457.9,20130900,,20131200
2013-08-05 17:00:00,,20131200,457.2,20130900,,20131200
2013-08-05 19:00:00,,20131200,457.2,20130900,,20131200
2013-08-06 14:00:00,,20131200,453.3,20130900,,20131200
2013-08-06 15:00:00,,20131200,453.5,20130900,,20131200
2013-08-06 16:00:00,,20131200,453.6,20130900,,20131200
2013-08-06 17:00:00,,20131200,453.6,20130900,,20131200
2013-08-06 18:00:00,,20131200,453.5,20130900,,20131200
