DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2011-06-13 23:00:00,,20111200,305.2,20110900,,20111200
2011-06-14 23:00:00,,20111200,310.5,20110900,,20111200
2011-06-15 23:00:00,,20111200,305.0,20110900,,20111200
2011-06-16 23:00:00,,20111200,307.9,20110900,,20111200
2011-06-17 23:00:00,307.9,20111200,309.9,20110900,307.9,20111200
2011-06-20 23:00:00,309.6,20111200,311.6,20110900,309.6,20111200
2011-06-21 23:00:00,309.6,20111200,311.4,20110900,309.6,20111200
2011-06-22 23:00:00,308.1,20111200,309.4,20110900,308.1,20111200
2011-06-23 23:00:00,305.1,20111200,305.5,20110900,305.1,20111200
2011-06-24 23:00:00,302.6,20111200,304.2,20110900,302.6,20111200
2011-06-27 23:00:00,303.5,20111200,305.7,20110900,303.5,20111200
2011-06-28 23:00:00,304.6,20111200,306.3,20110900,304.6,20111200
2011-06-29 23:00:00,306.7,20111200,308.0,20110900,306.7,20111200
2011-06-30 23:00:00,308.6,20111200,310.4,20110900,308.6,20111200
2011-07-01 23:00:00,311.2,20111200,313.0,20110900,311.2,20111200
2011-07-05 23:00:00,310.8,20111200,312.6,20110900,310.8,20111200
2011-07-06 23:00:00,312.5,20111200,314.3,20110900,312.5,20111200
2011-07-07 23:00:00,314.7,20111200,316.5,20110900,314.7,20111200
2011-07-08 23:00:00,314.0,20111200,315.8,20110900,314.0,20111200
2011-07-11 23:00:00,311.1,20111200,312.9,20110900,311.1,20111200
2011-07-12 23:00:00,310.4,20111200,312.2,20110900,310.4,20111200
2011-07-13 23:00:00,311.0,20111200,312.8,20110900,311.0,20111200
2011-07-14 23:00:00,309.1,20111200,310.9,20110900,309.1,20111200
2011-07-15 23:00:00,309.8,20111200,311.6,20110900,309.8,20111200
2011-07-18 23:00:00,307.8,20111200,309.7,20110900,307.8,20111200
2011-07-19 23:00:00,312.1,20111200,314.0,20110900,312.1,20111200
2011-07-20 23:00:00,311.5,20111200,313.4,20110900,311.5,20111200
2011-07-21 23:00:00,314.2,20111200,316.1,20110900,314.2,20111200
2011-07-22 23:00:00,313.7,20111200,315.6,20110900,313.7,20111200
2011-07-25 23:00:00,310.7,20111200,312.6,20110900,310.7,20111200
2011-07-26 23:00:00,310.0,20111200,311.9,20110900,310.0,20111200
2011-07-27 23:00:00,306.3,20111200,308.2,20110900,306.3,20111200
2011-07-28 23:00:00,306.3,20111200,308.2,20110900,306.3,20111200
2011-07-29 23:00:00,304.4,20111200,306.3,20110900,304.4,20111200
2011-08-01 23:00:00,303.2,20111200,305.1,20110900,303.2,20111200
2011-08-02 23:00:00,299.5,20111200,301.5,20110900,299.5,20111200
2011-08-03 23:00:00,300.1,20111200,302.1,20110900,300.1,20111200
2011-08-04 23:00:00,291.2,20111200,293.1,20110900,291.2,20111200
2011-08-05 23:00:00,294.1,20111200,296.0,20110900,294.1,20111200
2011-08-08 23:00:00,284.0,20111200,285.9,20110900,284.0,20111200
2011-08-09 23:00:00,291.4,20111200,293.5,20110900,291.4,20111200
2011-08-10 23:00:00,279.2,20111200,281.3,20110900,279.2,20111200
2011-08-11 23:00:00,288.2,20111200,290.2,20110900,288.2,20111200
2011-08-12 23:00:00,291.2,20111200,293.2,20110900,291.2,20111200
2011-08-15 23:00:00,294.6,20111200,296.6,20110900,294.6,20111200
2011-08-16 23:00:00,295.9,20111200,297.9,20110900,295.9,20111200
2011-08-17 23:00:00,297.8,20111200,299.2,20110900,297.8,20111200
2011-08-18 23:00:00,293.7,20111200,295.4,20110900,293.7,20111200
2011-08-19 23:00:00,291.8,20111200,293.6,20110900,291.8,20111200
2011-08-22 23:00:00,292.0,20111200,293.8,20110900,292.0,20111200
2011-08-23 23:00:00,298.0,20111200,299.8,20110900,298.0,20111200
2011-08-24 23:00:00,299.8,20111200,301.6,20110900,299.8,20111200
2011-08-25 23:00:00,295.1,20111200,296.9,20110900,295.1,20111200
2011-08-26 23:00:00,297.8,20111200,299.6,20110900,297.8,20111200
2011-08-29 23:00:00,303.5,20111200,305.3,20110900,303.5,20111200
2011-08-30 23:00:00,303.9,20111200,305.7,20110900,303.9,20111200
2011-08-31 23:00:00,305.1,20111200,306.9,20110900,305.1,20111200
2011-09-01 23:00:00,303.7,20111200,305.5,20110900,303.7,20111200
2011-09-02 23:00:00,299.5,20111200,301.3,20110900,299.5,20111200
2011-09-06 23:00:00,299.5,20111200,301.3,20110900,299.5,20111200
2011-09-07 23:00:00,303.2,20111200,305.0,20110900,303.2,20111200
2011-09-08 23:00:00,303.6,20111200,305.7,20110900,303.6,20111200
2011-09-09 23:00:00,298.1,20111200,300.2,20110900,298.1,20111200
2011-09-12 23:00:00,296.1,20111200,298.2,20110900,296.1,20111200
2011-09-13 23:00:00,,20120300,296.1,20111200,,20120300
2011-09-14 23:00:00,,20120300,300.4,20111200,,20120300
2011-09-15 23:00:00,,20120300,304.3,20111200,,20120300
2011-09-16 23:00:00,304.2,20120300,306.5,20111200,304.2,20120300
2011-09-19 23:00:00,301.6,20120300,303.9,20111200,301.6,20120300
2011-09-20 23:00:00,301.6,20120300,303.9,20111200,301.6,20120300
2011-09-21 23:00:00,296.3,20120300,298.7,20111200,296.3,20120300
2011-09-22 23:00:00,290.3,20120300,292.7,20111200,290.3,20120300
2011-09-23 23:00:00,290.2,20120300,292.6,20111200,290.2,20120300
2011-09-26 23:00:00,296.0,20120300,298.4,20111200,296.0,20120300
2011-09-27 23:00:00,298.0,20120300,300.4,20111200,298.0,20120300
2011-09-28 23:00:00,292.4,20120300,294.8,20111200,292.4,20120300
2011-09-29 23:00:00,295.4,20120300,297.8,20111200,295.4,20120300
2011-09-30 23:00:00,292.2,20120300,294.6,20111200,292.2,20120300
2011-10-03 23:00:00,288.1,20120300,290.5,20111200,288.1,20120300
2011-10-04 23:00:00,290.2,20120300,292.6,20111200,290.2,20120300
2011-10-05 23:00:00,290.9,20120300,293.3,20111200,290.9,20120300
2011-10-06 23:00:00,294.3,20120300,296.7,20111200,294.3,20120300
2011-10-07 23:00:00,296.4,20120300,298.8,20111200,296.4,20120300
