DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1994-01-28 23:00:00,100.85,19940500,91.5,19941100,,19950500
1994-01-31 23:00:00,99.9,19940500,91.25,19941100,,19950500
1994-02-01 23:00:00,98.85,19940500,90.65,19941100,,19950500
1994-02-02 23:00:00,98.7,19940500,90.85,19941100,,19950500
1994-02-03 23:00:00,98.2,19940500,,19941100,,19950500
1994-02-04 23:00:00,97.7,19940500,90.55,19941100,,19950500
1994-02-07 23:00:00,98.75,19940500,,19941100,,19950500
1994-02-08 23:00:00,98.4,19940500,,19941100,,19950500
1994-02-09 23:00:00,97.3,19940500,90.25,19941100,,19950500
1994-02-10 23:00:00,98.2,19940500,90.25,19941100,,19950500
1994-02-11 23:00:00,98.85,19940500,90.5,19941100,,19950500
1994-02-14 23:00:00,99.6,19940500,90.75,19941100,,19950500
1994-02-15 23:00:00,99.7,19940500,91.0,19941100,,19950500
1994-02-16 23:00:00,100.0,19940500,91.05,19941100,,19950500
1994-02-17 23:00:00,100.4,19940500,91.35,19941100,,19950500
1994-02-18 23:00:00,100.5,19940500,91.15,19941100,,19950500
1994-02-21 23:00:00,101.4,19940500,91.45,19941100,,19950500
1994-02-22 23:00:00,101.0,19940500,91.45,19941100,,19950500
1994-02-23 23:00:00,101.4,19940500,91.5,19941100,,19950500
1994-02-24 23:00:00,102.5,19940500,92.0,19941100,,19950500
1994-02-25 23:00:00,102.65,19940500,92.0,19941100,,19950500
1994-02-28 23:00:00,103.0,19940500,92.25,19941100,,19950500
1994-03-01 23:00:00,103.0,19940500,92.5,19941100,,19950500
1994-03-02 23:00:00,103.15,19940500,92.9,19941100,,19950500
1994-03-03 23:00:00,102.85,19940500,,19941100,,19950500
1994-03-04 23:00:00,102.95,19940500,92.1,19941100,,19950500
1994-03-07 23:00:00,102.9,19940500,,19941100,,19950500
1994-03-08 23:00:00,103.5,19940500,92.0,19941100,,19950500
1994-03-09 23:00:00,104.5,19940500,,19941100,,19950500
1994-03-10 23:00:00,104.75,19940500,92.8,19941100,,19950500
1994-03-11 23:00:00,106.0,19940500,93.5,19941100,,19950500
1994-03-14 23:00:00,105.8,19940500,,19941100,,19950500
1994-03-15 23:00:00,105.15,19940500,93.0,19941100,,19950500
1994-03-16 23:00:00,106.1,19940500,93.75,19941100,,19950500
1994-03-17 23:00:00,105.5,19940500,93.5,19941100,,19950500
1994-03-18 23:00:00,106.0,19940500,93.9,19941100,,19950500
1994-03-21 23:00:00,106.4,19940500,94.0,19941100,,19950500
1994-03-22 23:00:00,106.35,19940500,94.0,19941100,,19950500
