DATE_TIME,current_contract,next_contract,carry_contract
1982-09-20 00:00:00,19821200,19831200,19820900
1983-09-20 00:00:00,19831200,19841200,19830900
1984-09-18 00:00:00,19841200,19851200,19840900
1985-09-18 00:00:00,19851200,19861200,19850900
1986-09-18 00:00:00,19861200,19871200,19860900
1987-09-18 00:00:00,19871200,19881200,19870900
1988-09-20 00:00:00,19881200,19891200,19880900
1989-09-19 00:00:00,19891200,19901200,19890900
1990-09-18 00:00:00,19901200,19911200,19900900
1991-09-18 00:00:00,19911200,19921200,19910900
1992-09-18 00:00:00,19921200,19931200,19920900
1993-09-20 00:00:00,19931200,19941200,19930900
1994-09-20 00:00:00,19941200,19951200,19940900
1995-09-19 00:00:00,19951200,19961200,19950900
1996-09-18 00:00:00,19961200,19971200,19960900
1997-09-18 00:00:00,19971200,19981200,19970900
1998-09-18 00:00:00,19981200,19991200,19980900
1999-09-20 00:00:00,19991200,20001200,19990900
2000-09-19 00:00:00,20001200,20011200,20000900
2001-09-18 00:00:00,20011200,20021200,20010900
2002-09-18 00:00:00,20021200,20031200,20020900
2003-09-18 00:00:00,20031200,20041200,20030900
2004-09-20 00:00:00,20041200,20051200,20040900
2005-09-20 00:00:00,20051200,20061200,20050900
2006-09-19 00:00:00,20061200,20071200,20060900
2007-09-18 00:00:00,20071200,20081200,20070900
2008-09-18 00:00:00,20081200,20091200,20080900
2009-09-18 00:00:00,20091200,20101200,20090900
2010-09-20 00:00:00,20101200,20111200,20100900
2011-09-20 00:00:00,20111200,20121200,20110900
2012-09-18 00:00:00,20121200,20131200,20120900
2013-12-03 17:30:52,20131200,20141200,20130900
2014-10-03 23:00:02,20141200,20151200,20140900
2015-09-15 23:00:02,20151200,20161200,20150900
2016-09-12 23:00:02,20161200,20171200,20160900
2017-10-27 23:00:02,20171200,20181200,20170900
2018-09-27 23:00:02,20181200,20191200,20180900
2019-07-26 23:00:02,20191200,20201200,20190900
