DATE_TIME,current_contract,next_contract,carry_contract
2014-06-12 23:00:00,20140600,20140900,20140900
2014-09-15 23:00:00,20140900,20141200,20141200
2014-12-15 23:00:00,20141200,20150300,20150300
2015-03-13 23:00:00,20150300,20150600,20150600
2015-06-15 23:00:00,20150600,20150900,20150900
2015-09-15 23:00:00,20150900,20151200,20151200
2015-12-15 23:00:00,20151200,20160300,20160300
2016-03-15 08:06:25,20160300,20160600,20160600
2016-06-14 23:00:00,20160600,20160900,20160900
2016-09-14 08:07:25,20160900,20161200,20161200
2016-12-14 23:00:00,20161200,20170300,20170300
2017-03-14 23:00:00,20170300,20170600,20170600
2017-06-14 10:22:25,20170600,20170900,20170900
2017-09-13 10:38:48,20170900,20171200,20171200
2017-12-13 08:05:20,20171200,20180300,20180300
2018-03-14 10:57:28,20180300,20180600,20180600
2018-06-13 08:05:09,20180600,20180900,20180900
2018-09-17 23:00:00,20180900,20181200,20181200
2018-12-14 23:00:00,20181200,20190300,20190300
2019-03-14 23:00:00,20190300,20190600,20190600
2019-06-13 23:00:00,20190600,20190900,20190900
2019-09-13 23:00:00,20190900,20191200,20191200
2019-12-13 23:00:00,20191200,20200300,20200300
2020-03-11 23:00:00,20200300,20200600,20200600
2020-06-15 12:00:00,20200600,20200900,20200900
2020-09-11 12:00:00,20200900,20201200,20201200
2020-11-24 11:00:00,20201200,20210300,20210300
