DATE_TIME,current_contract,next_contract,carry_contract
1990-08-27 23:00:00,19901000,19901200,19900900
1990-10-25 23:00:00,19901200,19910100,19901000
1990-11-27 23:00:00,19910100,19910300,19901200
1991-01-23 23:00:00,19910300,19910400,19910100
1991-02-25 23:00:00,19910400,19910600,19910300
1991-04-25 23:00:00,19910600,19910700,19910400
1991-05-28 23:00:00,19910700,19910900,19910600
1991-07-26 23:00:00,19910900,19911000,19910700
1991-08-27 23:00:00,19911000,19911200,19910900
1991-10-25 23:00:00,19911200,19920100,19911000
1991-11-26 23:00:00,19920100,19920300,19911200
1992-01-24 23:00:00,19920300,19920400,19920100
1992-02-25 23:00:00,19920400,19920600,19920300
1992-04-27 23:00:00,19920600,19920700,19920400
1992-05-27 23:00:00,19920700,19920900,19920600
1992-07-28 23:00:00,19920900,19921000,19920700
1992-08-26 23:00:00,19921000,19921200,19920900
1992-10-27 23:00:00,19921200,19930100,19921000
1992-11-25 23:00:00,19930100,19930300,19921200
1993-01-25 23:00:00,19930300,19930400,19930100
1993-02-24 23:00:00,19930400,19930600,19930300
1993-04-27 23:00:00,19930600,19930700,19930400
1993-05-26 23:00:00,19930700,19930900,19930600
1993-07-27 23:00:00,19930900,19931000,19930700
1993-08-25 23:00:00,19931000,19931200,19930900
1993-10-26 23:00:00,19931200,19940100,19931000
1993-11-29 23:00:00,19940100,19940300,19931200
1994-01-25 23:00:00,19940300,19940400,19940100
1994-02-24 23:00:00,19940400,19940600,19940300
1994-04-26 23:00:00,19940600,19940700,19940400
1994-05-25 23:00:00,19940700,19940900,19940600
1994-07-27 23:00:00,19940900,19941000,19940700
1994-08-25 23:00:00,19941000,19941200,19940900
1994-10-26 23:00:00,19941200,19950100,19941000
1994-11-29 23:00:00,19950100,19950300,19941200
1995-01-24 23:00:00,19950300,19950400,19950100
1995-02-23 23:00:00,19950400,19950600,19950300
1995-04-26 23:00:00,19950600,19950700,19950400
1995-05-25 23:00:00,19950700,19950900,19950600
1995-07-26 23:00:00,19950900,19951000,19950700
1995-08-25 23:00:00,19951000,19951200,19950900
1995-10-25 23:00:00,19951200,19960100,19951000
1995-11-28 23:00:00,19960100,19960300,19951200
1996-01-24 23:00:00,19960300,19960400,19960100
1996-02-26 23:00:00,19960400,19960600,19960300
1996-04-25 23:00:00,19960600,19960700,19960400
1996-05-28 23:00:00,19960700,19960900,19960600
1996-07-26 23:00:00,19960900,19961000,19960700
1996-08-27 23:00:00,19961000,19961200,19960900
1996-10-25 23:00:00,19961200,19970100,19961000
1996-11-26 23:00:00,19970100,19970300,19961200
1997-01-23 23:00:00,19970300,19970400,19970100
1997-02-25 23:00:00,19970400,19970600,19970300
1997-04-25 23:00:00,19970600,19970700,19970400
1997-05-28 23:00:00,19970700,19970900,19970600
1997-07-28 23:00:00,19970900,19971000,19970700
1997-08-26 23:00:00,19971000,19971200,19970900
1997-10-27 23:00:00,19971200,19980100,19971000
1997-11-26 23:00:00,19980100,19980300,19971200
1998-01-23 23:00:00,19980300,19980400,19980100
1998-02-24 23:00:00,19980400,19980600,19980300
1998-04-27 23:00:00,19980600,19980700,19980400
1998-05-27 23:00:00,19980700,19980900,19980600
1998-07-28 23:00:00,19980900,19981000,19980700
1998-08-26 23:00:00,19981000,19981200,19980900
1998-10-27 23:00:00,19981200,19990100,19981000
1998-11-25 23:00:00,19990100,19990300,19981200
1999-01-25 23:00:00,19990300,19990400,19990100
1999-02-24 23:00:00,19990400,19990600,19990300
1999-04-27 23:00:00,19990600,19990700,19990400
1999-05-26 23:00:00,19990700,19990900,19990600
1999-07-27 23:00:00,19990900,19991000,19990700
1999-08-25 23:00:00,19991000,19991200,19990900
1999-10-26 23:00:00,19991200,20000100,19991000
1999-11-29 23:00:00,20000100,20000300,19991200
2000-01-25 23:00:00,20000300,20000400,20000100
2000-02-24 23:00:00,20000400,20000600,20000300
2000-04-26 23:00:00,20000600,20000700,20000400
2000-05-25 23:00:00,20000700,20000900,20000600
2000-07-26 23:00:00,20000900,20001000,20000700
2000-08-25 23:00:00,20001000,20001200,20000900
2000-10-25 23:00:00,20001200,20010100,20001000
2000-11-28 23:00:00,20010100,20010300,20001200
2001-01-24 23:00:00,20010300,20010400,20010100
2001-02-23 23:00:00,20010400,20010600,20010300
2001-04-25 23:00:00,20010600,20010700,20010400
2001-05-25 23:00:00,20010700,20010900,20010600
2001-07-26 23:00:00,20010900,20011000,20010700
2001-08-27 23:00:00,20011000,20011200,20010900
2001-10-25 23:00:00,20011200,20020100,20011000
2001-11-27 23:00:00,20020100,20020300,20011200
2002-01-24 23:00:00,20020300,20020400,20020100
2002-02-25 23:00:00,20020400,20020600,20020300
2002-04-25 23:00:00,20020600,20020700,20020400
2002-05-28 23:00:00,20020700,20020900,20020600
2002-07-26 23:00:00,20020900,20021000,20020700
2002-08-27 23:00:00,20021000,20021200,20020900
2002-10-25 23:00:00,20021200,20030100,20021000
2002-11-26 23:00:00,20030100,20030300,20021200
2003-01-23 23:00:00,20030300,20030400,20030100
2003-02-25 23:00:00,20030400,20030600,20030300
2003-04-25 23:00:00,20030600,20030700,20030400
2003-05-28 23:00:00,20030700,20030900,20030600
2003-07-28 23:00:00,20030900,20031000,20030700
2003-08-26 23:00:00,20031000,20031200,20030900
