DATE_TIME,current_contract,next_contract,carry_contract
2013-12-13 23:00:00,20131200,20140300,20140300
2014-03-17 23:00:00,20140300,20140600,20140600
2014-06-17 23:00:00,20140600,20140900,20140900
2014-09-16 23:00:00,20140900,20141200,20141200
2014-10-24 23:00:00,20141200,20150300,20150300
2015-03-16 23:00:00,20150300,20150600,20150600
2015-06-15 23:00:00,20150600,20150900,20150900
2015-09-14 23:00:00,20150900,20151200,20151200
2015-12-14 23:00:00,20151200,20160300,20160300
2016-03-14 23:00:00,20160300,20160600,20160600
2016-06-17 23:00:00,20160600,20160900,20160900
2016-09-19 23:00:00,20160900,20161200,20161200
2016-12-19 23:00:00,20161200,20170300,20170300
2017-03-17 23:00:00,20170300,20170600,20170600
2017-06-19 23:00:00,20170600,20170900,20170900
2017-09-15 23:00:00,20170900,20171200,20171200
2017-12-18 23:00:00,20171200,20180300,20180300
2018-03-19 23:00:00,20180300,20180600,20180600
2018-06-18 23:00:00,20180600,20180900,20180900
2018-09-18 23:00:00,20180900,20181200,20181200
2018-12-18 23:00:00,20181200,20190300,20190300
2019-03-15 23:00:00,20190300,20190600,20190600
2019-06-18 23:00:00,20190600,20190900,20190900
2019-09-17 23:00:00,20190900,20191200,20191200
2019-10-16 23:00:00,20191200,20200300,20200300
