DATE_TIME,current_contract,next_contract,carry_contract
2021-04-06 23:00:00,20210400,20210500,20210500
2021-05-06 23:00:00,20210500,20210600,20210600
2021-06-07 23:00:00,20210600,20210700,20210700
2021-07-06 23:00:00,20210700,20210800,20210800
2021-08-06 23:00:00,20210800,20210900,20210900
2021-09-06 23:00:00,20210900,20211000,20211000
2021-10-12 23:00:00,20211000,20211100,20211100
2021-11-15 15:00:00,20211100,20211200,20211200
2021-12-06 15:00:00,20211200,20220100,20220100
2022-01-05 14:30:00,20220100,20220200,20220200
2022-02-07 14:30:00,20220200,20220300,20220300
2022-03-07 14:30:00,20220300,20220400,20220400
2022-04-05 16:00:00,20220400,20220500,20220500
2022-05-05 23:00:00,20220500,20220600,20220600
2022-06-08 14:30:00,20220600,20220700,20220700
2022-07-06 23:00:00,20220700,20220800,20220800
2022-07-29 23:00:00,20220800,20220900,20220900
2022-09-06 23:00:00,20220900,20221000,20221000
2022-09-08 23:00:00,20221000,20221100,20221100
