DATE_TIME,current_contract,next_contract,carry_contract
2000-09-05 00:00:00,20001000,20011000,20000800
2001-09-06 00:00:00,20011000,20021000,20010800
2002-09-11 00:00:00,20021000,20031000,20020800
2003-09-09 00:00:00,20031000,20041000,20030800
2004-09-08 00:00:00,20041000,20051000,20040800
2005-09-13 00:00:00,20051000,20061000,20050800
2006-09-05 00:00:00,20061000,20071000,20060800
2007-09-18 00:00:00,20071000,20081000,20070800
2008-07-21 00:00:00,20081000,20091000,20080800
2009-07-21 00:00:00,20091000,20101000,20090800
2010-07-20 00:00:00,20101000,20111000,20100800
2011-07-19 00:00:00,20111000,20121000,20110800
2012-10-31 00:00:02,20121000,20131000,20120800
2013-11-01 20:14:43,20131000,20141000,20130800
2014-10-10 23:00:02,20141000,20151000,20140800
2015-09-04 23:00:02,20151000,20161000,20150800
2016-09-02 23:00:02,20161000,20171000,20160800
2017-08-23 23:00:02,20171000,20181000,20170800
2018-09-14 23:00:02,20181000,20191000,20180800
2019-09-19 17:38:35,20191000,20201000,20190800
