DATE_TIME,current_contract,next_contract,carry_contract
2009-12-15 23:00:00,20091200,20100300,20100300
2010-03-15 23:00:00,20100300,20100600,20100600
2010-06-15 23:00:00,20100600,20100900,20100900
2010-09-15 23:00:00,20100900,20101200,20101200
2010-12-15 23:00:00,20101200,20110300,20110300
2011-03-15 23:00:00,20110300,20110600,20110600
2011-06-15 23:00:00,20110600,20110900,20110900
2011-09-15 23:00:00,20110900,20111200,20111200
2011-12-15 23:00:00,20111200,20120300,20120300
2012-03-15 23:00:00,20120300,20120600,20120600
2012-06-15 23:00:00,20120600,20120900,20120900
2012-09-14 23:00:00,20120900,20121200,20121200
2012-12-21 23:00:00,20121200,20130300,20130300
2013-03-15 13:00:00,20130300,20130600,20130600
2013-06-14 09:00:00,20130600,20130900,20130900
2013-09-16 08:00:00,20130900,20131200,20131200
2013-12-16 10:00:00,20131200,20140300,20140300
2014-03-14 09:00:00,20140300,20140600,20140600
2014-06-16 07:00:00,20140600,20140900,20140900
2014-09-19 23:00:00,20140900,20141200,20141200
2014-12-15 23:00:00,20141200,20150300,20150300
2015-03-16 23:00:00,20150300,20150600,20150600
2015-06-15 23:00:00,20150600,20150900,20150900
2015-09-15 23:00:00,20150900,20151200,20151200
2015-12-15 23:00:00,20151200,20160300,20160300
2016-03-18 23:00:00,20160300,20160600,20160600
2016-06-15 04:00:00,20160600,20160900,20160900
2016-09-15 12:00:00,20160900,20161200,20161200
2016-12-15 09:00:00,20161200,20170300,20170300
2017-03-15 08:00:00,20170300,20170600,20170600
2017-06-15 13:00:00,20170600,20170900,20170900
2017-09-15 12:00:00,20170900,20171200,20171200
2017-12-15 14:00:00,20171200,20180300,20180300
2018-03-15 08:00:00,20180300,20180600,20180600
2018-06-14 10:00:00,20180600,20180900,20180900
2018-09-14 07:00:00,20180900,20181200,20181200
2018-12-14 09:00:00,20181200,20190300,20190300
2019-03-14 09:00:00,20190300,20190600,20190600
2019-06-14 09:00:00,20190600,20190900,20190900
2019-09-16 07:00:00,20190900,20191200,20191200
2019-12-16 08:00:00,20191200,20200300,20200300
2020-03-16 08:00:00,20200300,20200600,20200600
2020-06-15 08:00:00,20200600,20200900,20200900
2020-09-15 02:00:00,20200900,20201200,20201200
2020-12-15 01:00:00,20201200,20210300,20210300
2021-03-15 10:00:00,20210300,20210600,20210600
2021-06-15 01:00:00,20210600,20210900,20210900
2021-09-15 07:00:00,20210900,20211200,20211200
2021-12-15 01:00:00,20211200,20220300,20220300
2022-03-15 08:00:00,20220300,20220600,20220600
2022-06-15 01:00:00,20220600,20220900,20220900
2022-09-15 01:00:00,20220900,20221200,20221200
2022-12-15 01:00:00,20221200,20230300,20230300
2023-03-15 01:00:00,20230300,20230600,20230600
