DATE_TIME,current_contract,next_contract,carry_contract
1995-05-26 00:00:00,19950600,19950900,19950900
1995-08-28 00:00:00,19950900,19951200,19951200
1995-11-27 00:00:00,19951200,19960300,19960300
1996-02-26 00:00:00,19960300,19960600,19960600
1996-05-29 00:00:00,19960600,19960900,19960900
1996-08-27 00:00:00,19960900,19961200,19961200
1996-11-26 00:00:00,19961200,19970300,19970300
1997-02-25 00:00:00,19970300,19970600,19970600
1997-05-28 00:00:00,19970600,19970900,19970900
1997-08-26 00:00:00,19970900,19971200,19971200
1997-11-25 00:00:00,19971200,19980300,19980300
1998-02-24 00:00:00,19980300,19980600,19980600
1998-05-27 00:00:00,19980600,19980900,19980900
1998-08-26 00:00:00,19980900,19981200,19981200
1998-11-25 00:00:00,19981200,19990300,19990300
1999-02-23 00:00:00,19990300,19990600,19990600
1999-05-26 00:00:00,19990600,19990900,19990900
1999-08-26 00:00:00,19990900,19991200,19991200
1999-11-26 00:00:00,19991200,20000300,20000300
2000-02-24 00:00:00,20000300,20000600,20000600
2000-05-26 00:00:00,20000600,20000900,20000900
2000-08-28 00:00:00,20000900,20001200,20001200
2000-11-27 00:00:00,20001200,20010300,20010300
2001-02-23 00:00:00,20010300,20010600,20010600
2001-05-29 00:00:00,20010600,20010900,20010900
2001-08-28 00:00:00,20010900,20011200,20011200
2001-11-27 00:00:00,20011200,20020300,20020300
2002-02-25 00:00:00,20020300,20020600,20020600
2002-05-29 00:00:00,20020600,20020900,20020900
2002-08-27 00:00:00,20020900,20021200,20021200
2002-11-26 00:00:00,20021200,20030300,20030300
2003-02-25 00:00:00,20030300,20030600,20030600
2003-05-28 00:00:00,20030600,20030900,20030900
2003-08-26 00:00:00,20030900,20031200,20031200
2003-11-25 00:00:00,20031200,20040300,20040300
2004-02-24 00:00:00,20040300,20040600,20040600
2004-05-26 00:00:00,20040600,20040900,20040900
2004-08-26 00:00:00,20040900,20041200,20041200
2004-11-26 00:00:00,20041200,20050300,20050300
2005-02-23 00:00:00,20050300,20050600,20050600
2005-05-26 00:00:00,20050600,20050900,20050900
2005-08-26 00:00:00,20050900,20051200,20051200
2005-11-28 00:00:00,20051200,20060300,20060300
2006-02-23 00:00:00,20060300,20060600,20060600
2006-05-26 00:00:00,20060600,20060900,20060900
2006-08-28 00:00:00,20060900,20061200,20061200
2006-11-27 00:00:00,20061200,20070300,20070300
2007-02-23 00:00:00,20070300,20070600,20070600
2007-05-29 00:00:00,20070600,20070900,20070900
2007-08-28 00:00:00,20070900,20071200,20071200
2007-11-27 00:00:00,20071200,20080300,20080300
2008-02-26 00:00:00,20080300,20080600,20080600
2008-05-28 00:00:00,20080600,20080900,20080900
2008-08-26 00:00:00,20080900,20081200,20081200
2008-11-25 00:00:00,20081200,20090300,20090300
2009-02-24 00:00:00,20090300,20090600,20090600
2009-05-27 00:00:00,20090600,20090900,20090900
2009-08-26 00:00:00,20090900,20091200,20091200
2009-11-25 00:00:00,20091200,20100300,20100300
2010-02-23 00:00:00,20100300,20100600,20100600
2010-05-26 00:00:00,20100600,20100900,20100900
2010-08-26 00:00:00,20100900,20101200,20101200
2010-11-26 00:00:00,20101200,20110300,20110300
2011-02-23 00:00:00,20110300,20110600,20110600
2011-05-26 00:00:00,20110600,20110900,20110900
2011-08-26 00:00:00,20110900,20111200,20111200
2011-11-28 00:00:00,20111200,20120300,20120300
2012-02-24 00:00:00,20120300,20120600,20120600
2012-05-29 00:00:00,20120600,20120900,20120900
2012-08-28 00:00:00,20120900,20121200,20121200
2012-11-27 00:00:00,20121200,20130300,20130300
2013-02-25 00:00:00,20130300,20130600,20130600
2013-05-29 00:00:00,20130600,20130900,20130900
2013-09-16 00:00:02,20130900,20131200,20131200
2013-12-13 16:02:51,20131200,20140300,20140300
2014-03-17 23:00:02,20140300,20140600,20140600
2014-06-10 11:02:45,20140600,20140900,20140900
2014-09-12 23:00:02,20140900,20141200,20141200
2014-12-12 23:00:02,20141200,20150300,20150300
2015-03-10 06:39:18,20150300,20150600,20150600
2015-06-11 06:19:10,20150600,20150900,20150900
2015-09-11 23:00:02,20150900,20151200,20151200
2015-12-11 23:00:02,20151200,20160300,20160300
2016-03-11 05:41:21,20160300,20160600,20160600
2016-06-10 06:02:05,20160600,20160900,20160900
2016-09-14 05:59:44,20160900,20161200,20161200
2016-12-16 10:23:11,20161200,20170300,20170300
2017-03-13 09:06:02,20170300,20170600,20170600
2017-06-15 10:04:21,20170600,20170900,20170900
2017-09-13 07:18:29,20170900,20171200,20171200
2017-09-14 05:30:33,20170900,20171200,20171200
2017-12-12 10:57:34,20171200,20180300,20180300
2018-03-16 23:00:02,20180300,20180600,20180600
2018-06-13 12:34:17,20180600,20180900,20180900
2018-09-14 23:00:02,20180900,20181200,20181200
2018-12-14 23:00:02,20181200,20190300,20190300
2019-03-18 04:42:46,20190300,20190600,20190600
2019-06-14 23:00:02,20190600,20190900,20190900
2019-09-16 23:00:02,20190900,20191200,20191200
