DATE_TIME,current_contract,next_contract,carry_contract
2004-11-26 00:00:00,20041200,20050300,20050300
2005-02-23 00:00:00,20050300,20050600,20050600
2005-05-26 00:00:00,20050600,20050900,20050900
2005-08-26 00:00:00,20050900,20051200,20051200
2005-11-28 00:00:00,20051200,20060300,20060300
2006-02-23 00:00:00,20060300,20060600,20060600
2006-05-26 00:00:00,20060600,20060900,20060900
2006-08-28 00:00:00,20060900,20061200,20061200
2006-11-27 00:00:00,20061200,20070300,20070300
2007-02-26 00:00:00,20070300,20070600,20070600
2007-05-29 00:00:00,20070600,20070900,20070900
2007-08-29 00:00:00,20070900,20071200,20071200
2007-11-27 00:00:00,20071200,20080300,20080300
2008-02-26 00:00:00,20080300,20080600,20080600
2008-06-12 00:00:00,20080600,20080900,20080900
2008-09-08 00:00:00,20080900,20081200,20081200
2008-12-12 00:00:00,20081200,20090300,20090300
2009-03-02 00:00:00,20090300,20090600,20090600
2009-06-03 00:00:00,20090600,20090900,20090900
2009-08-26 00:00:00,20090900,20091200,20091200
2009-11-25 00:00:00,20091200,20100300,20100300
2010-02-23 00:00:00,20100300,20100600,20100600
2010-05-26 00:00:00,20100600,20100900,20100900
2010-08-26 00:00:00,20100900,20101200,20101200
2010-11-26 00:00:00,20101200,20110300,20110300
2011-02-23 00:00:00,20110300,20110600,20110600
2011-05-26 00:00:00,20110600,20110900,20110900
2011-08-26 00:00:00,20110900,20111200,20111200
2011-11-28 00:00:00,20111200,20120300,20120300
2012-02-24 00:00:00,20120300,20120600,20120600
2012-05-29 00:00:00,20120600,20120900,20120900
2012-08-28 00:00:00,20120900,20121200,20121200
2012-11-27 00:00:00,20121200,20130300,20130300
2013-02-25 00:00:00,20130300,20130600,20130600
2013-05-29 00:00:00,20130600,20130900,20130900
2013-09-16 00:00:02,20130900,20131200,20131200
2013-12-13 16:03:51,20131200,20140300,20140300
2014-03-17 23:00:02,20140300,20140600,20140600
2014-06-13 19:36:58,20140600,20140900,20140900
2014-09-12 23:00:02,20140900,20141200,20141200
2014-12-12 23:00:02,20141200,20150300,20150300
2015-03-10 06:41:10,20150300,20150600,20150600
2015-06-11 06:20:48,20150600,20150900,20150900
2015-09-11 23:00:02,20150900,20151200,20151200
2015-12-07 06:12:09,20151200,20160300,20160300
2016-03-10 06:26:01,20160300,20160600,20160600
2016-06-07 07:18:13,20160600,20160900,20160900
2016-09-16 06:21:43,20160900,20161200,20161200
2016-12-13 05:10:05,20161200,20170300,20170300
2017-03-07 06:04:43,20170300,20170600,20170600
2017-06-15 10:06:52,20170600,20170900,20170900
2017-09-11 09:09:02,20170900,20171200,20171200
2017-12-12 11:00:12,20171200,20180300,20180300
2018-03-16 23:00:02,20180300,20180600,20180600
2018-06-12 10:08:16,20180600,20180900,20180900
2018-09-14 17:29:40,20180900,20181200,20181200
2018-12-10 05:23:38,20181200,20190300,20190300
2019-03-08 23:00:02,20190300,20190600,20190600
2019-06-17 23:00:02,20190600,20190900,20190900
2019-06-27 08:28:29,20190900,20191200,20191200
