DATE_TIME,current_contract,next_contract,carry_contract
2004-02-18 00:00:00,20040300,20040600,20040600
2004-05-18 00:00:00,20040600,20040900,20040900
2004-08-23 00:00:00,20040900,20041200,20041200
2004-11-17 00:00:00,20041200,20050300,20050300
2005-02-15 00:00:00,20050300,20050600,20050600
2005-05-18 00:00:00,20050600,20050900,20050900
2005-08-18 00:00:00,20050900,20051200,20051200
2005-11-17 00:00:00,20051200,20060300,20060300
2006-02-15 00:00:00,20060300,20060600,20060600
2006-05-18 00:00:00,20060600,20060900,20060900
2006-08-18 00:00:00,20060900,20061200,20061200
2006-12-06 00:00:00,20061200,20070300,20070300
2007-02-15 00:00:00,20070300,20070600,20070600
2007-05-18 00:00:00,20070600,20070900,20070900
2007-08-20 00:00:00,20070900,20071200,20071200
2007-11-19 00:00:00,20071200,20080300,20080300
2008-02-18 00:00:00,20080300,20080600,20080600
2008-05-20 00:00:00,20080600,20080900,20080900
2008-08-19 00:00:00,20080900,20081200,20081200
2008-11-18 00:00:00,20081200,20090300,20090300
2009-02-17 00:00:00,20090300,20090600,20090600
2009-05-19 00:00:00,20090600,20090900,20090900
2009-08-18 00:00:00,20090900,20091200,20091200
2009-11-17 00:00:00,20091200,20100300,20100300
2010-02-17 00:00:00,20100300,20100600,20100600
2010-05-18 00:00:00,20100600,20100900,20100900
2010-08-18 00:00:00,20100900,20101200,20101200
2010-11-17 00:00:00,20101200,20110300,20110300
2011-02-15 00:00:00,20110300,20110600,20110600
2011-05-18 00:00:00,20110600,20110900,20110900
2011-08-18 00:00:00,20110900,20111200,20111200
2011-11-17 00:00:00,20111200,20120300,20120300
2012-02-16 00:00:00,20120300,20120600,20120600
2012-05-18 00:00:00,20120600,20120900,20120900
2012-08-20 00:00:00,20120900,20121200,20121200
2012-11-19 00:00:00,20121200,20130300,20130300
2013-02-15 00:00:00,20130300,20130600,20130600
2013-05-20 00:00:00,20130600,20130900,20130900
2013-09-26 00:00:02,20130900,20131200,20131200
2013-12-10 17:03:13,20131200,20140300,20140300
2014-03-06 18:19:56,20140300,20140600,20140600
2014-05-30 23:00:02,20140600,20140900,20140900
2014-08-29 23:00:02,20140900,20141200,20141200
2014-11-28 23:00:02,20141200,20150300,20150300
2015-02-27 13:13:38,20150300,20150600,20150600
2015-05-29 23:00:02,20150600,20150900,20150900
2015-09-04 23:00:02,20150900,20151200,20151200
2015-12-02 23:00:02,20151200,20160300,20160300
2016-02-29 23:00:02,20160300,20160600,20160600
2016-06-01 14:40:35,20160600,20160900,20160900
2016-08-30 23:00:02,20160900,20161200,20161200
2016-11-23 23:00:02,20161200,20170300,20170300
2017-02-27 23:00:02,20170300,20170600,20170600
2017-06-02 23:00:02,20170600,20170900,20170900
2017-09-01 13:31:28,20170900,20171200,20171200
2017-11-24 14:49:52,20171200,20180300,20180300
2018-02-27 23:00:02,20180300,20180600,20180600
2018-06-04 13:07:49,20180600,20180900,20180900
2018-08-31 14:37:55,20180900,20181200,20181200
2018-11-29 23:00:02,20181200,20190300,20190300
2019-02-25 23:00:02,20190300,20190600,20190600
2019-05-31 23:00:02,20190600,20190900,20190900
2019-08-30 23:00:02,20190900,20191200,20191200
