DATE_TIME,current_contract,next_contract,carry_contract
1970-09-30 23:00:00,19701000,19710100,19710100
1970-12-30 23:00:00,19710100,19710400,19710400
1971-03-31 23:00:00,19710400,19710700,19710700
1971-06-30 23:00:00,19710700,19711000,19711000
1971-09-29 23:00:00,19711000,19720100,19720100
1971-12-30 23:00:00,19720100,19720400,19720400
1972-03-30 23:00:00,19720400,19720700,19720700
1972-06-29 23:00:00,19720700,19721000,19721000
1972-09-29 23:00:00,19721000,19730100,19730100
1973-01-02 23:00:00,19730100,19730400,19730400
1973-03-30 23:00:00,19730400,19730700,19730700
1973-06-29 23:00:00,19730700,19731000,19731000
1973-10-01 23:00:00,19731000,19740100,19740100
1974-01-03 23:00:00,19740100,19740400,19740400
1974-04-01 23:00:00,19740400,19740700,19740700
1974-07-01 23:00:00,19740700,19741000,19741000
1974-10-01 23:00:00,19741000,19750100,19750100
1974-12-31 23:00:00,19750100,19750400,19750400
1975-04-01 23:00:00,19750400,19750700,19750700
1975-07-01 23:00:00,19750700,19751000,19751000
1975-09-30 23:00:00,19751000,19760100,19760100
1975-12-31 23:00:00,19760100,19760400,19760400
1976-03-31 23:00:00,19760400,19760700,19760700
1976-06-30 23:00:00,19760700,19761000,19761000
1976-09-29 23:00:00,19761000,19770100,19770100
1976-12-30 23:00:00,19770100,19770400,19770400
1977-03-30 23:00:00,19770400,19770700,19770700
1977-06-29 23:00:00,19770700,19771000,19771000
1977-09-29 23:00:00,19771000,19780100,19780100
1977-12-30 23:00:00,19780100,19780400,19780400
1978-03-30 23:00:00,19780400,19780700,19780700
1978-06-29 23:00:00,19780700,19781000,19781000
1978-09-29 23:00:00,19781000,19790100,19790100
1979-01-02 23:00:00,19790100,19790400,19790400
1979-03-30 23:00:00,19790400,19790700,19790700
1979-06-29 23:00:00,19790700,19791000,19791000
1979-10-01 23:00:00,19791000,19800100,19800100
1980-01-03 23:00:00,19800100,19800400,19800400
1980-04-01 23:00:00,19800400,19800700,19800700
1980-07-01 23:00:00,19800700,19801000,19801000
1980-09-30 23:00:00,19801000,19810100,19810100
1980-12-31 23:00:00,19810100,19810400,19810400
1981-03-31 23:00:00,19810400,19810700,19810700
1981-06-30 23:00:00,19810700,19811000,19811000
1981-09-30 23:00:00,19811000,19820100,19820100
1981-12-30 23:00:00,19820100,19820400,19820400
1982-03-31 23:00:00,19820400,19820700,19820700
1982-06-30 23:00:00,19820700,19821000,19821000
1982-09-29 23:00:00,19821000,19830100,19830100
1982-12-30 23:00:00,19830100,19830400,19830400
1983-03-30 23:00:00,19830400,19830700,19830700
1983-06-29 23:00:00,19830700,19831000,19831000
1983-09-29 23:00:00,19831000,19840100,19840100
1983-12-30 23:00:00,19840100,19840400,19840400
1984-03-30 23:00:00,19840400,19840700,19840700
1984-06-29 23:00:00,19840700,19841000,19841000
1984-10-01 23:00:00,19841000,19850100,19850100
1985-01-03 23:00:00,19850100,19850400,19850400
1985-04-01 23:00:00,19850400,19850700,19850700
1985-07-01 23:00:00,19850700,19851000,19851000
1985-10-01 23:00:00,19851000,19860100,19860100
1985-12-31 23:00:00,19860100,19860400,19860400
1986-04-01 23:00:00,19860400,19860700,19860700
1986-07-01 23:00:00,19860700,19861000,19861000
1986-09-30 23:00:00,19861000,19870100,19870100
1986-12-31 23:00:00,19870100,19870400,19870400
1987-03-31 23:00:00,19870400,19870700,19870700
1987-06-30 23:00:00,19870700,19871000,19871000
1987-09-30 23:00:00,19871000,19880100,19880100
1987-12-30 23:00:00,19880100,19880400,19880400
1988-03-30 23:00:00,19880400,19880700,19880700
1988-06-29 23:00:00,19880700,19881000,19881000
1988-09-29 23:00:00,19881000,19890100,19890100
1988-12-30 23:00:00,19890100,19890400,19890400
1989-03-30 23:00:00,19890400,19890700,19890700
1989-06-29 23:00:00,19890700,19891000,19891000
1989-09-29 23:00:00,19891000,19900100,19900100
1990-01-02 23:00:00,19900100,19900400,19900400
1990-03-30 23:00:00,19900400,19900700,19900700
1990-06-29 23:00:00,19900700,19901000,19901000
1990-10-01 23:00:00,19901000,19910100,19910100
1991-01-02 23:00:00,19910100,19910400,19910400
1991-04-02 23:00:00,19910400,19910700,19910700
1991-07-01 23:00:00,19910700,19911000,19911000
