DATE_TIME,current_contract,next_contract,carry_contract
2021-10-18 23:00:00,20211000,20211100,20211100
2021-11-08 23:00:00,20211100,20211200,20211200
2021-12-13 23:00:00,20211200,20220100,20220100
2022-01-10 23:00:00,20220100,20220200,20220200
2022-02-14 23:00:00,20220200,20220300,20220300
2022-03-14 23:00:00,20220300,20220400,20220400
2022-04-11 23:00:00,20220400,20220500,20220500
2022-05-06 23:00:00,20220500,20220600,20220600
2022-06-13 23:00:00,20220600,20220700,20220700
2022-07-11 23:00:00,20220700,20220800,20220800
2022-08-11 23:00:00,20220800,20220900,20220900
2022-09-12 23:00:00,20220900,20221000,20221000
2022-10-10 23:00:00,20221000,20221100,20221100
