DATE_TIME,current_contract,next_contract,carry_contract
2000-03-01 23:00:00,20000300,20000600,20000600
2000-05-31 23:00:00,20000600,20000900,20000900
2000-08-31 23:00:00,20000900,20001200,20001200
2000-11-28 23:00:00,20001200,20010300,20010300
2001-02-27 23:00:00,20010300,20010600,20010600
2001-05-30 23:00:00,20010600,20010900,20010900
2001-08-29 23:00:00,20010900,20011200,20011200
2001-11-28 23:00:00,20011200,20020300,20020300
2002-02-26 23:00:00,20020300,20020600,20020600
2002-05-29 23:00:00,20020600,20020900,20020900
2002-08-28 23:00:00,20020900,20021200,20021200
2002-11-27 23:00:00,20021200,20030300,20030300
2003-02-26 23:00:00,20030300,20030600,20030600
2003-05-29 23:00:00,20030600,20030900,20030900
2003-08-28 23:00:00,20030900,20031200,20031200
2003-11-28 23:00:00,20031200,20040300,20040300
2004-02-26 23:00:00,20040300,20040600,20040600
2004-05-28 23:00:00,20040600,20040900,20040900
2004-08-30 23:00:00,20040900,20041200,20041200
2004-11-29 23:00:00,20041200,20050300,20050300
2005-02-25 23:00:00,20050300,20050600,20050600
2005-05-31 23:00:00,20050600,20050900,20050900
2005-08-30 23:00:00,20050900,20051200,20051200
2005-11-29 23:00:00,20051200,20060300,20060300
2006-02-27 23:00:00,20060300,20060600,20060600
2006-05-31 23:00:00,20060600,20060900,20060900
2006-08-29 23:00:00,20060900,20061200,20061200
2006-11-28 23:00:00,20061200,20070300,20070300
2007-02-27 23:00:00,20070300,20070600,20070600
2007-05-30 23:00:00,20070600,20070900,20070900
2007-08-29 23:00:00,20070900,20071200,20071200
2007-11-28 23:00:00,20071200,20080300,20080300
2008-02-27 23:00:00,20080300,20080600,20080600
2008-05-29 23:00:00,20080600,20080900,20080900
2008-08-28 23:00:00,20080900,20081200,20081200
2008-11-28 23:00:00,20081200,20090300,20090300
2009-02-26 23:00:00,20090300,20090600,20090600
2009-05-28 23:00:00,20090600,20090900,20090900
2009-08-28 23:00:00,20090900,20091200,20091200
2009-11-30 23:00:00,20091200,20100300,20100300
2010-02-25 23:00:00,20100300,20100600,20100600
2010-05-28 23:00:00,20100600,20100900,20100900
2010-08-30 23:00:00,20100900,20101200,20101200
2010-11-29 23:00:00,20101200,20110300,20110300
2011-02-25 23:00:00,20110300,20110600,20110600
2011-05-31 23:00:00,20110600,20110900,20110900
2011-08-30 23:00:00,20110900,20111200,20111200
2011-11-29 23:00:00,20111200,20120300,20120300
2012-02-28 23:00:00,20120300,20120600,20120600
2012-05-30 23:00:00,20120600,20120900,20120900
2012-08-29 23:00:00,20120900,20121200,20121200
2012-11-28 23:00:00,20121200,20130300,20130300
2013-02-26 23:00:00,20130300,20130600,20130600
2013-05-29 23:00:00,20130600,20130900,20130900
2013-08-28 23:00:00,20130900,20131200,20131200
2013-11-27 20:09:04,20131200,20140300,20140300
2014-02-26 12:04:28,20140300,20140600,20140600
2014-05-30 14:11:57,20140600,20140900,20140900
2014-08-28 15:24:22,20140900,20141200,20141200
2014-11-28 23:00:00,20141200,20150300,20150300
2015-02-25 14:28:54,20150300,20150600,20150600
2015-05-28 14:08:47,20150600,20150900,20150900
2015-08-28 23:00:00,20150900,20151200,20151200
2015-11-26 15:05:24,20151200,20160300,20160300
2016-02-26 14:09:00,20160300,20160600,20160600
2016-05-30 14:09:03,20160600,20160900,20160900
2016-08-30 23:00:00,20160900,20161200,20161200
2016-11-29 14:12:09,20161200,20170300,20170300
2017-02-27 14:11:00,20170300,20170600,20170600
2017-05-31 15:07:22,20170600,20170900,20170900
2017-08-29 16:14:23,20170900,20171200,20171200
2017-11-28 14:25:00,20171200,20180300,20180300
2018-02-27 16:22:21,20180300,20180600,20180600
2018-05-30 14:10:28,20180600,20180900,20180900
2018-08-29 23:00:00,20180900,20181200,20181200
2018-11-29 23:00:00,20181200,20190300,20190300
2019-02-27 23:00:00,20190300,20190600,20190600
2019-05-30 23:00:00,20190600,20190900,20190900
2019-08-28 00:00:00,20190900,20191200,20191200
2019-11-25 02:00:00,20191200,20200300,20200300
2020-02-24 02:00:00,20200300,20200600,20200600
2020-05-29 14:30:00,20200600,20200900,20200900
2020-08-21 15:00:00,20200900,20201200,20201200
2020-11-24 23:00:01,20201200,20210300,20210300
2021-02-22 23:00:01,20210300,20210600,20210600
2021-06-03 21:00:01,20210600,20210900,20210900
2021-08-24 19:00:01,20210900,20211200,20211200
2021-11-24 20:00:01,20211200,20220300,20220300
2022-02-23 19:00:01,20220300,20220600,20220600
2022-05-03 19:00:00,20220600,20220900,20220900
