Instrument,IBSymbol,IBExchange,IBCurrency,IBMultiplier,priceMagnifier,IgnoreWeekly
30YRCONF,LRC30APR,NYBOT,USD,5000,1,FALSE
30YRJUMBO,LRJ30APR,NYBOT,USD,5000,1,FALSE
AEX,EOE,FTA,EUR,200,1,FALSE
AEX_mini,EOE,FTA,EUR,20,1,FALSE
ALUMINIUM,ALI,COMEX,USD,25,1,FALSE
ALUMINIUM_LME,AH,LMEOTC,USD,25,1,TRUE
AMERIBOR-1M,AMB30,CFE,USD,5000,100,FALSE
AMERIBOR-3M,AMT3M,CFE,USD,2500,100,FALSE
AMERIBOR-T30,AMT1S,CFE,USD,2500,100,FALSE
AMX,AMX,FTA,EUR,50,1,FALSE
ATX,ATXDE,EUREX,EUR,10,1,FALSE
AUD,AUD,CME,NA,100000,1,FALSE
AUD_micro,M6A,CME,USD,10000,1,FALSE
AUD-ICE,AUD,ICEUS,USD,100000,1,FALSE
AUD-SGX,AU,SGX,USD,25000,1,FALSE
AUDCAD,ACD,CME,CAD,200000,1,FALSE
AUDJPY,AJY,CME,JPY,200000,1,FALSE
AUDJPY-SGX,AJ,SGX,JPY,25000,1,FALSE
AUSCASH,IB,SNFE,AUD,2466,1,FALSE
BARLEY,BA,SNFE,AUD,20,1,FALSE
BB3M,BSBY,CME,USD,2500,1,FALSE
BBCOMM,AIGCI,CBOT,USD,100,1,FALSE
BEL20,BFX,BELFOX,EUR,10,1,FALSE
BITCOIN,MBT,CME,USD,0.1,1,FALSE
BITCOIN-BAKKT,BAKKT,ICECRYPTO,USD,1,1,FALSE
BOBL,GBM,EUREX,NA,1000,1,FALSE
BONO,FBON,EUREX,EUR,1000,1,FALSE
BONO-MEFF,FBBA,MEFFRV,EUR,1000,1,FALSE
BONO10,BONO10,MEXDER,MXN,1000,1,FALSE
BONO3,BONO3,MEXDER,MXN,1000,1,FALSE
BOVESPA,IBAA,CME,USD,1,1,FALSE
BOVESPA-HK,IBOV,HKFE,HKD,5,1,FALSE
BRE,BRE,CME,USD,100000,1,FALSE
BRENT,BB,NYMEX,USD,1000,1,FALSE
BRENT_W,COIL,IPE,USD,1000,1,FALSE
BRENT-LAST,BZ,NYMEX,USD,1000,1,FALSE
BRR,BRR,CME,USD,5,1,FALSE
BRREUR,BTCEURRR,CME,EUR,5,1,FALSE
BTP,BTP,EUREX,NA,1000,1,FALSE
BTP3,BTS,EUREX,EUR,1000,1,FALSE
BTP5,BTM,EUREX,EUR,1000,1,FALSE
BUND,GBL,EUREX,NA,1000,1,FALSE
