DATETIME,PRICE
2013-04-15,134.4525
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-04-29,
2013-04-30,
2013-05-01,
2013-05-02,
2013-05-03,134.15249999999997
2013-05-06,132.42249999999999
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,129.78249999999997
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,130.35249999999996
2013-06-04,130.17249999999999
2013-06-05,130.49249999999998
2013-06-06,130.65249999999997
2013-06-07,130.29249999999996
2013-06-10,129.53249999999997
2013-06-11,129.31249999999997
2013-06-12,129.47249999999997
2013-06-13,129.80249999999998
2013-06-14,130.53249999999997
2013-06-17,130.39249999999998
2013-06-18,130.07249999999996
2013-06-19,129.2625
2013-06-20,128.94249999999997
2013-06-21,127.87249999999997
2013-06-24,127.50249999999997
2013-06-25,127.17249999999999
2013-06-26,127.80249999999998
2013-06-27,128.36249999999998
2013-06-28,128.27249999999998
2013-07-01,128.33249999999998
2013-07-02,128.88249999999996
2013-07-03,128.9525
2013-07-04,129.08249999999998
2013-07-05,128.29249999999996
2013-07-08,128.7325
2013-07-09,129.44249999999997
2013-07-10,129.37249999999997
2013-07-11,129.55249999999998
2013-07-12,130.4825
2013-07-15,130.15249999999997
2013-07-16,130.49249999999998
2013-07-17,130.65249999999997
2013-07-18,130.81249999999997
2013-07-19,130.85249999999996
2013-07-22,130.90249999999997
2013-07-23,130.47249999999997
2013-07-24,129.05249999999998
2013-07-25,129.06249999999997
2013-07-26,129.21249999999998
2013-07-29,129.07249999999996
2013-07-30,129.08249999999998
2013-07-31,129.65249999999997
2013-08-01,128.97249999999997
2013-08-02,129.4825
2013-08-05,128.93249999999998
2013-08-06,128.75249999999997
2013-08-07,128.89249999999998
2013-08-08,129.03249999999997
2013-08-09,129.08249999999998
2013-08-12,128.74249999999998
2013-08-13,127.50249999999997
2013-08-14,127.54249999999996
2013-08-15,126.90249999999997
2013-08-16,126.45249999999999
2013-08-19,126.65249999999997
2013-08-20,127.33249999999998
2013-08-21,126.68249999999998
2013-08-22,126.42249999999999
2013-08-23,126.25249999999997
2013-08-26,126.72249999999997
2013-08-27,127.63249999999996
2013-08-28,126.95249999999999
2013-08-29,127.43249999999998
2013-08-30,127.12249999999997
2013-09-02,126.69249999999997
2013-09-03,126.52249999999998
2013-09-04,126.20249999999999
2013-09-05,125.10249999999996
2013-09-06,126.18249999999998
2013-09-09,126.12249999999997
2013-09-10,125.30249999999998
2013-09-11,125.98249999999999
2013-09-12,126.24249999999998
2013-09-13,126.59249999999997
2013-09-16,126.81249999999997
2013-09-17,126.71249999999998
2013-09-18,127.69249999999997
2013-09-19,127.14249999999998
2013-09-20,127.16249999999997
2013-09-23,127.44249999999997
2013-09-24,128.37249999999997
2013-09-25,128.61249999999998
2013-09-26,128.47249999999997
2013-09-27,129.0125
2013-09-30,129.15249999999997
2013-10-01,128.91249999999997
2013-10-02,128.97249999999997
2013-10-03,128.88249999999996
2013-10-04,128.61249999999998
2013-10-07,128.96249999999998
2013-10-08,128.87249999999997
2013-10-09,128.89249999999998
2013-10-10,128.30249999999998
2013-10-11,128.44249999999997
2013-10-14,128.40249999999997
2013-10-15,127.89249999999998
2013-10-16,127.56249999999997
2013-10-17,128.33249999999998
2013-10-18,128.7025
2013-10-21,128.56249999999997
2013-10-22,129.19249999999997
2013-10-23,129.5125
2013-10-24,129.52249999999998
2013-10-25,129.71249999999998
2013-10-28,129.80249999999998
2013-10-29,129.92249999999999
2013-10-30,130.10249999999996
2013-10-31,130.65249999999997
2013-11-01,130.50249999999997
2013-11-04,130.54249999999996
2013-11-05,129.81249999999997
2013-11-06,129.80249999999998
2013-11-07,130.4825
2013-11-08,129.67249999999999
2013-11-11,129.66249999999997
2013-11-12,129.35249999999996
2013-11-13,129.9825
2013-11-14,130.35249999999996
2013-11-15,130.28249999999997
2013-11-18,130.50249999999997
2013-11-19,130.06249999999997
2013-11-20,130.09249999999997
2013-11-21,129.63249999999996
2013-11-22,129.60249999999996
2013-11-25,129.97249999999997
2013-11-26,130.35249999999996
2013-11-27,130.28249999999997
2013-11-28,130.30249999999998
2013-11-29,130.36249999999998
2013-12-02,129.77249999999998
2013-12-03,129.93249999999998
2013-12-04,129.03249999999997
2013-12-05,128.61249999999998
2013-12-06,128.9275
2013-12-09,128.9075
2013-12-10,128.98749999999998
2013-12-11,129.1175
2013-12-12,128.9175
2013-12-13,129.0675
2013-12-16,129.0675
2013-12-17,129.1075
2013-12-18,128.95749999999998
2013-12-19,128.6175
2013-12-20,128.73749999999998
2013-12-23,128.5675
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,127.7775
2013-12-30,127.98749999999998
2013-12-31,
2014-01-01,
2014-01-02,127.9375
2014-01-03,127.9075
2014-01-06,128.3575
2014-01-07,128.5775
2014-01-08,128.3575
2014-01-09,128.3775
2014-01-10,129.0675
2014-01-13,129.4675
2014-01-14,129.4975
2014-01-15,129.3575
2014-01-16,129.9775
2014-01-17,130.2175
2014-01-20,130.3875
2014-01-21,130.4675
2014-01-22,130.3275
2014-01-23,130.8575
2014-01-24,131.4775
2014-01-27,131.3675
2014-01-28,131.2775
2014-01-29,131.7175
2014-01-30,132.04749999999999
2014-01-31,132.6975
2014-02-03,132.8375
2014-02-04,132.79749999999999
2014-02-05,132.8875
2014-02-06,132.1475
2014-02-07,132.6475
2014-02-10,132.4675
2014-02-11,132.45749999999998
2014-02-12,131.98749999999998
2014-02-13,132.5975
2014-02-14,132.4175
2014-02-17,132.4175
2014-02-18,132.5375
2014-02-19,132.7275
2014-02-20,132.26749999999998
2014-02-21,132.6875
2014-02-24,132.4975
2014-02-25,132.7875
2014-02-26,133.2775
2014-02-27,133.8875
2014-02-28,133.1975
2014-03-03,133.95749999999998
2014-03-04,133.57
2014-03-05,133.51
2014-03-06,132.92
2014-03-07,132.98499999999999
2014-03-10,133.14999999999998
2014-03-11,133.14
2014-03-12,133.7
2014-03-13,134.45999999999998
2014-03-14,134.17
2014-03-17,133.92
2014-03-18,133.99749999999997
2014-03-19,133.23
2014-03-20,133.12999999999997
2014-03-21,133.29999999999998
2014-03-24,
2014-03-25,133.93999999999997
2014-03-26,134.26999999999998
2014-03-27,134.45999999999998
2014-03-28,134.37999999999997
2014-03-31,134.20999999999998
2014-04-01,134.01999999999998
2014-04-02,133.54999999999998
2014-04-03,133.67
2014-04-04,
2014-04-07,134.37999999999997
2014-04-08,134.2225
2014-04-09,
2014-04-10,134.67999999999998
2014-04-11,134.99999999999997
2014-04-14,134.64
2014-04-15,135.24999999999997
2014-04-16,135.14
2014-04-17,134.45
2014-04-18,
2014-04-21,
2014-04-22,134.6
2014-04-23,134.60999999999999
2014-04-24,134.67999999999998
2014-04-25,135.10999999999999
2014-04-28,135.01
2014-04-29,134.99999999999997
2014-04-30,135.39999999999998
2014-05-01,
2014-05-02,135.54999999999998
2014-05-05,135.39
2014-05-06,135.39999999999998
2014-05-07,135.26999999999998
2014-05-08,135.61999999999998
2014-05-09,135.52999999999997
2014-05-12,135.43999999999997
2014-05-13,136.01
2014-05-14,136.60999999999999
2014-05-15,137.35999999999999
2014-05-16,137.01999999999998
2014-05-19,136.85999999999999
2014-05-20,136.95999999999998
2014-05-21,136.64999999999998
2014-05-22,136.76999999999998
2014-05-23,136.76
2014-05-26,136.74999999999997
2014-05-27,137.12499999999997
2014-05-28,137.76
2014-05-29,137.42999999999998
2014-05-30,137.54
2014-06-02,137.39
2014-06-03,136.69
2014-06-04,136.58499999999998
2014-06-05,137.02999999999997
2014-06-06,137.54999999999998
2014-06-09,137.32
2014-06-10,136.86999999999998
2014-06-11,136.89
2014-06-12,137.165
2014-06-13,137.33999999999997
2014-06-16,137.58999999999997
2014-06-17,137.55999999999997
2014-06-18,137.54999999999998
2014-06-19,137.85
2014-06-20,137.70999999999998
2014-06-23,137.91
2014-06-24,138.14999999999998
2014-06-25,138.67
2014-06-26,138.95999999999998
2014-06-27,138.75
2014-06-30,138.97
2014-07-01,138.88
2014-07-02,138.44
2014-07-03,138.265
2014-07-04,138.76999999999998
2014-07-07,138.82
2014-07-08,139.32999999999998
2014-07-09,139.42
2014-07-10,139.48
2014-07-11,139.41
2014-07-14,139.48
2014-07-15,139.48
2014-07-16,139.72
2014-07-17,140.32999999999998
2014-07-18,140.1
2014-07-21,140.16
2014-07-22,140.04999999999998
2014-07-23,140.17999999999998
2014-07-24,139.80999999999997
2014-07-25,140.27999999999997
2014-07-28,140.16
2014-07-29,140.58999999999997
2014-07-30,139.82999999999998
2014-07-31,140.045
2014-08-01,
2014-08-04,
2014-08-05,
2014-08-06,140.79999999999998
2014-08-07,140.92499999999998
2014-08-08,141.385
2014-08-11,141.25
2014-08-12,141.17999999999998
2014-08-13,141.70999999999998
2014-08-14,141.77999999999997
2014-08-15,142.23999999999998
2014-08-18,141.75
2014-08-19,141.98999999999998
2014-08-20,142.11999999999998
2014-08-21,142.13
2014-08-22,142.32999999999998
2014-08-25,142.76
2014-08-26,142.82
2014-08-27,143.23
2014-08-28,143.57
2014-08-29,143.39
2014-09-01,143.40499999999997
2014-09-02,142.88
2014-09-03,142.79
2014-09-04,142.63
2014-09-05,142.91
2014-09-08,142.58999999999997
2014-09-09,142.23999999999998
2014-09-10,142.19
2014-09-11,142.22
2014-09-12,141.67999999999998
2014-09-15,142.07999999999998
2014-09-16,142.01
2014-09-17,142.10999999999999
2014-09-18,141.85999999999999
2014-09-19,142.51
2014-09-22,142.79
2014-09-23,142.86999999999998
2014-09-24,142.74999999999997
2014-09-25,143.26999999999998
2014-09-26,143.26999999999998
2014-09-29,143.39
2014-09-30,143.57
2014-10-01,144.23999999999998
2014-10-02,143.88
2014-10-03,143.80999999999997
2014-10-06,143.98
2014-10-07,144.17999999999998
2014-10-08,144.08999999999997
2014-10-09,144.05999999999997
2014-10-10,144.38
2014-10-13,144.30999999999997
2014-10-14,144.95999999999998
2014-10-15,145.42999999999998
2014-10-16,145.57999999999998
2014-10-17,144.54
2014-10-20,144.67999999999998
2014-10-21,144.32
2014-10-22,144.55999999999997
2014-10-23,144.04
2014-10-24,144.2
2014-10-27,144.39999999999998
2014-10-28,144.35
2014-10-29,144.11999999999998
2014-10-30,144.73999999999998
2014-10-31,144.92
2014-11-03,144.77999999999997
2014-11-04,145.11999999999998
2014-11-05,145.05999999999997
2014-11-06,144.98
2014-11-07,145.23999999999998
2014-11-10,144.95999999999998
2014-11-11,145.14999999999998
2014-11-12,145.19
2014-11-13,145.57
2014-11-14,145.76999999999998
2014-11-17,145.48
2014-11-18,145.45
2014-11-19,144.92999999999998
2014-11-20,145.48999999999998
2014-11-21,145.88
2014-11-24,145.89
2014-11-25,146.23
2014-11-26,146.39999999999998
2014-11-27,146.79
2014-11-28,146.79999999999998
2014-12-01,146.04999999999998
2014-12-02,146.13
2014-12-03,146.20999999999998
2014-12-04,146.14
2014-12-05,145.98
2014-12-08,146.82
2014-12-09,147.03
2014-12-10,147.32
2014-12-11,147.29
2014-12-12,147.83999999999997
2014-12-15,147.72
2014-12-16,148.26999999999998
2014-12-17,148.17
2014-12-18,148.01
2014-12-19,148.32999999999998
2014-12-22,148.29999999999998
2014-12-23,148.14999999999998
2014-12-24,
2014-12-25,
2014-12-26,
2014-12-29,148.91
2014-12-30,148.98999999999998
2014-12-31,
2015-01-01,
2015-01-02,149.66
2015-01-05,149.45999999999998
2015-01-06,150.08999999999997
2015-01-07,149.85
2015-01-08,149.48999999999998
2015-01-09,149.58999999999997
