DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT
1981-09-25,326.75,324.0,198209,198212
1981-09-28,327.75,324.75,198209,198212
1981-09-29,332.75,329.5,198209,198212
1981-09-30,334.75,330.25,198209,198212
1981-10-01,334.0,328.75,198209,198212
1981-10-02,335.5,329.75,198209,198212
1981-10-05,340.0,335.25,198209,198212
1981-10-06,338.0,335.75,198209,198212
1981-10-07,336.5,332.25,198209,198212
1981-10-08,335.5,331.0,198209,198212
1981-10-09,337.75,332.25,198209,198212
1981-10-12,340.0,335.75,198209,198212
1981-10-13,343.75,339.0,198209,198212
1981-10-14,345.0,340.5,198209,198212
1981-10-15,340.25,335.5,198209,198212
1981-10-16,338.25,333.5,198209,198212
1981-10-19,339.25,334.75,198209,198212
1981-10-20,336.75,332.0,198209,198212
1981-10-21,337.5,332.75,198209,198212
1981-10-22,335.25,330.5,198209,198212
1981-10-23,338.25,332.5,198209,198212
1981-10-26,337.5,331.75,198209,198212
1981-10-27,338.75,332.5,198209,198212
1981-10-28,340.5,334.0,198209,198212
1981-10-29,338.75,333.0,198209,198212
1981-10-30,338.5,332.5,198209,198212
1981-11-02,339.25,334.0,198209,198212
1981-11-03,337.0,331.75,198209,198212
1981-11-04,335.0,330.5,198209,198212
1981-11-05,334.75,329.75,198209,198212
1981-11-06,332.5,327.0,198209,198212
1981-11-09,331.5,326.0,198209,198212
1981-11-10,327.25,321.75,198209,198212
1981-11-11,327.0,321.5,198209,198212
1981-11-12,329.75,324.5,198209,198212
1981-11-13,328.0,322.75,198209,198212
1981-11-16,326.25,321.0,198209,198212
1981-11-17,323.25,318.0,198209,198212
1981-11-18,321.75,316.5,198209,198212
1981-11-19,323.25,318.0,198209,198212
1981-11-20,323.25,317.75,198209,198212
1981-11-23,318.25,313.0,198209,198212
1981-11-24,312.25,307.0,198209,198212
1981-11-25,310.75,306.25,198209,198212
1981-11-26,,,,
1981-11-27,308.75,303.5,198209,198212
1981-11-30,306.25,301.0,198209,198212
1981-12-01,309.25,304.0,198209,198212
1981-12-02,308.5,303.25,198209,198212
1981-12-03,307.75,303.5,198209,198212
1981-12-04,309.25,305.0,198209,198212
1981-12-07,302.75,298.0,198209,198212
1981-12-08,299.5,294.25,198209,198212
1981-12-09,295.25,291.5,198209,198212
1981-12-10,288.25,286.0,198209,198212
1981-12-11,291.5,289.5,198209,198212
1981-12-14,286.0,283.0,198209,198212
1981-12-15,280.75,278.75,198209,198212
1981-12-16,286.5,283.0,198209,198212
1981-12-17,290.75,286.75,198209,198212
1981-12-18,287.75,284.0,198209,198212
1981-12-21,285.5,281.75,198209,198212
1981-12-22,286.25,282.25,198209,198212
1981-12-23,284.0,280.75,198209,198212
1981-12-24,288.75,285.0,198209,198212
1981-12-25,,,,
1981-12-28,297.5,292.75,198209,198212
1981-12-29,293.75,289.5,198209,198212
1981-12-30,294.25,289.25,198209,198212
1981-12-31,295.25,289.25,198209,198212
1982-01-01,,,,
1982-01-04,297.0,292.0,198209,198212
1982-01-05,294.75,290.0,198209,198212
1982-01-06,298.25,294.25,198209,198212
1982-01-07,298.25,294.0,198209,198212
1982-01-08,294.75,290.5,198209,198212
1982-01-11,292.5,289.25,198209,198212
1982-01-12,291.5,288.25,198209,198212
1982-01-13,291.5,288.0,198209,198212
1982-01-14,291.25,288.0,198209,198212
1982-01-15,290.25,287.25,198209,198212
1982-01-18,292.5,289.0,198209,198212
1982-01-19,289.5,286.25,198209,198212
1982-01-20,290.5,287.25,198209,198212
1982-01-21,293.75,290.0,198209,198212
1982-01-22,294.75,290.5,198209,198212
1982-01-25,292.0,288.25,198209,198212
1982-01-26,294.0,290.5,198209,198212
1982-01-27,299.5,296.0,198209,198212
1982-01-28,297.5,294.25,198209,198212
1982-01-29,301.25,297.25,198209,198212
1982-02-01,307.25,302.0,198209,198212
1982-02-02,306.75,300.75,198209,198212
1982-02-03,306.75,300.75,198209,198212
1982-02-04,307.25,300.25,198209,198212
1982-02-05,304.75,298.5,198209,198212
1982-02-08,301.25,295.0,198209,198212
1982-02-09,300.0,293.5,198209,198212
1982-02-10,303.25,296.0,198209,198212
1982-02-11,302.75,296.0,198209,198212
1982-02-12,301.5,294.75,198209,198212
1982-02-15,,,,
1982-02-16,301.0,294.0,198209,198212
1982-02-17,301.5,294.5,198209,198212
1982-02-18,300.5,293.25,198209,198212
1982-02-19,294.25,288.0,198209,198212
1982-02-22,294.0,287.5,198209,198212
1982-02-23,292.25,285.75,198209,198212
1982-02-24,292.75,286.0,198209,198212
1982-02-25,292.75,286.0,198209,198212
1982-02-26,294.25,286.5,198209,198212
1982-03-01,295.0,288.0,198209,198212
1982-03-02,296.75,289.75,198209,198212
1982-03-03,294.25,287.5,198209,198212
1982-03-04,291.25,285.25,198209,198212
1982-03-05,287.5,283.0,198209,198212
1982-03-08,282.5,278.0,198209,198212
1982-03-09,283.75,279.0,198209,198212
1982-03-10,285.75,280.5,198209,198212
1982-03-11,285.75,281.25,198209,198212
1982-03-12,281.0,277.25,198209,198212
1982-03-15,285.0,280.25,198209,198212
1982-03-16,283.0,278.5,198209,198212
1982-03-17,285.75,281.0,198209,198212
1982-03-18,288.0,283.75,198209,198212
1982-03-19,289.25,284.25,198209,198212
1982-03-22,290.5,285.5,198209,198212
1982-03-23,289.25,284.0,198209,198212
1982-03-24,290.25,285.25,198209,198212
1982-03-25,289.5,284.5,198209,198212
1982-03-26,290.5,285.25,198209,198212
1982-03-29,293.5,288.25,198209,198212
1982-03-30,293.75,288.25,198209,198212
1982-03-31,294.5,288.75,198209,198212
1982-04-01,293.5,287.75,198209,198212
1982-04-02,296.75,290.25,198209,198212
1982-04-05,300.25,294.75,198209,198212
1982-04-06,300.0,295.0,198209,198212
1982-04-07,297.25,292.25,198209,198212
1982-04-08,298.75,294.25,198209,198212
1982-04-09,,,,
1982-04-12,298.25,294.0,198209,198212
1982-04-13,298.5,294.25,198209,198212
1982-04-14,297.25,293.25,198209,198212
1982-04-15,297.25,293.5,198209,198212
1982-04-16,297.25,293.25,198209,198212
1982-04-19,297.25,292.75,198209,198212
1982-04-20,299.0,294.25,198209,198212
1982-04-21,297.25,292.5,198209,198212
1982-04-22,295.25,290.5,198209,198212
1982-04-23,297.0,292.5,198209,198212
1982-04-26,296.75,292.5,198209,198212
1982-04-27,295.75,291.5,198209,198212
1982-04-28,295.5,291.0,198209,198212
1982-04-29,295.25,291.0,198209,198212
1982-04-30,293.0,289.0,198209,198212
1982-05-03,288.5,285.5,198209,198212
1982-05-04,287.0,283.75,198209,198212
1982-05-05,285.5,283.25,198209,198212
1982-05-06,285.25,283.0,198209,198212
1982-05-07,286.5,283.75,198209,198212
1982-05-10,283.5,280.75,198209,198212
1982-05-11,283.75,281.25,198209,198212
1982-05-12,284.25,281.25,198209,198212
1982-05-13,283.0,279.5,198209,198212
1982-05-14,285.5,281.5,198209,198212
1982-05-17,285.0,281.0,198209,198212
1982-05-18,284.5,280.5,198209,198212
1982-05-19,285.5,281.5,198209,198212
1982-05-20,286.5,283.0,198209,198212
1982-05-21,286.0,282.75,198209,198212
1982-05-24,284.75,281.0,198209,198212
1982-05-25,280.75,277.25,198209,198212
1982-05-26,281.75,278.0,198209,198212
1982-05-27,280.5,276.75,198209,198212
1982-05-28,281.25,276.5,198209,198212
1982-05-31,,,,
1982-06-01,277.75,272.25,198209,198212
1982-06-02,278.5,273.0,198209,198212
1982-06-03,276.5,272.5,198209,198212
1982-06-04,274.5,270.5,198209,198212
1982-06-07,277.75,274.0,198209,198212
1982-06-08,277.5,273.0,198209,198212
1982-06-09,278.75,274.25,198209,198212
1982-06-10,279.5,275.0,198209,198212
1982-06-11,283.25,277.75,198209,198212
1982-06-14,279.25,274.25,198209,198212
1982-06-15,276.5,272.75,198209,198212
1982-06-16,274.25,271.25,198209,198212
1982-06-17,270.75,269.25,198209,198212
1982-06-18,271.0,269.25,198209,198212
1982-06-21,272.0,269.75,198209,198212
1982-06-22,273.75,271.75,198209,198212
1982-06-23,273.0,270.75,198209,198212
1982-06-24,274.25,271.25,198209,198212
