DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT
2013-03-19,2577.0,,201403,201312
2013-03-20,2624.0,,201403,201312
2013-03-21,2602.0,,201403,201312
2013-03-22,2600.0,,201403,201312
2013-03-25,2569.0,,201403,201312
2013-03-26,2560.0,,201403,201312
2013-03-27,2517.0,,201403,201312
2013-03-28,2549.0,,201403,201312
2013-03-29,,,,
2013-04-01,,,,
2013-04-02,2577.0,,201403,201312
2013-04-03,2566.0,,201403,201312
2013-04-04,,,,
2013-04-05,2496.0,,201403,201312
2013-04-08,2510.0,,201403,201312
2013-04-09,2518.0,,201403,201312
2013-04-10,2579.0,,201403,201312
2013-04-11,2591.0,,201403,201312
2013-04-12,2568.0,,201403,201312
2013-04-15,2535.0,,201403,201312
2013-04-16,2533.0,,201403,201312
2013-04-17,2479.0,,201403,201312
2013-04-18,2480.0,,201403,201312
2013-04-19,2497.0,,201403,201312
2013-04-22,2511.0,,201403,201312
2013-04-23,2587.0,,201403,201312
2013-04-24,2625.0,,201403,201312
2013-04-25,,,,
2013-04-26,2621.0,,201403,201312
2013-04-29,2673.0,,201403,201312
2013-04-30,2657.0,,201403,201312
2013-05-01,,,,
2013-05-02,2673.0,,201403,201312
2013-05-03,2709.0,,201403,201312
2013-05-06,2699.0,,201403,201312
2013-05-07,2717.0,,201403,201312
2013-05-08,2742.0,,201403,201312
2013-05-09,2737.0,,201403,201312
2013-05-10,2755.0,,201403,201312
2013-05-13,2740.0,,201403,201312
2013-05-14,2765.0,,201403,201312
2013-05-15,2778.0,,201403,201312
2013-05-16,2760.0,,201403,201312
2013-05-17,2789.0,,201403,201312
2013-05-20,2803.0,,201403,201312
2013-05-21,2806.0,,201403,201312
2013-05-22,2777.0,,201403,201312
2013-05-23,2755.0,,201403,201312
2013-05-24,2749.0,,201403,201312
2013-05-27,2776.0,,201403,201312
2013-05-28,2809.0,,201403,201312
2013-05-29,2779.0,,201403,201312
2013-05-30,2789.0,,201403,201312
2013-05-31,2738.0,,201403,201312
2013-06-03,2748.0,,201403,201312
2013-06-04,2733.0,,201403,201312
2013-06-05,2691.0,,201403,201312
2013-06-06,2653.0,,201403,201312
2013-06-07,2705.0,,201403,201312
2013-06-10,2697.0,,201403,201312
2013-06-11,2648.0,,201403,201312
2013-06-12,2639.0,,201403,201312
2013-06-13,2633.0,,201403,201312
2013-06-14,2629.0,,201403,201312
2013-06-17,2678.0,,201403,201312
2013-06-18,2685.0,,201403,201312
2013-06-19,2654.0,,201403,201312
2013-06-20,2552.0,,201403,201312
2013-06-21,2550.0,,201403,201312
2013-06-24,2510.0,,201403,201312
2013-06-25,2539.0,,201403,201312
2013-06-26,2588.0,,201403,201312
2013-06-27,2598.0,,201403,201312
2013-06-28,2591.0,,201403,201312
2013-07-01,2596.0,,201403,201312
2013-07-02,2571.0,,201403,201312
2013-07-03,2558.0,,201403,201312
2013-07-04,2632.0,,201403,201312
2013-07-05,2603.0,,201403,201312
2013-07-08,2631.0,,201403,201312
2013-07-09,2652.0,,201403,201312
2013-07-10,2647.0,,201403,201312
2013-07-11,2677.0,,201403,201312
2013-07-12,2661.0,,201403,201312
2013-07-15,2679.0,,201403,201312
2013-07-16,2654.0,,201403,201312
2013-07-17,2666.0,,201403,201312
2013-07-18,2705.0,,201403,201312
2013-07-19,2704.0,,201403,201312
2013-07-22,2711.0,,201403,201312
2013-07-23,2713.0,,201403,201312
2013-07-24,2737.0,,201403,201312
2013-07-25,2743.0,,201403,201312
2013-07-26,2744.0,,201403,201312
2013-07-29,2734.0,,201403,201312
2013-07-30,2738.0,,201403,201312
2013-07-31,2760.0,,201403,201312
2013-08-01,2812.0,,201403,201312
2013-08-02,2806.0,,201403,201312
2013-08-05,2798.0,,201403,201312
2013-08-06,2778.0,,201403,201312
2013-08-07,2785.0,,201403,201312
2013-08-08,2810.0,,201403,201312
2013-08-09,2820.0,,201403,201312
2013-08-12,2815.0,,201403,201312
2013-08-13,2836.0,,201403,201312
2013-08-14,2842.0,,201403,201312
2013-08-15,2815.0,,201403,201312
2013-08-16,2834.0,,201403,201312
2013-08-19,2800.0,,201403,201312
2013-08-20,2775.0,,201403,201312
2013-08-21,2760.0,,201403,201312
2013-08-22,2798.0,,201403,201312
2013-08-23,2819.0,,201403,201312
2013-08-26,2801.0,,201403,201312
2013-08-27,2722.0,,201403,201312
2013-08-28,2723.0,,201403,201312
2013-08-29,2734.0,,201403,201312
2013-08-30,2703.0,,201403,201312
2013-09-02,2755.0,,201403,201312
2013-09-03,2742.0,,201403,201312
2013-09-04,2745.0,,201403,201312
2013-09-05,2761.0,,201403,201312
2013-09-06,2789.0,,201403,201312
2013-09-09,2795.0,,201403,201312
2013-09-10,2839.0,,201403,201312
2013-09-11,2856.0,,201403,201312
2013-09-12,2843.0,,201403,201312
2013-09-13,2855.0,,201403,201312
2013-09-16,2880.0,,201403,201312
2013-09-17,2883.0,,201403,201312
2013-09-18,2940.0,,201403,201312
2013-09-19,2920.0,,201403,201312
2013-09-20,2903.0,,201403,201312
2013-09-23,2897.0,,201403,201312
2013-09-24,2909.0,,201403,201312
2013-09-25,2911.0,,201403,201312
2013-09-26,2919.0,,201403,201312
2013-09-27,2910.0,,201403,201312
2013-09-30,2879.0,2873.0,201403,201312
2013-10-01,2917.0,2911.0,201403,201312
2013-10-02,2908.0,2902.0,201403,201312
2013-10-03,2892.0,2887.0,201403,201312
2013-10-04,2916.0,2911.0,201403,201312
2013-10-07,2909.0,2903.0,201403,201312
2013-10-08,2897.0,2892.0,201403,201312
2013-10-09,2891.0,2886.0,201403,201312
2013-10-10,2956.0,2950.0,201403,201312
2013-10-11,2962.0,2956.0,201403,201312
2013-10-14,2964.0,2958.0,201403,201312
2013-10-15,2994.0,2989.0,201403,201312
2013-10-16,3006.0,3000.0,201403,201312
2013-10-17,3003.0,2997.0,201403,201312
2013-10-18,3020.0,3014.0,201403,201312
2013-10-21,3021.0,3015.0,201403,201312
2013-10-22,3035.0,3029.0,201403,201312
2013-10-23,3006.0,3001.0,201403,201312
2013-10-24,3029.0,3023.0,201403,201312
2013-10-25,3026.0,3021.0,201403,201312
2013-10-28,3015.0,3010.0,201403,201312
2013-10-29,3042.0,3037.0,201403,201312
2013-10-30,3028.0,3022.0,201403,201312
2013-10-31,3059.0,3054.0,201403,201312
2013-11-01,3043.0,3038.0,201403,201312
2013-11-04,3052.0,3048.0,201403,201312
2013-11-05,3027.0,3022.0,201403,201312
2013-11-06,3049.0,3045.0,201403,201312
2013-11-07,3039.0,3034.0,201403,201312
2013-11-08,3028.0,3023.0,201403,201312
2013-11-11,3049.0,3044.0,201403,201312
2013-11-12,3031.0,3026.0,201403,201312
2013-11-13,3015.0,3010.0,201403,201312
2013-11-14,3050.0,3045.0,201403,201312
2013-11-15,3053.0,3049.0,201403,201312
2013-11-18,3080.0,3076.0,201403,201312
2013-11-19,3048.0,3043.0,201403,201312
2013-11-20,3045.0,3040.0,201403,201312
2013-11-21,3044.0,3039.0,201403,201312
2013-11-22,3053.0,3048.0,201403,201312
2013-11-25,3070.0,3065.0,201403,201312
2013-11-26,3063.0,3058.0,201403,201312
2013-11-27,3081.0,3076.0,201403,201312
2013-11-28,3091.0,3087.0,201403,201312
2013-11-29,3085.0,3081.0,201403,201312
2013-12-02,3078.0,3074.0,201403,201312
2013-12-03,3018.0,3014.0,201403,201312
2013-12-04,2992.0,2987.0,201403,201312
2013-12-05,2955.0,2952.0,201403,201312
2013-12-06,2981.0,2977.0,201403,201312
2013-12-09,2991.0,2987.0,201403,201312
2013-12-10,2964.0,2960.0,201403,201312
2013-12-11,2946.0,2942.0,201403,201312
2013-12-12,2926.0,2922.0,201403,201312
2013-12-13,2922.0,2919.0,201403,201312
2013-12-16,2975.0,2972.0,201403,201312
2013-12-17,2946.0,2944.0,201403,201312
2013-12-18,2970.0,2903.0,201406,201403
2013-12-19,3022.0,2955.0,201406,201403
2013-12-20,3047.0,2981.0,201406,201403
2013-12-23,3065.0,2998.0,201406,201403
2013-12-24,,,201406,201403
2013-12-25,,,201406,201403
2013-12-26,,,201406,201403
2013-12-27,3107.0,3041.0,201406,201403
2013-12-30,3108.0,3041.0,201406,201403
2013-12-31,,,201406,201403
2014-01-01,,,201406,201403
2014-01-02,3058.0,2992.0,201406,201403
2014-01-03,3069.0,3004.0,201406,201403
2014-01-06,3063.0,2996.0,201406,201403
2014-01-07,3105.0,3039.0,201406,201403
2014-01-08,3099.0,3032.0,201406,201403
2014-01-09,3083.0,3017.0,201406,201403
2014-01-10,3098.0,3032.0,201406,201403
2014-01-13,3105.0,3038.0,201406,201403
2014-01-14,3112.0,3045.0,201406,201403
2014-01-15,3163.0,3096.0,201406,201403
2014-01-16,3148.0,3081.0,201406,201403
2014-01-17,3151.0,3085.0,201406,201403
2014-01-20,3149.0,3083.0,201406,201403
2014-01-21,3150.0,3083.0,201406,201403
2014-01-22,3149.0,3082.0,201406,201403
2014-01-23,3117.0,3050.0,201406,201403
2014-01-24,3021.0,2954.0,201406,201403
2014-01-27,3015.0,2947.0,201406,201403
2014-01-28,3033.0,2966.0,201406,201403
2014-01-29,3014.0,2947.0,201406,201403
2014-01-30,3021.0,2953.0,201406,201403
2014-01-31,3018.0,2950.0,201406,201403
2014-02-03,2964.0,2896.0,201406,201403
2014-02-04,2965.0,2897.0,201406,201403
2014-02-05,2965.0,2897.0,201406,201403
2014-02-06,3009.0,2942.0,201406,201403
2014-02-07,3039.0,2971.0,201406,201403
2014-02-10,3032.0,2965.0,201406,201403
2014-02-11,3074.0,3006.0,201406,201403
2014-02-12,3093.0,3025.0,201406,201403
2014-02-13,3099.0,3031.0,201406,201403
2014-02-14,3116.0,3049.0,201406,201403
2014-02-17,3120.0,3052.0,201406,201403
2014-02-18,3121.0,3053.0,201406,201403
2014-02-19,3120.0,3052.0,201406,201403
