DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT
2013-09-10,105.3,,201403,201312
2013-09-11,,,,
2013-09-12,105.41,,201403,201312
2013-09-13,105.33,,201403,201312
2013-09-16,105.58,,201403,201312
2013-09-17,105.75,,201403,201312
2013-09-18,,,,
2013-09-19,,,,
2013-09-20,,,,
2013-09-23,105.93,,201403,201312
2013-09-24,105.89,,201403,201312
2013-09-25,105.85,,201403,201312
2013-09-26,105.79,,201403,201312
2013-09-27,105.84,,201403,201312
2013-09-30,105.92,,201403,201312
2013-10-01,105.82,,201403,201312
2013-10-02,105.9,,201403,201312
2013-10-03,,,201403,201312
2013-10-04,105.9,,201403,201312
2013-10-07,105.88,,201403,201312
2013-10-08,105.81,,201403,201312
2013-10-09,,,201403,201312
2013-10-10,105.73,,201403,201312
2013-10-11,105.77,,201403,201312
2013-10-14,105.7,,201403,201312
2013-10-15,105.72,,201403,201312
2013-10-16,105.76,,201403,201312
2013-10-17,105.81,,201403,201312
2013-10-18,105.91,,201403,201312
2013-10-21,105.87,,201403,201312
2013-10-22,105.9,,201403,201312
2013-10-23,106.07,,201403,201312
2013-10-24,106.03,,201403,201312
2013-10-25,106.04,,201403,201312
2013-10-28,105.95,,201403,201312
2013-10-29,106.06,,201403,201312
2013-10-30,106.11,,201403,201312
2013-10-31,106.0,,201403,201312
2013-11-01,105.92,,201403,201312
2013-11-04,105.86,,201403,201312
2013-11-05,105.76,,201403,201312
2013-11-06,105.8,,201403,201312
2013-11-07,105.75,,201403,201312
2013-11-08,105.8,,201403,201312
2013-11-11,105.58,,201403,201312
2013-11-12,105.55,,201403,201312
2013-11-13,105.61,,201403,201312
2013-11-14,105.6,,201403,201312
2013-11-15,105.6,,201403,201312
2013-11-18,105.61,,201403,201312
2013-11-19,105.54,,201403,201312
2013-11-20,105.51,105.36,201403,201312
2013-11-21,105.45,105.35,201403,201312
2013-11-22,105.54,105.12,201403,201312
2013-11-25,105.47,,201403,201312
2013-11-26,105.52,105.1,201403,201312
2013-11-27,105.49,105.225,201403,201312
2013-11-28,105.44,,201403,201312
2013-11-29,105.38,105.09,201403,201312
2013-12-02,105.3,105.0,201403,201312
2013-12-03,105.31,105.085,201403,201312
2013-12-04,105.35,105.16,201403,201312
2013-12-05,105.32,105.05,201403,201312
2013-12-06,105.37,105.08,201403,201312
2013-12-09,105.51,105.26,201403,201312
2013-12-10,105.52,105.25,201403,201312
2013-12-11,105.45,105.22,201403,201312
2013-12-12,105.49,105.23,201403,201312
2013-12-13,105.66,105.4,201403,201312
2013-12-16,105.58,105.535,201406,201403
2013-12-17,105.67,,201406,201403
2013-12-18,105.58,,201406,201403
2013-12-19,105.57,,201406,201403
2013-12-20,105.64,,201406,201403
2013-12-23,105.66,,201406,201403
2013-12-24,105.67,,201406,201403
2013-12-25,,,201406,201403
2013-12-26,105.68,,201406,201403
2013-12-27,105.84,,201406,201403
2013-12-30,105.74,,201406,201403
2013-12-31,,,201406,201403
2014-01-01,,,201406,201403
2014-01-02,105.5,,201406,201403
2014-01-03,105.49,,201406,201403
2014-01-06,105.75,,201406,201403
2014-01-07,105.74,,201406,201403
2014-01-08,105.76,,201406,201403
2014-01-09,105.63,,201406,201403
2014-01-10,105.58,,201406,201403
2014-01-13,105.67,,201406,201403
2014-01-14,105.62,,201406,201403
2014-01-15,105.61,,201406,201403
2014-01-16,105.68,,201406,201403
2014-01-17,105.66,,201406,201403
2014-01-20,105.62,,201406,201403
2014-01-21,105.6,,201406,201403
2014-01-22,105.57,,201406,201403
2014-01-23,105.63,,201406,201403
2014-01-24,105.78,,201406,201403
2014-01-27,105.69,,201406,201403
2014-01-28,105.73,,201406,201403
2014-01-29,105.74,,201406,201403
2014-01-30,,,,
2014-01-31,,,,
