DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT
1999-06-23,2259.0,,199912,199909
1999-06-24,2218.0,2242.0,199912,199909
1999-06-25,2215.0,,199912,199909
1999-06-28,2263.5,,199912,199909
1999-06-29,2294.0,,199912,199909
1999-06-30,2327.0,,199912,199909
1999-07-01,2327.0,,199912,199909
1999-07-02,2376.5,2400.5,199912,199909
1999-07-05,,,,
1999-07-06,2365.0,2404.0,199912,199909
1999-07-07,2362.5,,199912,199909
1999-07-08,2389.0,,199912,199909
1999-07-09,2417.5,,199912,199909
1999-07-12,2404.5,2444.5,199912,199909
1999-07-13,2389.5,2431.5,199912,199909
1999-07-14,2435.0,,199912,199909
1999-07-15,2453.0,,199912,199909
1999-07-16,2474.0,,199912,199909
1999-07-19,2443.0,,199912,199909
1999-07-20,2357.0,,199912,199909
1999-07-21,2368.0,,199912,199909
1999-07-22,2308.0,,199912,199909
1999-07-23,2310.0,,199912,199909
1999-07-26,2255.0,,199912,199909
1999-07-27,2306.5,,199912,199909
1999-07-28,2338.0,,199912,199909
1999-07-29,2287.5,,199912,199909
1999-07-30,,,,
1999-08-02,2274.0,,199912,199909
1999-08-03,2257.0,,199912,199909
1999-08-04,2214.0,,199912,199909
1999-08-05,2244.0,,199912,199909
1999-08-06,2222.0,,199912,199909
1999-08-09,2194.5,,199912,199909
1999-08-10,2175.5,,199912,199909
1999-08-11,2248.0,,199912,199909
1999-08-12,2223.0,,199912,199909
1999-08-13,2318.0,2344.0,199912,199909
1999-08-16,2338.5,,199912,199909
1999-08-17,2345.0,2371.0,199912,199909
1999-08-18,2321.5,2348.5,199912,199909
1999-08-19,2289.0,,199912,199909
1999-08-20,2329.5,,199912,199909
1999-08-23,2399.5,,199912,199909
1999-08-24,2416.5,,199912,199909
1999-08-25,2470.5,,199912,199909
1999-08-26,2429.0,,199912,199909
1999-08-27,2406.0,,199912,199909
1999-08-30,2373.5,,199912,199909
1999-08-31,2393.0,,199912,199909
1999-09-01,2414.0,,199912,199909
1999-09-02,2400.0,2430.0,199912,199909
1999-09-03,,,,
1999-09-06,,,,
1999-09-07,2532.0,,200003,199912
1999-09-08,2498.0,,200003,199912
1999-09-09,2538.0,,200003,199912
1999-09-10,2565.0,,200003,199912
1999-09-13,2525.5,,200003,199912
1999-09-14,2544.0,,200003,199912
1999-09-15,2494.0,,200003,199912
1999-09-16,,,,
1999-09-17,2568.5,2603.5,200003,199912
1999-09-20,2565.0,2600.5,200003,199912
1999-09-21,2513.0,2542.0,200003,199912
1999-09-22,2536.5,2567.0,200003,199912
1999-09-23,2427.0,2463.0,200003,199912
1999-09-24,2426.0,2455.5,200003,199912
1999-09-27,2447.5,2481.5,200003,199912
1999-09-28,2465.5,2495.0,200003,199912
1999-09-29,2422.0,2449.0,200003,199912
1999-09-30,2436.0,2469.0,200003,199912
1999-10-01,2434.5,2465.0,200003,199912
1999-10-04,2493.5,2526.5,200003,199912
1999-10-05,2507.0,2539.0,200003,199912
1999-10-06,2563.0,2587.5,200003,199912
1999-10-07,2549.0,2581.0,200003,199912
1999-10-08,2578.0,2612.5,200003,199912
1999-10-11,2617.0,2644.0,200003,199912
1999-10-12,2528.5,2591.5,200003,199912
1999-10-13,2484.5,2507.0,200003,199912
1999-10-14,2495.0,2526.5,200003,199912
1999-10-15,2416.0,2451.0,200003,199912
1999-10-18,2381.0,2417.5,200003,199912
1999-10-19,2405.0,2414.5,200003,199912
1999-10-20,2452.0,2503.0,200003,199912
1999-10-21,2504.0,2545.0,200003,199912
1999-10-22,2496.5,2528.5,200003,199912
1999-10-25,2495.0,2531.5,200003,199912
1999-10-26,2465.0,2508.0,200003,199912
1999-10-27,2474.0,2510.0,200003,199912
1999-10-28,2559.0,2595.5,200003,199912
1999-10-29,2654.0,2689.0,200003,199912
1999-11-01,2634.5,2672.5,200003,199912
1999-11-02,2641.0,2676.5,200003,199912
1999-11-03,2698.0,2729.5,200003,199912
1999-11-04,,,,
1999-11-05,2784.0,2821.0,200003,199912
1999-11-08,2808.0,2843.0,200003,199912
1999-11-09,2808.5,2821.5,200003,199912
1999-11-10,2815.0,2853.5,200003,199912
1999-11-11,2869.0,2902.5,200003,199912
1999-11-12,2905.0,2945.0,200003,199912
1999-11-15,2893.0,2932.5,200003,199912
1999-11-16,2973.0,3013.0,200003,199912
1999-11-17,2935.0,2968.0,200003,199912
1999-11-18,3013.0,3059.0,200003,199912
1999-11-19,3043.5,3085.5,200003,199912
1999-11-22,3069.0,3109.0,200003,199912
1999-11-23,3014.0,3055.5,200003,199912
1999-11-24,3119.0,3163.5,200003,199912
1999-11-25,,,,
1999-11-26,3163.0,,200006,200003
1999-11-29,3114.5,,200006,200003
1999-11-30,3012.0,,200006,200003
1999-12-01,3054.5,,200006,200003
1999-12-02,3153.5,,200006,200003
1999-12-03,3218.5,,200006,200003
1999-12-06,3248.5,,200006,200003
1999-12-07,3256.0,,200006,200003
1999-12-08,3209.5,,200006,200003
1999-12-09,3211.5,,200006,200003
1999-12-10,3255.0,,200006,200003
1999-12-13,3287.0,,200006,200003
1999-12-14,3224.0,,200006,200003
1999-12-15,3275.5,,200006,200003
1999-12-16,3382.0,,200006,200003
1999-12-17,3414.0,3466.0,200006,200003
1999-12-20,3446.5,3498.5,200006,200003
1999-12-21,3599.0,3649.0,200006,200003
1999-12-22,3619.5,3670.5,200006,200003
1999-12-23,3644.0,3696.0,200006,200003
1999-12-24,,,,
1999-12-27,3640.0,3692.0,200006,200003
1999-12-28,3622.5,3674.5,200006,200003
1999-12-29,3744.5,3796.5,200006,200003
1999-12-30,3734.5,3786.5,200006,200003
1999-12-31,3754.0,3806.0,200006,200003
2000-01-03,3844.5,3896.5,200006,200003
2000-01-04,3557.5,3607.5,200006,200003
2000-01-05,3512.5,3562.5,200006,200003
2000-01-06,3312.5,3362.5,200006,200003
2000-01-07,3557.5,3607.5,200006,200003
2000-01-10,3770.0,3820.0,200006,200003
2000-01-11,3575.0,3625.0,200006,200003
2000-01-12,3503.5,3553.5,200006,200003
2000-01-13,3652.5,3702.5,200006,200003
2000-01-14,3751.5,3801.5,200006,200003
2000-01-17,,,,
2000-01-18,3807.0,3860.0,200006,200003
2000-01-19,3850.0,3902.0,200006,200003
2000-01-20,3876.5,3928.5,200006,200003
2000-01-21,3889.5,3943.5,200006,200003
2000-01-24,3683.5,3736.5,200006,200003
2000-01-25,3791.5,3845.5,200006,200003
2000-01-26,3654.5,3706.5,200006,200003
2000-01-27,3636.0,3688.0,200006,200003
2000-01-28,3475.0,3525.0,200006,200003
2000-01-31,3612.5,3662.5,200006,200003
2000-02-01,3719.0,3687.0,200006,200003
2000-02-02,3760.0,3786.0,200006,200003
2000-02-03,3882.0,3944.5,200006,200003
2000-02-04,3908.5,3960.5,200006,200003
2000-02-07,3947.5,4011.5,200006,200003
2000-02-08,4117.0,4151.0,200006,200003
2000-02-09,3971.0,4032.0,200006,200003
2000-02-10,4105.0,4168.5,200006,200003
2000-02-11,3996.0,4049.0,200006,200003
2000-02-14,4006.5,4060.0,200006,200003
2000-02-15,4042.0,4093.0,200006,200003
2000-02-16,4030.0,4077.0,200006,200003
2000-02-17,4104.0,4163.5,200006,200003
2000-02-18,3980.0,4025.5,200006,200003
2000-02-21,,,,
2000-02-22,3975.0,4021.0,200006,200003
2000-02-23,4180.0,4245.5,200006,200003
2000-02-24,4256.0,,200009,200006
2000-02-25,4254.0,,200009,200006
2000-02-28,4218.0,,200009,200006
2000-02-29,4362.0,,200009,200006
2000-03-01,4386.5,,200009,200006
2000-03-02,4290.0,,200009,200006
2000-03-03,4516.5,,200009,200006
2000-03-06,4563.5,,200009,200006
2000-03-07,4428.5,,200009,200006
2000-03-08,4521.5,,200009,200006
2000-03-09,4671.0,,200009,200006
2000-03-10,4667.0,,200009,200006
2000-03-13,4518.0,,200009,200006
2000-03-14,4325.0,,200009,200006
2000-03-15,4190.0,,200009,200006
2000-03-16,4418.0,,200009,200006
2000-03-17,4512.0,4572.5,200009,200006
2000-03-20,4347.0,4408.5,200009,200006
2000-03-21,4515.0,4574.0,200009,200006
2000-03-22,4630.5,4676.0,200009,200006
2000-03-23,4734.0,4788.5,200009,200006
2000-03-24,4805.0,4860.0,200009,200006
2000-03-27,4762.0,4818.0,200009,200006
2000-03-28,4662.5,4730.5,200009,200006
2000-03-29,4468.5,4536.5,200009,200006
2000-03-30,4327.5,4395.5,200009,200006
2000-03-31,4457.5,4523.5,200009,200006
2000-04-03,4143.0,4200.0,200009,200006
2000-04-04,4066.0,4134.0,200009,200006
2000-04-05,4060.0,4120.0,200009,200006
2000-04-06,4145.0,4205.0,200009,200006
2000-04-07,4337.0,4400.0,200009,200006
