DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT
2013-05-14,132.0,,201403,201312
2013-05-15,,,,
2013-05-16,,,,
2013-05-17,,,,
2013-05-20,,,,
2013-05-21,,,,
2013-05-22,,,,
2013-05-23,,,,
2013-05-24,,,,
2013-05-27,,,,
2013-05-28,,,,
2013-05-29,,,,
2013-05-30,,,,
2013-05-31,,,,
2013-06-03,,,,
2013-06-04,,,,
2013-06-05,,,,
2013-06-06,,,,
2013-06-07,134.0,,201403,201312
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-24,,,,
2013-06-25,130.29,,201403,201312
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-08,132.88,,201403,201312
2013-07-09,,,,
2013-07-10,133.0,,201403,201312
2013-07-11,,,,
2013-07-12,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,133.14,,201403,201312
2013-08-09,,,,
2013-08-12,,,,
2013-08-13,132.23,,201403,201312
2013-08-14,131.78,,201403,201312
2013-08-15,130.93,,201403,201312
2013-08-16,,,,
2013-08-19,130.8,,201403,201312
2013-08-20,130.7,,201403,201312
2013-08-21,,,,
2013-08-22,130.31,,201403,201312
2013-08-23,130.4,,201403,201312
2013-08-26,130.68,,201403,201312
2013-08-27,130.99,,201403,201312
2013-08-28,130.64,,201403,201312
2013-08-29,130.86,,201403,201312
2013-08-30,130.5,,201403,201312
2013-09-02,130.34,,201403,201312
2013-09-03,130.15,,201403,201312
2013-09-04,129.92,,201403,201312
2013-09-05,129.03,,201403,201312
2013-09-06,129.83,,201403,201312
2013-09-09,129.5,,201403,201312
2013-09-10,128.9,,201403,201312
2013-09-11,129.23,,201403,201312
2013-09-12,129.68,,201403,201312
2013-09-13,129.84,,201403,201312
2013-09-16,130.24,,201403,201312
2013-09-17,130.3,,201403,201312
2013-09-18,130.18,,201403,201312
2013-09-19,131.08,,201403,201312
2013-09-20,130.93,,201403,201312
2013-09-23,131.21,,201403,201312
2013-09-24,131.89,,201403,201312
2013-09-25,132.14,,201403,201312
2013-09-26,131.98,,201403,201312
2013-09-27,132.3,,201403,201312
2013-09-30,132.49,,201403,201312
2013-10-01,132.46,,201403,201312
2013-10-02,132.42,,201403,201312
2013-10-03,132.21,,201403,201312
2013-10-04,132.15,,201403,201312
2013-10-07,132.43,,201403,201312
2013-10-08,132.29,,201403,201312
2013-10-09,132.3,,201403,201312
2013-10-10,131.91,,201403,201312
2013-10-11,132.09,,201403,201312
2013-10-14,132.11,,201403,201312
2013-10-15,131.7,,201403,201312
2013-10-16,131.49,,201403,201312
2013-10-17,132.05,,201403,201312
2013-10-18,132.46,,201403,201312
2013-10-21,132.38,,201403,201312
2013-10-22,133.13,,201403,201312
2013-10-23,133.52,,201403,201312
2013-10-24,133.52,,201403,201312
2013-10-25,133.64,,201403,201312
2013-10-28,133.76,,201403,201312
2013-10-29,133.98,,201403,201312
2013-10-30,134.35,,201403,201312
2013-10-31,134.68,,201403,201312
2013-11-01,134.7,,201403,201312
2013-11-04,134.78,132.61,201403,201312
2013-11-05,134.03,132.40458333333333,201403,201312
2013-11-06,134.0,132.12576923076924,201403,201312
2013-11-07,134.59,131.895,201403,201312
2013-11-08,134.04,132.42,201403,201312
2013-11-11,134.02,132.31,201403,201312
2013-11-12,133.66,132.0,201403,201312
2013-11-13,134.25,132.10269230769228,201403,201312
2013-11-14,134.68,133.03,201403,201312
2013-11-15,134.54,132.96153846153845,201403,201312
2013-11-18,134.68,133.01,201403,201312
2013-11-19,134.36,132.72,201403,201312
2013-11-20,134.44,132.5403846153846,201403,201312
2013-11-21,134.22,132.59,201403,201312
2013-11-22,134.34,132.72,201403,201312
2013-11-25,134.57,132.94,201403,201312
2013-11-26,134.89,133.28,201403,201312
2013-11-27,134.8,133.18,201403,201312
2013-11-28,134.83,133.22,201403,201312
2013-11-29,135.03,133.42,201403,201312
2013-12-02,134.75,133.12,201403,201312
2013-12-03,135.08,133.41,201403,201312
2013-12-04,134.56,132.84,201403,201312
2013-12-05,134.05,132.33,201403,201312
2013-12-06,132.35,132.39124999999999,201406,201403
2013-12-09,132.37,,201406,201403
2013-12-10,132.51,131.975,201406,201403
2013-12-11,132.64,,201406,201403
2013-12-12,132.5,132.085,201406,201403
2013-12-13,132.61,131.935,201406,201403
2013-12-16,132.6,132.12,201406,201403
2013-12-17,132.64,132.105,201406,201403
2013-12-18,132.47,132.165,201406,201403
2013-12-19,132.31,132.0925,201406,201403
2013-12-20,132.42,131.795,201406,201403
2013-12-23,132.18,,201406,201403
2013-12-24,,,201406,201403
2013-12-25,,,201406,201403
2013-12-26,,,201406,201403
2013-12-27,131.36,131.245,201406,201403
2013-12-30,131.44,130.685,201406,201403
2013-12-31,,,201406,201403
2014-01-01,,,201406,201403
2014-01-02,131.55,130.6475,201406,201403
2014-01-03,131.62,,201406,201403
2014-01-06,131.88,,201406,201403
2014-01-07,132.22,,201406,201403
2014-01-08,132.1,131.70333333333335,201406,201403
2014-01-09,131.71,131.525,201406,201403
2014-01-10,132.26,,201406,201403
2014-01-13,132.55,131.775,201406,201403
2014-01-14,132.75,132.05833333333334,201406,201403
2014-01-15,132.59,132.325,201406,201403
2014-01-16,133.05,132.305,201406,201403
2014-01-17,133.45,132.09875,201406,201403
2014-01-20,133.67,,201406,201403
2014-01-21,133.57,132.37,201406,201403
2014-01-22,133.27,132.415,201406,201403
2014-01-23,133.49,,201406,201403
2014-01-24,134.04,132.41,201406,201403
2014-01-27,134.18,132.995,201406,201403
2014-01-28,134.17,,201406,201403
2014-01-29,134.48,132.85375,201406,201403
2014-01-30,134.91,,201406,201403
2014-01-31,135.78,133.745,201406,201403
2014-02-03,135.9,134.1575,201406,201403
2014-02-04,135.79,134.125,201406,201403
2014-02-05,135.81,134.14,201406,201403
2014-02-06,135.16,133.52125,201406,201403
2014-02-07,135.59,133.7775,201406,201403
2014-02-10,135.28,133.555,201406,201403
2014-02-11,135.21,133.36125,201406,201403
2014-02-12,134.89,133.21,201406,201403
2014-02-13,135.29,133.55,201406,201403
2014-02-14,135.2,133.42,201406,201403
2014-02-17,135.22,133.155,201406,201403
2014-02-18,135.48,133.795,201406,201403
2014-02-19,135.58,133.955,201406,201403
2014-02-20,135.16,133.515,201406,201403
2014-02-21,135.67,134.0,201406,201403
2014-02-24,135.6,133.92,201406,201403
2014-02-25,135.96,134.28,201406,201403
2014-02-26,136.49,134.81,201406,201403
2014-02-27,137.21,135.51,201406,201403
2014-02-28,136.51,134.81,201406,201403
2014-03-03,137.03,135.34,201406,201403
2014-03-04,135.11,135.09,201409,201406
2014-03-05,135.11,,201409,201406
2014-03-06,134.4,,201409,201406
2014-03-07,134.585,,201409,201406
2014-03-10,134.7,,201409,201406
2014-03-11,134.5,,201409,201406
2014-03-12,134.96,,201409,201406
2014-03-13,135.5,,201409,201406
2014-03-14,135.6,,201409,201406
2014-03-17,135.56,,201409,201406
2014-03-18,135.635,,201409,201406
2014-03-19,135.2,,201409,201406
2014-03-20,135.01,,201409,201406
2014-03-21,135.28,,201409,201406
2014-03-24,,,,
2014-03-25,135.85,,201409,201406
2014-03-26,136.13,,201409,201406
2014-03-27,136.59,,201409,201406
2014-03-28,136.47,,201409,201406
2014-03-31,136.31,,201409,201406
2014-04-01,136.02,,201409,201406
2014-04-02,135.65,,201409,201406
2014-04-03,135.94,,201409,201406
2014-04-04,,,,
2014-04-07,136.7,,201409,201406
2014-04-08,136.495,,201409,201406
2014-04-09,,,,
2014-04-10,137.03,,201409,201406
2014-04-11,137.05,,201409,201406
2014-04-14,137.0,,201409,201406
2014-04-15,137.81,,201409,201406
2014-04-16,137.7,,201409,201406
2014-04-17,137.09,,201409,201406
2014-04-18,,,,
2014-04-21,,,,
2014-04-22,137.13,,201409,201406
2014-04-23,137.22,,201409,201406
2014-04-24,137.15,,201409,201406
2014-04-25,137.57,,201409,201406
2014-04-28,137.39,,201409,201406
2014-04-29,137.36,,201409,201406
2014-04-30,137.85,,201409,201406
2014-05-01,,,,
2014-05-02,138.17,138.89,201409,201406
2014-05-05,137.9,,201409,201406
2014-05-06,138.06,,201409,201406
2014-05-07,137.95,,201409,201406
2014-05-08,138.56,,201409,201406
2014-05-09,138.44,,201409,201406
2014-05-12,138.33,,201409,201406
2014-05-13,138.81,,201409,201406
2014-05-14,139.55,,201409,201406
2014-05-15,140.03,,201409,201406
2014-05-16,139.81,,201409,201406
2014-05-19,139.55,,201409,201406
2014-05-20,139.23,,201409,201406
2014-05-21,139.18,,201409,201406
2014-05-22,139.48,137.87,201409,201406
2014-05-23,139.44,137.9,201409,201406
2014-05-26,139.44,137.87,201409,201406
2014-05-27,139.845,,201409,201406
2014-05-28,140.6,138.91,201409,201406
2014-05-29,140.33,138.76,201409,201406
2014-05-30,140.08,138.39,201409,201406
2014-06-02,138.3,138.3,201412,201409
2014-06-03,137.87,,201412,201409
2014-06-04,137.6325,,201412,201409
2014-06-05,138.32,,201412,201409
2014-06-06,139.17,,201412,201409
2014-06-09,139.21,,201412,201409
2014-06-10,138.59,,201412,201409
2014-06-11,138.62,,201412,201409
2014-06-12,138.64,,201412,201409
2014-06-13,138.76,,201412,201409
2014-06-16,138.96,,201412,201409
2014-06-17,138.92,,201412,201409
2014-06-18,138.74,,201412,201409
2014-06-19,139.48,,201412,201409
