DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT
1988-06-13,96.390625,,198906,198903
1988-06-14,97.25,,198906,198903
1988-06-15,97.046875,,198906,198903
1988-06-16,96.421875,,198906,198903
1988-06-17,96.03125,,198906,198903
1988-06-20,96.0,,198906,198903
1988-06-21,95.9375,,198906,198903
1988-06-22,96.421875,,198906,198903
1988-06-23,96.578125,,198906,198903
1988-06-24,96.65625,,198906,198903
1988-06-27,96.34375,,198906,198903
1988-06-28,96.59375,,198906,198903
1988-06-29,96.640625,,198906,198903
1988-06-30,96.828125,,198906,198903
1988-07-01,96.90625,,198906,198903
1988-07-04,,,,
1988-07-05,96.75,,198906,198903
1988-07-06,96.515625,,198906,198903
1988-07-07,96.546875,,198906,198903
1988-07-08,96.046875,,198906,198903
1988-07-11,96.1875,,198906,198903
1988-07-12,95.9375,,198906,198903
1988-07-13,95.859375,,198906,198903
1988-07-14,95.8125,,198906,198903
1988-07-15,96.03125,,198906,198903
1988-07-18,95.828125,,198906,198903
1988-07-19,96.0,,198906,198903
1988-07-20,96.0,,198906,198903
1988-07-21,95.953125,,198906,198903
1988-07-22,96.15625,,198906,198903
1988-07-25,96.1875,,198906,198903
1988-07-26,96.296875,,198906,198903
1988-07-27,95.984375,,198906,198903
1988-07-28,95.96875,,198906,198903
1988-07-29,96.109375,,198906,198903
1988-08-01,96.28125,,198906,198903
1988-08-02,96.5,,198906,198903
1988-08-03,96.4375,,198906,198903
1988-08-04,96.59375,,198906,198903
1988-08-05,96.0625,,198906,198903
1988-08-08,96.03125,,198906,198903
1988-08-09,95.65625,,198906,198903
1988-08-10,95.25,,198906,198903
1988-08-11,95.203125,,198906,198903
1988-08-12,95.1875,,198906,198903
1988-08-15,95.15625,,198906,198903
1988-08-16,95.15625,,198906,198903
1988-08-17,95.140625,,198906,198903
1988-08-18,95.09375,,198906,198903
1988-08-19,95.109375,,198906,198903
1988-08-22,94.984375,,198906,198903
1988-08-23,95.1875,,198906,198903
1988-08-24,95.15625,,198906,198903
1988-08-25,94.90625,,198906,198903
1988-08-26,94.984375,,198906,198903
1988-08-29,95.21875,,198906,198903
1988-08-30,95.328125,,198906,198903
1988-08-31,95.46875,,198906,198903
1988-09-01,95.46875,,198906,198903
1988-09-02,96.46875,,198906,198903
1988-09-05,,,,
1988-09-06,96.53125,,198906,198903
1988-09-07,96.484375,,198906,198903
1988-09-08,96.46875,,198906,198903
1988-09-09,96.75,96.1171875,198906,198903
1988-09-12,96.625,96.25,198906,198903
1988-09-13,96.6875,96.3125,198906,198903
1988-09-14,96.890625,96.515625,198906,198903
1988-09-15,96.75,96.375,198906,198903
1988-09-16,96.71875,96.34375,198906,198903
1988-09-19,96.5625,96.1875,198906,198903
1988-09-20,96.5625,96.1875,198906,198903
1988-09-21,96.6875,96.3125,198906,198903
1988-09-22,96.671875,96.296875,198906,198903
1988-09-23,96.609375,96.234375,198906,198903
1988-09-26,96.421875,96.046875,198906,198903
1988-09-27,96.296875,95.984375,198906,198903
1988-09-28,96.25,95.9375,198906,198903
1988-09-29,96.515625,96.203125,198906,198903
1988-09-30,97.0,96.71875,198906,198903
1988-10-03,97.09375,96.8125,198906,198903
1988-10-04,96.984375,96.703125,198906,198903
1988-10-05,97.0,96.71875,198906,198903
1988-10-06,97.015625,96.734375,198906,198903
1988-10-07,97.75,97.46875,198906,198903
1988-10-10,97.625,97.34375,198906,198903
1988-10-11,97.546875,97.265625,198906,198903
1988-10-12,97.234375,96.953125,198906,198903
1988-10-13,97.28125,97.0,198906,198903
1988-10-14,97.453125,97.171875,198906,198903
1988-10-17,97.515625,97.234375,198906,198903
1988-10-18,97.625,97.34375,198906,198903
1988-10-19,97.421875,97.171875,198906,198903
1988-10-20,97.484375,97.234375,198906,198903
1988-10-21,97.40625,97.15625,198906,198903
1988-10-24,97.4375,97.1875,198906,198903
1988-10-25,97.5,97.25,198906,198903
1988-10-26,97.71875,97.46875,198906,198903
1988-10-27,98.0,97.75,198906,198903
1988-10-28,98.0625,97.8125,198906,198903
1988-10-31,98.15625,97.890625,198906,198903
1988-11-01,98.109375,97.890625,198906,198903
1988-11-02,97.9375,97.71875,198906,198903
1988-11-03,98.078125,97.859375,198906,198903
1988-11-04,97.40625,97.1875,198906,198903
1988-11-07,97.171875,96.953125,198906,198903
1988-11-08,97.140625,96.921875,198906,198903
1988-11-09,97.03125,96.8125,198906,198903
1988-11-10,97.0625,96.90625,198906,198903
1988-11-11,96.890625,96.734375,198906,198903
1988-11-14,96.96875,96.8125,198906,198903
1988-11-15,96.875,96.78125,198906,198903
1988-11-16,96.5,96.375,198906,198903
1988-11-17,96.40625,96.3125,198906,198903
1988-11-18,96.390625,96.3125,198906,198903
1988-11-21,96.328125,96.28125,198906,198903
1988-11-22,96.140625,96.09375,198906,198903
1988-11-23,96.109375,96.0625,198906,198903
1988-11-24,,,,
1988-11-25,95.6875,95.65625,198906,198903
1988-11-28,95.765625,95.796875,198906,198903
1988-11-29,95.90625,95.9375,198906,198903
1988-11-30,96.34375,96.328125,198906,198903
1988-12-01,96.390625,96.328125,198906,198903
1988-12-02,95.5625,95.515625,198906,198903
1988-12-05,95.734375,95.703125,198906,198903
1988-12-06,96.5,96.46875,198906,198903
1988-12-07,96.28125,96.25,198906,198903
1988-12-08,96.03125,96.015625,198906,198903
1988-12-09,95.828125,95.828125,198906,198903
1988-12-12,95.75,95.75,198906,198903
1988-12-13,95.5,95.5,198906,198903
1988-12-14,95.34375,95.34375,198906,198903
1988-12-15,95.25,95.25,198906,198903
1988-12-16,95.375,95.375,198906,198903
1988-12-19,95.46875,95.46875,198906,198903
1988-12-20,95.8125,95.8125,198906,198903
1988-12-21,95.875,95.875,198906,198903
1988-12-22,95.796875,95.796875,198906,198903
1988-12-23,95.875,95.875,198906,198903
1988-12-26,,,,
1988-12-27,95.46875,95.46875,198906,198903
1988-12-28,95.28125,95.28125,198906,198903
1988-12-29,95.375,95.375,198906,198903
1988-12-30,95.5625,95.53125,198906,198903
1989-01-02,,,,
1989-01-03,95.15625,95.125,198906,198903
1989-01-04,95.109375,95.109375,198906,198903
1989-01-05,94.859375,94.859375,198906,198903
1989-01-06,94.875,94.875,198906,198903
1989-01-09,94.921875,94.953125,198906,198903
1989-01-10,94.921875,94.9375,198906,198903
1989-01-11,94.953125,94.96875,198906,198903
1989-01-12,95.28125,95.296875,198906,198903
1989-01-13,95.71875,95.765625,198906,198903
1989-01-16,95.71875,95.765625,198906,198903
1989-01-17,95.65625,95.734375,198906,198903
1989-01-18,95.890625,95.953125,198906,198903
1989-01-19,95.890625,95.921875,198906,198903
1989-01-20,95.75,95.796875,198906,198903
1989-01-23,,,,
1989-01-24,96.234375,,198909,198906
1989-01-25,95.9375,,198909,198906
1989-01-26,95.84375,,198909,198906
1989-01-27,96.078125,,198909,198906
1989-01-30,95.890625,95.453125,198909,198906
1989-01-31,95.859375,95.4375,198909,198906
1989-02-01,95.9375,95.921875,198909,198906
1989-02-02,96.0625,96.046875,198909,198906
1989-02-03,95.875,95.859375,198909,198906
1989-02-06,95.84375,95.859375,198909,198906
1989-02-07,96.046875,96.078125,198909,198906
1989-02-08,96.0,96.03125,198909,198906
1989-02-09,95.46875,95.5,198909,198906
1989-02-10,95.1875,95.21875,198909,198906
1989-02-13,95.09375,95.125,198909,198906
1989-02-14,95.0,95.0625,198909,198906
1989-02-15,94.984375,95.046875,198909,198906
1989-02-16,95.015625,95.078125,198909,198906
1989-02-17,95.03125,95.09375,198909,198906
1989-02-20,,,,
1989-02-21,94.984375,94.921875,198909,198906
1989-02-22,94.6875,94.640625,198909,198906
1989-02-23,94.359375,94.359375,198909,198906
1989-02-24,94.359375,94.515625,198909,198906
1989-02-27,94.484375,94.59375,198909,198906
1989-02-28,94.65625,94.78125,198909,198906
1989-03-01,94.59375,94.71875,198909,198906
1989-03-02,94.71875,94.90625,198909,198906
1989-03-03,94.78125,94.921875,198909,198906
1989-03-06,94.9375,95.078125,198909,198906
1989-03-07,94.890625,95.046875,198909,198906
1989-03-08,94.96875,95.125,198909,198906
1989-03-09,94.921875,95.0,198909,198906
1989-03-10,94.40625,94.484375,198909,198906
1989-03-13,94.453125,94.515625,198909,198906
