DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT
2007-06-21,15.81,15.9,200805,200806
2007-06-22,16.05,16.04,200805,200806
2007-06-25,16.07,16.16,200805,200806
2007-06-26,16.38,16.46,200805,200806
2007-06-27,16.15,16.12,200805,200806
2007-06-28,16.1,16.08,200805,200806
2007-06-29,16.37,16.35,200805,200806
2007-07-02,16.26,16.24,200805,200806
2007-07-03,16.28,16.26,200805,200806
2007-07-04,,,,
2007-07-05,16.37,16.33,200805,200806
2007-07-06,16.36,16.28,200805,200806
2007-07-09,16.44,16.45,200805,200806
2007-07-10,16.71,16.7,200805,200806
2007-07-11,16.81,16.85,200805,200806
2007-07-12,16.77,16.81,200805,200806
2007-07-13,17.17,17.11,200805,200806
2007-07-16,17.34,17.24,200805,200806
2007-07-17,17.59,17.5,200805,200806
2007-07-18,17.97,17.81,200805,200806
2007-07-19,18.07,17.95,200805,200806
2007-07-20,18.57,18.43,200805,200806
2007-07-23,18.43,18.18,200805,200806
2007-07-24,19.31,19.01,200805,200806
2007-07-25,19.02,18.92,200805,200806
2007-07-26,20.19,20.11,200805,200806
2007-07-27,19.6,19.73,200805,200806
2007-07-30,19.29,19.29,200805,200806
2007-07-31,20.6,20.76,200805,200806
2007-08-01,20.69,21.01,200805,200806
2007-08-02,20.41,20.33,200805,200806
2007-08-03,21.45,21.65,200805,200806
2007-08-06,21.2,21.28,200805,200806
2007-08-07,20.47,20.41,200805,200806
2007-08-08,20.1,20.08,200805,200806
2007-08-09,22.33,22.27,200805,200806
2007-08-10,22.9,22.89,200805,200806
2007-08-13,22.03,21.72,200805,200806
2007-08-14,22.37,22.25,200805,200806
2007-08-15,22.48,22.36,200805,200806
2007-08-16,22.43,22.45,200805,200806
2007-08-17,22.71,22.66,200805,200806
2007-08-20,22.15,22.05,200805,200806
2007-08-21,22.04,21.8,200805,200806
2007-08-22,21.09,21.03,200805,200806
2007-08-23,21.24,21.13,200805,200806
2007-08-24,20.6,20.57,200805,200806
2007-08-27,20.85,20.83,200805,200806
2007-08-28,21.52,21.53,200805,200806
2007-08-29,21.34,21.39,200805,200806
2007-08-30,21.64,21.61,200805,200806
2007-08-31,21.7,21.49,200805,200806
2007-09-03,,,,
2007-09-04,21.07,21.02,200805,200806
2007-09-05,21.78,21.21,200805,200806
2007-09-06,21.31,21.23,200805,200806
2007-09-07,21.59,21.59,200805,200806
2007-09-10,21.81,21.8,200805,200806
2007-09-11,21.41,21.5,200805,200806
2007-09-12,21.59,21.6,200805,200806
2007-09-13,21.36,21.4,200805,200806
2007-09-14,21.35,21.44,200805,200806
2007-09-17,21.47,21.6,200805,200806
2007-09-18,20.67,20.85,200805,200806
2007-09-19,20.14,20.21,200805,200806
2007-09-20,20.2,20.24,200805,200806
2007-09-21,19.58,19.61,200805,200806
2007-09-24,19.49,19.56,200805,200806
2007-09-25,19.47,19.53,200805,200806
2007-09-26,19.3,19.33,200805,200806
2007-09-27,19.28,19.17,200805,200806
2007-09-28,19.5,19.46,200805,200806
2007-10-01,19.46,19.44,200805,200806
2007-10-02,19.56,19.54,200805,200806
2007-10-03,19.8,19.9,200805,200806
2007-10-04,19.88,19.86,200805,200806
2007-10-05,19.48,19.38,200805,200806
2007-10-08,19.52,19.55,200805,200806
2007-10-09,19.23,19.19,200805,200806
2007-10-10,19.61,19.45,200805,200806
2007-10-11,19.84,19.83,200805,200806
2007-10-12,19.88,19.84,200805,200806
2007-10-15,20.55,20.55,200805,200806
2007-10-16,21.04,21.09,200805,200806
2007-10-17,21.28,21.23,200805,200806
2007-10-18,21.16,21.1,200805,200806
2007-10-19,21.82,21.74,200805,200806
2007-10-22,21.73,21.76,200805,200806
2007-10-23,21.41,21.49,200805,200806
2007-10-24,21.61,21.57,200805,200806
2007-10-25,21.64,21.63,200805,200806
2007-10-26,21.33,21.23,200805,200806
2007-10-29,21.27,21.22,200805,200806
2007-10-30,21.75,21.69,200805,200806
2007-10-31,21.03,21.01,200805,200806
2007-11-01,21.94,22.2,200805,200806
2007-11-02,23.11,22.86,200805,200806
2007-11-05,23.64,23.61,200805,200806
2007-11-06,23.23,23.15,200805,200806
2007-11-07,24.73,24.75,200805,200806
2007-11-08,24.19,24.32,200805,200806
2007-11-09,24.46,24.68,200805,200806
2007-11-12,24.51,24.76,200805,200806
2007-11-13,23.93,24.21,200805,200806
2007-11-14,23.95,24.03,200805,200806
2007-11-15,24.3,24.72,200805,200806
2007-11-16,24.73,25.05,200805,200806
2007-11-19,25.27,25.76,200805,200806
2007-11-20,25.47,25.83,200805,200806
2007-11-21,25.95,26.17,200805,200806
2007-11-22,,,,
2007-11-23,25.62,25.73,200805,200806
2007-11-26,25.71,25.84,200805,200806
2007-11-27,25.32,25.52,200805,200806
2007-11-28,24.11,24.22,200805,200806
2007-11-29,24.01,24.33,200805,200806
2007-11-30,23.82,23.94,200805,200806
2007-12-03,23.77,23.91,200805,200806
2007-12-04,24.02,24.6,200805,200806
2007-12-05,23.66,23.78,200805,200806
2007-12-06,22.94,23.0,200805,200806
2007-12-07,23.03,23.1,200805,200806
2007-12-10,22.67,22.85,200805,200806
2007-12-11,23.37,23.52,200805,200806
2007-12-12,22.85,23.06,200805,200806
2007-12-13,23.29,23.51,200805,200806
2007-12-14,23.8,23.75,200805,200806
2007-12-17,24.62,24.76,200805,200806
2007-12-18,24.02,24.3,200805,200806
2007-12-19,24.06,24.13,200805,200806
2007-12-20,23.74,23.85,200805,200806
2007-12-21,23.09,23.16,200805,200806
2007-12-24,22.98,22.98,200805,200806
2007-12-25,,,,
2007-12-26,22.89,22.92,200805,200806
2007-12-27,23.28,23.37,200805,200806
2007-12-28,23.29,23.33,200805,200806
2007-12-31,23.86,23.84,200805,200806
2008-01-01,,,,
2008-01-02,23.97,24.23,200805,200806
2008-01-03,24.04,24.21,200805,200806
2008-01-04,24.57,24.65,200805,200806
2008-01-07,24.28,24.37,200805,200806
2008-01-08,25.07,25.17,200805,200806
2008-01-09,24.49,24.66,200805,200806
2008-01-10,24.15,24.27,200805,200806
2008-01-11,25.5,25.5,200805,200806
2008-01-14,24.9,24.89,200805,200806
2008-01-15,24.5,24.91,200805,200806
2008-01-16,24.5,24.94,200805,200806
2008-01-17,26.25,26.36,200805,200806
2008-01-18,26.01,26.19,200805,200806
2008-01-21,,,,
2008-01-22,25.7,25.77,200805,200806
2008-01-23,25.0,24.98,200805,200806
2008-01-24,24.98,25.2,200805,200806
2008-01-25,25.38,25.63,200805,200806
2008-01-28,25.02,25.13,200805,200806
2008-01-29,24.79,25.11,200805,200806
2008-01-30,25.08,25.27,200805,200806
2008-01-31,24.52,24.78,200805,200806
2008-02-01,23.91,24.24,200805,200806
2008-02-04,24.2,24.51,200805,200806
2008-02-05,25.33,25.92,200805,200806
2008-02-06,25.85,26.53,200805,200806
2008-02-07,25.75,26.01,200805,200806
2008-02-08,26.25,26.88,200805,200806
2008-02-11,26.07,26.22,200805,200806
2008-02-12,25.47,25.9,200805,200806
2008-02-13,25.18,25.33,200805,200806
2008-02-14,25.44,25.75,200805,200806
2008-02-15,25.36,25.5,200805,200806
2008-02-18,,,,
2008-02-19,24.96,25.31,200805,200806
2008-02-20,24.88,25.18,200805,200806
2008-02-21,24.88,24.93,200805,200806
2008-02-22,24.62,24.66,200805,200806
2008-02-25,24.15,24.24,200805,200806
2008-02-26,24.07,24.15,200805,200806
2008-02-27,24.15,24.46,200805,200806
2008-02-28,24.75,24.91,200805,200806
2008-02-29,25.85,26.31,200805,200806
2008-03-03,25.69,26.11,200805,200806
2008-03-04,25.5,25.71,200805,200806
2008-03-05,24.85,25.1,200805,200806
2008-03-06,26.23,26.5,200805,200806
2008-03-07,25.94,26.41,200805,200806
2008-03-10,26.56,26.99,200805,200806
2008-03-11,25.28,25.48,200805,200806
2008-03-12,26.01,26.51,200805,200806
2008-03-13,26.17,26.44,200805,200806
2008-03-14,27.24,27.45,200805,200806
2008-03-17,27.1,27.37,200805,200806
2008-03-18,25.13,25.33,200805,200806
2008-03-19,26.21,26.53,200805,200806
2008-03-20,25.86,26.08,200805,200806
2008-03-21,,,,
2008-03-24,25.41,25.71,200805,200806
2008-03-25,25.62,25.87,200805,200806
2008-03-26,26.15,26.32,200805,200806
2008-03-27,26.22,26.46,200805,200806
2008-03-28,26.16,26.59,200805,200806
2008-03-31,25.92,26.3,200805,200806
2008-04-01,24.59,24.85,200805,200806
2008-04-02,24.55,25.03,200805,200806
2008-04-03,24.65,24.94,200805,200806
2008-04-04,24.72,24.95,200805,200806
2008-04-07,24.12,24.26,200805,200806
