DATETIME,PRICE
2000-01-04,558.0
2000-01-05,562.0
2000-01-06,561.5
2000-01-07,564.25
2000-01-10,567.0
2000-01-11,567.0
2000-01-12,571.75
2000-01-13,577.0
2000-01-14,578.0
2000-01-17,
2000-01-18,578.0
2000-01-19,578.75
2000-01-20,577.75
2000-01-21,576.0
2000-01-24,579.0
2000-01-25,576.5
2000-01-26,572.75
2000-01-27,576.0
2000-01-28,573.5
2000-01-31,570.0
2000-02-01,571.5
2000-02-02,570.5
2000-02-03,566.75
2000-02-04,570.75
2000-02-07,572.0
2000-02-08,572.0
2000-02-09,578.0
2000-02-10,584.75
2000-02-11,583.25
2000-02-14,582.5
2000-02-15,579.5
2000-02-16,579.5
2000-02-17,576.0
2000-02-18,578.25
2000-02-21,
2000-02-22,576.0
2000-02-23,568.75
2000-02-24,570.0
2000-02-25,561.75
2000-02-28,558.5
2000-02-29,561.5
2000-03-01,562.0
2000-03-02,560.75
2000-03-03,560.75
2000-03-06,563.0
2000-03-07,563.0
2000-03-08,565.5
2000-03-09,567.25
2000-03-10,563.5
2000-03-13,566.75
2000-03-14,574.75
2000-03-15,572.75
2000-03-16,569.5
2000-03-17,575.75
2000-03-20,570.5
2000-03-21,565.25
2000-03-22,566.25
2000-03-23,561.25
2000-03-24,557.5
2000-03-27,559.5
2000-03-28,554.75
2000-03-29,556.25
2000-03-30,560.75
2000-03-31,567.75
2000-04-03,562.75
2000-04-04,561.25
2000-04-05,561.25
2000-04-06,559.25
2000-04-07,563.0
2000-04-10,558.0
2000-04-11,557.75
2000-04-12,560.75
2000-04-13,563.25
2000-04-14,561.25
2000-04-17,558.75
2000-04-18,557.25
2000-04-19,558.0
2000-04-20,557.0
2000-04-21,
2000-04-24,557.0
2000-04-25,559.25
2000-04-26,554.5
2000-04-27,549.0
2000-04-28,549.0
2000-05-01,558.75
2000-05-02,559.25
2000-05-03,565.75
2000-05-04,569.5
2000-05-05,566.0
2000-05-08,562.25
2000-05-09,562.25
2000-05-10,568.75
2000-05-11,575.0
2000-05-12,577.25
2000-05-15,576.25
2000-05-16,574.5
2000-05-17,570.75
2000-05-18,565.5
2000-05-19,570.5
2000-05-22,574.5
2000-05-23,575.0
2000-05-24,573.25
2000-05-25,573.75
2000-05-26,575.25
2000-05-29,
2000-05-30,568.75
2000-05-31,568.75
2000-06-01,564.75
2000-06-02,566.5
2000-06-05,560.5
2000-06-06,562.0
2000-06-07,559.75
2000-06-08,561.5
2000-06-09,565.0
2000-06-12,561.0
2000-06-13,560.25
2000-06-14,556.5
2000-06-15,558.0
2000-06-16,558.75
2000-06-19,564.0
2000-06-20,569.0
2000-06-21,572.5
2000-06-22,573.25
2000-06-23,568.75
2000-06-26,570.25
2000-06-27,569.25
2000-06-28,568.25
2000-06-29,568.75
2000-06-30,555.5
2000-07-03,541.5
2000-07-04,
2000-07-05,542.25
2000-07-06,538.25
2000-07-07,538.5
2000-07-10,541.5
2000-07-11,540.75
2000-07-12,536.5
2000-07-13,539.25
2000-07-14,532.75
2000-07-17,529.0
2000-07-18,526.0
2000-07-19,529.0
2000-07-20,531.75
2000-07-21,531.5
2000-07-24,529.75
2000-07-25,530.25
2000-07-26,529.25
2000-07-27,530.75
2000-07-28,533.0
2000-07-31,531.0
2000-08-01,530.0
2000-08-02,531.5
2000-08-03,527.0
2000-08-04,523.0
2000-08-07,519.75
2000-08-08,522.5
2000-08-09,521.25
2000-08-10,521.5
2000-08-11,522.25
2000-08-14,523.75
2000-08-15,526.0
2000-08-16,528.75
2000-08-17,524.75
2000-08-18,524.25
2000-08-21,521.5
2000-08-22,520.0
2000-08-23,519.25
2000-08-24,526.25
2000-08-25,527.5
2000-08-28,528.25
2000-08-29,535.75
2000-08-30,531.25
2000-08-31,535.25
2000-09-01,534.5
2000-09-04,
2000-09-05,536.5
2000-09-06,531.0
2000-09-07,532.5
2000-09-08,533.25
2000-09-11,532.5
2000-09-12,527.75
2000-09-13,524.0
2000-09-14,521.25
2000-09-15,519.25
2000-09-18,
2000-09-19,537.0
2000-09-20,538.0
2000-09-21,535.75
2000-09-22,538.75
2000-09-25,542.0
2000-09-26,542.5
2000-09-27,546.5
2000-09-28,546.5
2000-09-29,549.5
2000-10-02,552.5
2000-10-03,554.5
2000-10-04,553.5
2000-10-05,553.5
2000-10-06,554.5
2000-10-09,553.5
2000-10-10,561.5
2000-10-11,563.0
2000-10-12,562.5
2000-10-13,554.5
2000-10-16,558.0
2000-10-17,556.0
2000-10-18,551.5
2000-10-19,549.0
2000-10-20,549.5
2000-10-23,545.0
2000-10-24,545.5
2000-10-25,543.5
2000-10-26,545.0
2000-10-27,547.5
2000-10-30,544.25
2000-10-31,544.25
2000-11-01,543.75
2000-11-02,548.5
2000-11-03,553.5
2000-11-06,552.0
2000-11-07,552.0
2000-11-08,554.5
2000-11-09,549.0
2000-11-10,548.0
2000-11-13,549.25
2000-11-14,547.5
2000-11-15,545.5
2000-11-16,547.0
2000-11-17,549.0
2000-11-20,548.5
2000-11-21,547.5
2000-11-22,549.5
2000-11-23,
2000-11-24,553.0
2000-11-27,551.0
2000-11-28,548.5
2000-11-29,546.0
2000-11-30,548.75
2000-12-01,552.0
2000-12-04,554.0
2000-12-05,552.5
2000-12-06,553.0
2000-12-07,548.0
2000-12-08,550.0
2000-12-11,548.5
2000-12-12,548.0
2000-12-13,547.5
2000-12-14,544.5
2000-12-15,542.75
2000-12-18,545.0
2000-12-19,549.0
2000-12-20,547.25
2000-12-21,549.0
2000-12-22,551.5
2000-12-25,
2000-12-26,551.0
2000-12-27,548.0
2000-12-28,548.0
2000-12-29,556.0
2001-01-01,
2001-01-02,553.0
2001-01-03,560.0
2001-01-04,561.5
2001-01-05,561.0
2001-01-08,560.0
2001-01-09,562.5
2001-01-10,566.0
2001-01-11,566.75
2001-01-12,566.0
2001-01-15,
2001-01-16,562.5
2001-01-17,561.0
2001-01-18,562.75
2001-01-19,563.5
2001-01-22,563.5
2001-01-23,565.0
2001-01-24,565.0
2001-01-25,562.0
2001-01-26,556.5
2001-01-29,549.5
2001-01-30,551.0
2001-01-31,553.25
2001-02-01,550.25
2001-02-02,552.25
2001-02-05,549.5
2001-02-06,547.75
2001-02-07,549.0
2001-02-08,548.0
2001-02-09,547.25
2001-02-12,542.0
2001-02-13,544.0
2001-02-14,547.25
2001-02-15,547.5
2001-02-16,544.75
2001-02-19,
2001-02-20,545.75
2001-02-21,541.5
2001-02-22,537.75
2001-02-23,538.25
2001-02-26,537.75
2001-02-27,537.5
2001-02-28,544.25
2001-03-01,543.25
2001-03-02,546.25
2001-03-05,549.75
2001-03-06,548.75
2001-03-07,546.5
2001-03-08,547.25
2001-03-09,547.5
