DATETIME,NEARER,TRADED,NEAR_MONTH,TRADE_MONTH
1990-04-04,1.68,1.635,199006.0,199007.0
1990-04-05,1.672,1.635,199006.0,199007.0
1990-04-06,1.662,1.635,199006.0,199007.0
1990-04-09,1.685,1.645,199006.0,199007.0
1990-04-10,1.672,1.63,199006.0,199007.0
1990-04-11,1.668,1.62,199006.0,199007.0
1990-04-12,1.668,1.635,199006.0,199007.0
1990-04-13,,,,
1990-04-16,1.675,1.635,199006.0,199007.0
1990-04-17,1.685,1.645,199006.0,199007.0
1990-04-18,2.29,1.69,199009.0,199010.0
1990-04-19,2.28,1.695,199009.0,199010.0
1990-04-20,2.285,1.69,199009.0,199010.0
1990-04-23,2.27,1.685,199009.0,199010.0
1990-04-24,2.27,1.685,199009.0,199010.0
1990-04-25,2.28,1.695,199009.0,199010.0
1990-04-26,2.276,1.7,199009.0,199010.0
1990-04-27,2.278,1.7,199009.0,199010.0
1990-04-30,2.275,1.704,199009.0,199010.0
1990-05-01,2.275,1.7,199009.0,199010.0
1990-05-02,2.28,1.705,199009.0,199010.0
1990-05-03,2.28,1.7,199009.0,199010.0
1990-05-04,2.29,1.705,199009.0,199010.0
1990-05-07,2.28,1.7,199009.0,199010.0
1990-05-08,2.284,1.702,199009.0,199010.0
1990-05-09,2.289,1.708,199009.0,199010.0
1990-05-10,2.29,1.71,199009.0,199010.0
1990-05-11,2.285,1.713,199009.0,199010.0
1990-05-14,2.285,1.708,199009.0,199010.0
1990-05-15,2.285,1.71,199009.0,199010.0
1990-05-16,2.29,1.715,199009.0,199010.0
1990-05-17,2.295,1.716,199009.0,199010.0
1990-05-18,2.3,1.719,199009.0,199010.0
1990-05-21,2.288,1.711,199009.0,199010.0
1990-05-22,2.293,1.708,199009.0,199010.0
1990-05-23,2.293,1.705,199009.0,199010.0
1990-05-24,2.29,1.704,199009.0,199010.0
1990-05-25,2.287,1.701,199009.0,199010.0
1990-05-28,,,,
1990-05-29,2.3,1.702,199009.0,199010.0
1990-05-30,2.3,1.707,199009.0,199010.0
1990-05-31,2.3,1.71,199009.0,199010.0
1990-06-01,2.295,1.7,199009.0,199010.0
1990-06-04,2.294,1.699,199009.0,199010.0
1990-06-05,2.29,1.689,199009.0,199010.0
1990-06-06,2.289,1.689,199009.0,199010.0
1990-06-07,2.297,1.695,199009.0,199010.0
1990-06-08,2.285,1.692,199009.0,199010.0
1990-06-11,2.288,1.685,199009.0,199010.0
1990-06-12,2.285,1.682,199009.0,199010.0
1990-06-13,2.28,1.669,199009.0,199010.0
1990-06-14,2.285,1.671,199009.0,199010.0
1990-06-15,2.289,1.672,199009.0,199010.0
1990-06-18,2.28,1.662,199009.0,199010.0
1990-06-19,2.265,1.652,199009.0,199010.0
1990-06-20,2.265,1.64,199009.0,199010.0
1990-06-21,2.248,1.63,199009.0,199010.0
1990-06-22,2.26,1.615,199009.0,199010.0
1990-06-25,2.256,1.61,199009.0,199010.0
1990-06-26,2.255,1.607,199009.0,199010.0
1990-06-27,2.237,1.591,199009.0,199010.0
1990-06-28,2.212,1.585,199009.0,199010.0
1990-06-29,2.205,1.595,199009.0,199010.0
1990-07-02,2.195,1.592,199009.0,199010.0
1990-07-03,2.19,1.595,199009.0,199010.0
1990-07-04,,,,
1990-07-05,2.186,1.586,199009.0,199010.0
1990-07-06,2.165,1.569,199009.0,199010.0
1990-07-09,2.151,1.542,199009.0,199010.0
1990-07-10,2.156,1.54,199009.0,199010.0
1990-07-11,2.171,1.551,199009.0,199010.0
1990-07-12,2.18,1.558,199009.0,199010.0
1990-07-13,2.208,1.575,199009.0,199010.0
1990-07-16,2.235,1.595,199009.0,199010.0
1990-07-17,2.236,1.585,199009.0,199010.0
1990-07-18,2.27,1.62,199009.0,199010.0
1990-07-19,1.645,2.262,199012.0,199101.0
1990-07-20,1.64,2.242,199012.0,199101.0
1990-07-23,1.632,2.258,199012.0,199101.0
1990-07-24,1.64,2.27,199012.0,199101.0
1990-07-25,1.64,2.279,199012.0,199101.0
1990-07-26,1.645,2.29,199012.0,199101.0
1990-07-27,1.643,2.291,199012.0,199101.0
1990-07-30,1.655,2.307,199012.0,199101.0
1990-07-31,1.633,2.29,199012.0,199101.0
1990-08-01,1.64,2.262,199012.0,199101.0
1990-08-02,1.65,2.27,199012.0,199101.0
1990-08-03,1.698,2.36,199012.0,199101.0
1990-08-06,1.775,2.435,199012.0,199101.0
1990-08-07,1.69,2.335,199012.0,199101.0
1990-08-08,1.685,2.29,199012.0,199101.0
1990-08-09,1.68,2.29,199012.0,199101.0
1990-08-10,1.695,2.3,199012.0,199101.0
1990-08-13,,,,
1990-08-14,1.695,2.285,199012.0,199101.0
1990-08-15,1.69,2.272,199012.0,199101.0
1990-08-16,1.7,2.295,199012.0,199101.0
1990-08-17,1.715,2.32,199012.0,199101.0
1990-08-20,1.73,2.31,199012.0,199101.0
1990-08-21,1.73,2.325,199012.0,199101.0
1990-08-22,1.72,2.347,199012.0,199101.0
1990-08-23,1.775,2.395,199012.0,199101.0
1990-08-24,1.77,2.395,199012.0,199101.0
1990-08-27,1.72,2.355,199012.0,199101.0
1990-08-28,1.725,2.335,199012.0,199101.0
1990-08-29,1.68,2.291,199012.0,199101.0
1990-08-30,1.715,2.337,199012.0,199101.0
1990-08-31,1.734,2.36,199012.0,199101.0
1990-09-03,,,,
1990-09-04,1.73,2.385,199012.0,199101.0
1990-09-05,1.71,2.385,199012.0,199101.0
1990-09-06,1.725,2.4,199012.0,199101.0
1990-09-07,1.718,2.39,199012.0,199101.0
1990-09-10,1.726,2.38,199012.0,199101.0
1990-09-11,1.718,2.386,199012.0,199101.0
1990-09-12,1.7,2.385,199012.0,199101.0
1990-09-13,1.68,2.392,199012.0,199101.0
1990-09-14,1.66,2.4,199012.0,199101.0
1990-09-17,1.655,2.413,199012.0,199101.0
1990-09-18,1.665,2.405,199012.0,199101.0
1990-09-19,1.67,2.405,199012.0,199101.0
1990-09-20,1.67,2.42,199012.0,199101.0
1990-09-21,1.68,2.467,199012.0,199101.0
1990-09-24,1.74,2.54,199012.0,199101.0
1990-09-25,1.72,2.543,199012.0,199101.0
1990-09-26,1.725,2.585,199012.0,199101.0
1990-09-27,1.725,2.618,199012.0,199101.0
1990-09-28,1.72,2.685,199012.0,199101.0
1990-10-01,1.715,2.66,199012.0,199101.0
1990-10-02,1.69,2.575,199012.0,199101.0
1990-10-03,1.73,2.641,199012.0,199101.0
1990-10-04,1.73,2.689,199012.0,199101.0
1990-10-05,1.73,2.741,199012.0,199101.0
1990-10-08,1.745,2.81,199012.0,199101.0
1990-10-09,1.765,2.888,199012.0,199101.0
1990-10-10,1.74,2.807,199012.0,199101.0
1990-10-11,1.76,2.843,199012.0,199101.0
1990-10-12,1.725,2.805,199012.0,199101.0
1990-10-15,1.68,2.73,199012.0,199101.0
1990-10-16,1.72,2.78,199012.0,199101.0
1990-10-17,1.69,2.74,199012.0,199101.0
1990-10-18,1.75,2.73,199012.0,199101.0
1990-10-19,,,,
1990-10-22,1.65,1.62,199103.0,199104.0
