Instrument,Description,Exchange,Pointsize,Currency,AssetClass,Slippage,PerBlock,Percentage,PerTrade
AEX,Netherlands equity index AEX,FTA,200,EUR,Equity,0.0282686043,2,0,0
ASX,Australian equity index ASX200,SNFE,25,AUD,Equity,N/A,N/A,N/A,N/A
AUD,AUDUSD currency,GLOBEX,100000,USD,FX,0.00005,2.46,0,0
AUS10,Australian 10 year bond,SNFE,9062,AUD,Bond,N/A,N/A,N/A,N/A
AUS3,Australian 3 year bond,SNFE,3011,AUD,Bond,N/A,N/A,N/A,N/A
AUSSTIR,Australian STIR Bills,SNFE,2414,AUD,STIR,N/A,N/A,N/A,N/A
BOBL,German 5 year bond Bobl,DTB,1000,EUR,Bond,0.005,2,0,0
BOVESPA,Brazilian equity index BOVESPA,GLOBEX,1,USD,Equity,N/A,N/A,N/A,N/A
BRENT_W,Brent crude summer,IPE,1000,USD,OilGas,N/A,N/A,N/A,N/A
BTP,Italian 10 year bond BTP,DTB,1000,EUR,Bond,0.005,2,0,0
BUND,German 10 year bond Bund,DTB,1000,EUR,Bond,0.005,2,0,0
BUXL,German 30 year bond Buxl,DTB,1000,EUR,Bond,N/A,N/A,N/A,N/A
CAC,French equity index CAC40,MONEP,10,EUR,Equity,0.25,2,0,0
CAD,CADUSD currency,GLOBEX,100000,USD,FX,N/A,N/A,N/A,N/A
CAD10,Canadian 10 year bond,CDE,1000,CAD,Bond,N/A,N/A,N/A,N/A
CADSTIR,Canadian STIR Bank acceptance,CDE,25,CAD,STIR,N/A,N/A,N/A,N/A
CHF,CHFUSD currency,GLOBEX,125000,USD,FX,N/A,N/A,N/A,N/A
COCOA_LDN,Cocoa London,LIFFE_NF,10,GBP,Ags,N/A,N/A,N/A,N/A
COCOA_NY,Cocoa  NY,NYMEX,10,USD,Ags,N/A,N/A,N/A,N/A
COFFEE,Coffee,NYMEX,37500,USD,Ags,N/A,N/A,N/A,N/A
COPPER,Copper,NYMEX,25000,USD,Metals,0.0006147655,2.31,0,0
CORN,Corn,ECBOT,50,USD,Ags,0.125,2.9,0,0
COTTON,Cotton,NYMEX,50000,USD,Ags,N/A,N/A,N/A,N/A
CRUDE_W,Light sweet crude Winter,NYMEX,1000,USD,OilGas,0.0145328653,2.31,0,0
DAX,German equity index DAX30,DTB,25,EUR,Equity,N/A,N/A,N/A,N/A
EDOLLAR,US STIR Eurodollar,GLOBEX,2500,USD,STIR,0.0025,2.11,0,0
EUR,EURUSD currency,GLOBEX,125000,USD,FX,0.00005,2.46,0,0
EURIBOR,European STIR Euribor,LIFFE,2500,EUR,STIR,N/A,N/A,N/A,N/A
EUROSTX,European equity index EUROSTOXX50,DTB,10,EUR,Equity,0.5,2,0,0
FEEDCOW,Feeder cattle,GLOBEX,500,USD,Ags,N/A,N/A,N/A,N/A
FOX,Finnish equity index,DTB,10,EUR,Equity,N/A,N/A,N/A,N/A
FTSE,UK Equity index FTSE100,LIFFE,10,GBP,Equity,N/A,N/A,N/A,N/A
GAS_UK,Natural gas UK,IPE,31000,GBP,OilGas,N/A,N/A,N/A,N/A
GAS_US,Natural gas US,NYMEX,10000,USD,OilGas,0.0009387043,2.31,0,0
GASOIL_W,Gas oil winter,IPE,100,USD,OilGas,N/A,N/A,N/A,N/A
GASOILINE,Gasoline,NYMEX,42000,USD,OilGas,N/A,N/A,N/A,N/A
GBP,GBPUSD currency,GLOBEX,62500,USD,FX,0.00005,2.46,0,0
GILT,UK 10 year bonds Long Gilt,LIFFE,1000,GBP,Bond,N/A,N/A,N/A,N/A
GOLD,Gold,NYMEX,100,USD,Metals,0.0885298446,2.31,0,0
HANG,Hong Kong equity index Hang Seng,HKFE,50,HKD,Equity,N/A,N/A,N/A,N/A
HEAT_S,Heating oil Summer,NYMEX,42000,USD,OilGas,N/A,N/A,N/A,N/A
IBXEX,Spanish equity index IBEX,MEFFRV,10,EUR,Equity,N/A,N/A,N/A,N/A
JGB,Japanese 10 year bond mini JGB,SGX,100000,JPY,Bond,N/A,N/A,N/A,N/A
JPY,JPYUSD currency,GLOBEX,12500000,USD,FX,4.80871993208629E-07,2.46,0,0
KOSPI,Korean equity index KOSPI,KSE,500000,KRW,Equity,0.025,0,0.0004,0
KR10,Korean 10 year bond,KSE,1000000,KRW,Bond,0.005,0,0.00004,0
KR3,Korean 3 year bond,KSE,1000000,KRW,Bond,0.005,0,0.00004,0
LEANHOG,Lean hogs,GLOBEX,400,USD,Ags,0.025,2.9,0,0
LIVECOW,Live cattle,GLOBEX,400,USD,Ags,0.025,2.9,0,0
MXP,MEXUSD currency,GLOBEX,500000,USD,FX,0.000011567,2.46,0,0
NASDAQ,US equity index Nasdaq ,GLOBEX,20,USD,Equity,0.125,2.05,0,0
NIFTY,Indian equity index Nifty50,SGX,2,USD,Equity,N/A,N/A,N/A,N/A
NIKKEI,Japanese equity index Nikkei,SGX,500,JPY,Equity,N/A,N/A,N/A,N/A
NZD,NZDUSD currency,GLOBEX,100000,USD,FX,0.000107147,2.46,0,0
OAT,French 10 year bond OAT,DTB,1000,EUR,Bond,0.005,2,0,0
OJ,Orange Juice,ECBOT,15000,USD,Ags,N/A,N/A,N/A,N/A
PALLAD,Palladium,NYMEX,100,USD,Metals,0.3738801253,2.31,0,0
PLAT,Platinum,NYMEX,50,USD,Metals,0.2401075437,2.31,0,0
SHATZ,German 2 year bond Schatz,DTB,1000,EUR,Bond,0.0025,2,0,0
SILVER,Silver,NYMEX,5000,USD,Metals,N/A,N/A,N/A,N/A
