DATETIME,ADJ
1981-09-25,673.0
1981-09-28,674.0
1981-09-29,679.0
1981-09-30,681.0
1981-10-01,680.25
1981-10-02,681.75
1981-10-05,686.25
1981-10-06,684.25
1981-10-07,682.75
1981-10-08,681.75
1981-10-09,684.0
1981-10-12,686.25
1981-10-13,690.0
1981-10-14,691.25
1981-10-15,686.5
1981-10-16,684.5
1981-10-19,685.5
1981-10-20,683.0
1981-10-21,683.75
1981-10-22,681.5
1981-10-23,684.5
1981-10-26,683.75
1981-10-27,685.0
1981-10-28,686.75
1981-10-29,685.0
1981-10-30,684.75
1981-11-02,685.5
1981-11-03,683.25
1981-11-04,681.25
1981-11-05,681.0
1981-11-06,678.75
1981-11-09,677.75
1981-11-10,673.5
1981-11-11,673.25
1981-11-12,676.0
1981-11-13,674.25
1981-11-16,672.5
1981-11-17,669.5
1981-11-18,668.0
1981-11-19,669.5
1981-11-20,669.5
1981-11-23,664.5
1981-11-24,658.5
1981-11-25,657.0
1981-11-26,
1981-11-27,655.0
1981-11-30,652.5
1981-12-01,655.5
1981-12-02,654.75
1981-12-03,654.0
1981-12-04,655.5
1981-12-07,649.0
1981-12-08,645.75
1981-12-09,641.5
1981-12-10,634.5
1981-12-11,637.75
1981-12-14,632.25
1981-12-15,627.0
1981-12-16,632.75
1981-12-17,637.0
1981-12-18,634.0
1981-12-21,631.75
1981-12-22,632.5
1981-12-23,630.25
1981-12-24,635.0
1981-12-25,
1981-12-28,643.75
1981-12-29,640.0
1981-12-30,640.5
1981-12-31,641.5
1982-01-01,
1982-01-04,643.25
1982-01-05,641.0
1982-01-06,644.5
1982-01-07,644.5
1982-01-08,641.0
1982-01-11,638.75
1982-01-12,637.75
1982-01-13,637.75
1982-01-14,637.5
1982-01-15,636.5
1982-01-18,638.75
1982-01-19,635.75
1982-01-20,636.75
1982-01-21,640.0
1982-01-22,641.0
1982-01-25,638.25
1982-01-26,640.25
1982-01-27,645.75
1982-01-28,643.75
1982-01-29,647.5
1982-02-01,653.5
1982-02-02,653.0
1982-02-03,653.0
1982-02-04,653.5
1982-02-05,651.0
1982-02-08,647.5
1982-02-09,646.25
1982-02-10,649.5
1982-02-11,649.0
1982-02-12,647.75
1982-02-15,
1982-02-16,647.25
1982-02-17,647.75
1982-02-18,646.75
1982-02-19,640.5
1982-02-22,640.25
1982-02-23,638.5
1982-02-24,639.0
1982-02-25,639.0
1982-02-26,640.5
1982-03-01,641.25
1982-03-02,643.0
1982-03-03,640.5
1982-03-04,637.5
1982-03-05,633.75
1982-03-08,628.75
1982-03-09,630.0
1982-03-10,632.0
1982-03-11,632.0
1982-03-12,627.25
1982-03-15,631.25
1982-03-16,629.25
1982-03-17,632.0
1982-03-18,634.25
1982-03-19,635.5
1982-03-22,636.75
1982-03-23,635.5
1982-03-24,636.5
1982-03-25,635.75
1982-03-26,636.75
1982-03-29,639.75
1982-03-30,640.0
1982-03-31,640.75
1982-04-01,639.75
1982-04-02,643.0
1982-04-05,646.5
1982-04-06,646.25
1982-04-07,643.5
1982-04-08,645.0
1982-04-09,
1982-04-12,644.5
1982-04-13,644.75
1982-04-14,643.5
1982-04-15,643.5
1982-04-16,643.5
1982-04-19,643.5
1982-04-20,645.25
1982-04-21,643.5
1982-04-22,641.5
1982-04-23,643.25
1982-04-26,643.0
1982-04-27,642.0
1982-04-28,641.75
1982-04-29,641.5
1982-04-30,639.25
1982-05-03,634.75
1982-05-04,633.25
1982-05-05,631.75
1982-05-06,631.5
1982-05-07,632.75
1982-05-10,629.75
1982-05-11,630.0
1982-05-12,630.5
1982-05-13,629.25
1982-05-14,631.75
1982-05-17,631.25
1982-05-18,630.75
1982-05-19,631.75
1982-05-20,632.75
1982-05-21,632.25
1982-05-24,631.0
1982-05-25,627.0
1982-05-26,628.0
1982-05-27,626.75
1982-05-28,627.5
1982-05-31,
1982-06-01,624.0
1982-06-02,624.75
1982-06-03,622.75
1982-06-04,620.75
1982-06-07,624.0
1982-06-08,623.75
1982-06-09,625.0
1982-06-10,625.75
1982-06-11,629.5
1982-06-14,625.5
1982-06-15,622.75
1982-06-16,620.5
1982-06-17,617.0
1982-06-18,617.25
1982-06-21,618.25
1982-06-22,620.0
1982-06-23,619.25
1982-06-24,620.5
1982-06-25,620.0
1982-06-28,617.0
1982-06-29,617.25
1982-06-30,614.75
1982-07-01,615.5
1982-07-02,613.75
1982-07-05,
1982-07-06,610.0
1982-07-07,607.5
1982-07-08,609.75
1982-07-09,611.25
1982-07-12,610.5
1982-07-13,611.75
1982-07-14,611.75
1982-07-15,610.75
1982-07-16,609.5
1982-07-19,606.75
1982-07-20,606.25
1982-07-21,607.25
1982-07-22,605.0
1982-07-23,603.5
1982-07-26,600.75
1982-07-27,600.75
1982-07-28,597.75
1982-07-29,599.75
1982-07-30,597.5
1982-08-02,599.5
1982-08-03,600.25
1982-08-04,601.5
1982-08-05,597.5
1982-08-06,592.75
1982-08-09,591.75
1982-08-10,590.75
