DATETIME,ADJ
2013-03-19,2424.0
2013-03-20,2471.0
2013-03-21,2449.0
2013-03-22,2447.0
2013-03-25,2416.0
2013-03-26,2407.0
2013-03-27,2364.0
2013-03-28,2396.0
2013-03-29,
2013-04-01,
2013-04-02,2424.0
2013-04-03,2413.0
2013-04-04,
2013-04-05,2343.0
2013-04-08,2357.0
2013-04-09,2365.0
2013-04-10,2426.0
2013-04-11,2438.0
2013-04-12,2415.0
2013-04-15,2382.0
2013-04-16,2380.0
2013-04-17,2326.0
2013-04-18,2327.0
2013-04-19,2344.0
2013-04-22,2358.0
2013-04-23,2434.0
2013-04-24,2472.0
2013-04-25,
2013-04-26,2468.0
2013-04-29,2520.0
2013-04-30,2504.0
2013-05-01,
2013-05-02,2520.0
2013-05-03,2556.0
2013-05-06,2546.0
2013-05-07,2564.0
2013-05-08,2589.0
2013-05-09,2584.0
2013-05-10,2602.0
2013-05-13,2587.0
2013-05-14,2612.0
2013-05-15,2625.0
2013-05-16,2607.0
2013-05-17,2636.0
2013-05-20,2650.0
2013-05-21,2653.0
2013-05-22,2624.0
2013-05-23,2602.0
2013-05-24,2596.0
2013-05-27,2623.0
2013-05-28,2656.0
2013-05-29,2626.0
2013-05-30,2636.0
2013-05-31,2585.0
2013-06-03,2595.0
2013-06-04,2580.0
2013-06-05,2538.0
2013-06-06,2500.0
2013-06-07,2552.0
2013-06-10,2544.0
2013-06-11,2495.0
2013-06-12,2486.0
2013-06-13,2480.0
2013-06-14,2476.0
2013-06-17,2525.0
2013-06-18,2532.0
2013-06-19,2501.0
2013-06-20,2399.0
2013-06-21,2397.0
2013-06-24,2357.0
2013-06-25,2386.0
2013-06-26,2435.0
2013-06-27,2445.0
2013-06-28,2438.0
2013-07-01,2443.0
2013-07-02,2418.0
2013-07-03,2405.0
2013-07-04,2479.0
2013-07-05,2450.0
2013-07-08,2478.0
2013-07-09,2499.0
2013-07-10,2494.0
2013-07-11,2524.0
2013-07-12,2508.0
2013-07-15,2526.0
2013-07-16,2501.0
2013-07-17,2513.0
2013-07-18,2552.0
2013-07-19,2551.0
2013-07-22,2558.0
2013-07-23,2560.0
2013-07-24,2584.0
2013-07-25,2590.0
2013-07-26,2591.0
2013-07-29,2581.0
2013-07-30,2585.0
2013-07-31,2607.0
2013-08-01,2659.0
2013-08-02,2653.0
2013-08-05,2645.0
2013-08-06,2625.0
2013-08-07,2632.0
2013-08-08,2657.0
2013-08-09,2667.0
2013-08-12,2662.0
2013-08-13,2683.0
2013-08-14,2689.0
2013-08-15,2662.0
2013-08-16,2681.0
2013-08-19,2647.0
2013-08-20,2622.0
2013-08-21,2607.0
2013-08-22,2645.0
2013-08-23,2666.0
2013-08-26,2648.0
2013-08-27,2569.0
2013-08-28,2570.0
2013-08-29,2581.0
2013-08-30,2550.0
2013-09-02,2602.0
2013-09-03,2589.0
2013-09-04,2592.0
2013-09-05,2608.0
2013-09-06,2636.0
2013-09-09,2642.0
2013-09-10,2686.0
2013-09-11,2703.0
2013-09-12,2690.0
2013-09-13,2702.0
2013-09-16,2727.0
2013-09-17,2730.0
2013-09-18,2787.0
2013-09-19,2767.0
2013-09-20,2750.0
2013-09-23,2744.0
2013-09-24,2756.0
2013-09-25,2758.0
2013-09-26,2766.0
2013-09-27,2757.0
2013-09-30,2726.0
2013-10-01,2764.0
2013-10-02,2755.0
2013-10-03,2739.0
2013-10-04,2763.0
2013-10-07,2756.0
