DATETIME,ADJ
2000-01-04,-168.5
2000-01-05,-162.25
2000-01-06,-163.0
2000-01-07,-159.0
2000-01-10,-163.5
2000-01-11,-161.25
2000-01-12,-155.5
2000-01-13,-146.0
2000-01-14,-139.25
2000-01-17,
2000-01-18,-133.25
2000-01-19,-132.25
2000-01-20,-127.25
2000-01-21,-127.5
2000-01-24,-121.25
2000-01-25,-117.75
2000-01-26,-121.75
2000-01-27,-108.25
2000-01-28,-111.5
2000-01-31,-126.5
2000-02-01,-124.0
2000-02-02,-127.0
2000-02-03,-134.25
2000-02-04,-129.5
2000-02-07,-126.75
2000-02-08,-131.75
2000-02-09,-129.0
2000-02-10,-120.75
2000-02-11,-126.5
2000-02-14,-127.5
2000-02-15,-125.5
2000-02-16,-125.75
2000-02-17,-125.75
2000-02-18,-119.5
2000-02-21,
2000-02-22,-121.75
2000-02-23,-136.75
2000-02-24,-132.0
2000-02-25,-141.5
2000-02-28,-140.25
2000-02-29,-133.25
2000-03-01,-136.75
2000-03-02,-134.75
2000-03-03,-132.25
2000-03-06,-128.75
2000-03-07,-132.5
2000-03-08,-128.0
2000-03-09,-127.0
2000-03-10,-134.25
2000-03-13,-121.25
2000-03-14,-112.25
2000-03-15,-114.75
2000-03-16,-115.0
2000-03-17,-102.5
2000-03-20,-112.5
2000-03-21,-112.25
2000-03-22,-107.0
2000-03-23,-115.0
2000-03-24,-106.5
2000-03-27,-105.0
2000-03-28,-110.75
2000-03-29,-109.0
2000-03-30,-101.5
2000-03-31,-92.5
2000-04-03,-89.0
2000-04-04,-97.5
2000-04-05,-92.25
2000-04-06,-104.25
2000-04-07,-98.5
2000-04-10,-104.25
2000-04-11,-109.5
2000-04-12,-99.5
2000-04-13,-98.25
2000-04-14,-103.25
2000-04-17,-104.25
2000-04-18,-101.0
2000-04-19,-97.25
2000-04-20,-99.5
2000-04-21,
2000-04-24,-92.0
2000-04-25,-92.0
2000-04-26,-95.25
2000-04-27,-104.0
2000-04-28,-109.5
2000-05-01,-81.5
2000-05-02,-84.25
2000-05-03,-77.0
2000-05-04,-77.75
2000-05-05,-83.5
2000-05-08,-91.25
2000-05-09,-94.0
2000-05-10,-78.75
2000-05-11,-79.5
2000-05-12,-81.25
2000-05-15,-97.5
2000-05-16,-104.0
2000-05-17,-108.0
2000-05-18,-100.75
2000-05-19,-96.25
2000-05-22,-97.25
2000-05-23,-101.25
2000-05-24,-109.0
2000-05-25,-125.25
2000-05-26,-118.5
2000-05-29,
2000-05-30,-137.0
2000-05-31,-135.5
2000-06-01,-130.0
2000-06-02,-118.5
2000-06-05,-122.0
2000-06-06,-119.0
2000-06-07,-128.5
2000-06-08,-129.75
2000-06-09,-132.75
2000-06-12,-150.0
2000-06-13,-152.0
2000-06-14,-164.0
2000-06-15,-166.0
2000-06-16,-160.25
2000-06-19,-165.25
2000-06-20,-174.0
2000-06-21,-172.0
2000-06-22,-177.5
2000-06-23,-181.25
2000-06-26,-186.0
2000-06-27,-179.75
2000-06-28,-177.25
2000-06-29,-169.25
2000-06-30,-184.25
2000-07-03,-190.5
2000-07-04,
2000-07-05,-189.0
2000-07-06,-200.5
2000-07-07,-193.0
2000-07-10,-194.5
2000-07-11,-203.25
2000-07-12,-198.0
2000-07-13,-200.75
2000-07-14,-207.0
2000-07-17,-212.5
2000-07-18,-209.75
2000-07-19,-204.75
2000-07-20,-198.75
2000-07-21,-191.5
2000-07-24,-196.5
2000-07-25,-203.0
2000-07-26,-202.5
2000-07-27,-198.5
2000-07-28,-204.75
2000-07-31,-207.0
2000-08-01,-210.25
2000-08-02,-204.75
2000-08-03,-209.5
2000-08-04,-211.25
2000-08-07,-214.25
2000-08-08,-207.5
2000-08-09,-209.0
2000-08-10,-204.25
2000-08-11,-199.0
2000-08-14,-196.0
2000-08-15,-194.0
2000-08-16,-186.5
2000-08-17,-192.0
2000-08-18,-194.0
2000-08-21,-137.25
2000-08-22,-140.25
2000-08-23,-140.75
2000-08-24,-138.5
2000-08-25,-138.0
2000-08-28,-129.25
2000-08-29,-117.75
2000-08-30,-119.75
2000-08-31,-108.75
2000-09-01,-110.25
2000-09-04,
2000-09-05,-104.25
2000-09-06,-120.25
2000-09-07,-126.75
2000-09-08,-115.25
2000-09-11,-116.25
2000-09-12,-116.75
2000-09-13,-121.5
2000-09-14,-125.75
2000-09-15,-130.75
2000-09-18,-124.25
2000-09-19,-130.0
2000-09-20,-127.0
2000-09-21,-123.5
2000-09-22,-121.75
2000-09-25,-123.5
2000-09-26,-126.25
2000-09-27,-123.5
2000-09-28,-122.0
2000-09-29,-125.5
2000-10-02,-127.0
2000-10-03,-126.0
2000-10-04,-127.25
2000-10-05,-128.5
2000-10-06,-128.75
2000-10-09,-131.25
2000-10-10,-131.25
2000-10-11,-135.25
2000-10-12,-137.75
2000-10-13,-143.0
2000-10-16,-145.75
2000-10-17,-141.25
2000-10-18,-142.75
2000-10-19,-141.5
2000-10-20,-144.25
2000-10-23,-147.5
2000-10-24,-145.75
2000-10-25,-145.25
2000-10-26,-149.5
2000-10-27,-152.75
2000-10-30,-150.5
2000-10-31,-149.25
2000-11-01,-148.25
2000-11-02,-140.25
2000-11-03,-138.25
2000-11-06,-137.5
2000-11-07,-137.25
2000-11-08,-136.75
2000-11-09,-143.75
2000-11-10,-150.0
2000-11-13,-150.0
2000-11-14,-148.25
2000-11-15,-142.5
2000-11-16,-145.75
2000-11-17,-135.75
2000-11-20,-134.25
2000-11-21,-136.75
2000-11-22,-133.0
2000-11-23,
2000-11-24,-123.75
2000-11-27,-126.75
2000-11-28,-124.0
2000-11-29,-126.0
2000-11-30,-126.25
2000-12-01,-125.25
2000-12-04,-128.25
2000-12-05,-129.75
2000-12-06,-125.5
2000-12-07,-129.75
2000-12-08,-124.5
2000-12-11,-127.75
2000-12-12,-131.25
2000-12-13,-130.5
2000-12-14,-131.0
2000-12-15,-128.75
2000-12-18,-125.75
2000-12-19,-125.0
2000-12-20,-128.0
2000-12-21,-127.0
2000-12-22,-129.75
2000-12-25,
2000-12-26,-130.0
2000-12-27,-134.75
2000-12-28,-138.75
2000-12-29,-136.25
2001-01-01,
2001-01-02,-140.0
2001-01-03,-138.75
2001-01-04,-144.0
2001-01-05,-147.0
2001-01-08,-146.0
2001-01-09,-143.0
2001-01-10,-146.5
2001-01-11,-156.75
2001-01-12,-161.0
2001-01-15,
2001-01-16,-167.5
2001-01-17,-169.5
2001-01-18,-167.5
2001-01-19,-172.5
2001-01-22,-165.75
2001-01-23,-173.5
2001-01-24,-171.5
2001-01-25,-173.75
2001-01-26,-181.25
2001-01-29,-183.0
2001-01-30,-180.0
2001-01-31,-178.0
2001-02-01,-172.5
2001-02-02,-169.25
2001-02-05,-175.0
